日期,开盘,收盘,最高,最低,成交量,成交额
2018-01-02,4.086,4.136,4.138,4.084,168876561,695160731
2018-01-03,4.136,4.158,4.186,4.132,126793328,527466330
2018-01-04,4.158,4.171,4.18,4.15,92220709,384082441
2018-01-05,4.179,4.187,4.197,4.165,127131673,531271769
2018-01-08,4.186,4.204,4.214,4.173,105696705,443371348
2018-01-09,4.204,4.238,4.241,4.197,107946072,455234072
2018-01-10,4.234,4.256,4.26,4.221,144965698,614504154
2018-01-11,4.249,4.25,4.256,4.232,98475059,417892590
2018-01-12,4.25,4.273,4.277,4.245,103574919,441244227
2018-01-15,4.273,4.265,4.31,4.261,157364726,674167931
2018-01-16,4.265,4.308,4.311,4.26,123183954,528244298
2018-01-17,4.309,4.295,4.327,4.281,158939722,684342130
2018-01-18,4.301,4.323,4.336,4.298,125086310,540068089
2018-01-19,4.325,4.335,4.365,4.322,218506460,948695895
2018-01-22,4.322,4.39,4.393,4.322,139873365,609570931
2018-01-23,4.353,4.388,4.389,4.35,158466266,692085166
2018-01-24,4.388,4.391,4.4,4.356,161345725,707011909
2018-01-25,4.388,4.363,4.39,4.341,154871983,675877088
2018-01-26,4.35,4.385,4.414,4.345,98413154,431465307
2018-01-29,4.395,4.302,4.4,4.291,214053187,928592912
2018-01-30,4.292,4.258,4.31,4.255,161687140,692033502
2018-01-31,4.246,4.271,4.286,4.24,166736854,710282987
2018-02-01,4.27,4.241,4.288,4.216,439073590,1861964695
2018-02-02,4.21,4.267,4.273,4.188,212796141,900347625
2018-02-05,4.229,4.263,4.268,4.21,230839513,979154068
2018-02-06,4.2,4.143,4.213,4.136,313173133,1306561662
2018-02-07,4.2,4.045,4.209,4.039,339517812,1400842660
2018-02-08,4.04,4.012,4.072,3.981,312348562,1257459010
2018-02-09,3.905,3.827,3.921,3.764,416837179,1597192107
2018-02-12,3.836,3.882,3.905,3.824,193558868,749100613
2018-02-13,3.917,3.929,3.981,3.917,162462468,641207460
2018-02-14,3.941,3.964,3.971,3.927,93035624,367327722
2018-02-22,4.016,4.046,4.053,4.002,189064057,762189665
2018-02-23,4.054,4.068,4.078,4.033,157657247,639724875
2018-02-26,4.098,4.12,4.133,4.05,202772259,830732992
2018-02-27,4.128,4.061,4.129,4.055,211823291,865489044
2018-02-28,4.028,4.02,4.055,3.995,239224566,962934464
2018-03-01,4.0,4.049,4.067,3.993,118636949,479103432
2018-03-02,4.02,4.022,4.043,4.008,90614682,364642458
2018-03-05,4.025,4.013,4.049,3.99,96012470,385767882
2018-03-06,4.042,4.073,4.074,3.997,133593823,539875126
2018-03-07,4.07,4.04,4.093,4.031,139728541,568031944
2018-03-08,4.042,4.081,4.083,4.031,93207522,378638988
2018-03-09,4.088,4.111,4.117,4.074,111687110,457659735
2018-03-12,4.131,4.123,4.148,4.117,294989163,1217400451
2018-03-13,4.12,4.079,4.127,4.077,143512766,588518518
2018-03-14,4.07,4.065,4.085,4.061,120903364,492145660
2018-03-15,4.06,4.095,4.098,4.052,100079431,408458352
2018-03-16,4.09,4.05,4.105,4.049,88323264,360428554
2018-03-19,4.049,4.072,4.075,4.029,80902013,328421749
2018-03-20,4.059,4.07,4.082,4.034,75493600,306450965
2018-03-21,4.086,4.049,4.114,4.04,129100272,527036026
2018-03-22,4.056,4.013,4.069,4.003,98444017,396821608
2018-03-23,3.9,3.894,3.923,3.825,278976065,1086361137
2018-03-26,3.863,3.876,3.886,3.827,233957550,902528341
2018-03-27,3.921,3.911,3.93,3.885,143793379,562269231
2018-03-28,3.874,3.832,3.904,3.829,135099139,521665681
2018-03-29,3.847,3.902,3.919,3.793,193453972,746819665
2018-03-30,3.903,3.896,3.915,3.878,92303130,359636705
2018-04-02,3.897,3.883,3.936,3.88,177505995,693287261
2018-04-03,3.859,3.858,3.878,3.837,140985282,543351694
2018-04-04,3.867,3.848,3.896,3.843,102878409,398759731
2018-04-09,3.852,3.853,3.875,3.828,119199109,459331572
