date,symbol,open,high,low,close,volume,amount,return
2021-04-13,333,64.87,65.59,64.19,64.66,21362828.0,1686748572.0,-0.0076734192756292
2021-04-13,2475,31.94,33.94,31.94,33.24,100393854.0,3425903411.0,0.0416797242243811
2021-04-13,2594,52.92,54.26,52.92,53.09,15857894.0,2617908978.0,0.0034020034020034
2021-04-13,300059,15.37,15.65,15.32,15.43,129641252.0,3517194614.0,0.0071801566579634
2021-04-13,300274,44.85,46.55,44.67,46.13,40036500.0,2661543665.0,0.0399008115419297
2021-04-13,300308,24.42,25.12,23.82,23.93,6565167.0,227753236.0,-0.0131958762886598
2021-04-13,300502,14.83,15.04,14.55,14.64,4450648.0,183513144.0,-0.0114787305874408
2021-04-13,300750,160.37,171.31,160.26,166.73,140211.0,4558191616.0,0.033535829407389
2021-04-13,600030,19.55,19.65,19.46,19.6,46245147.0,1078853329.0,0.0025575447570331
2021-04-13,600036,39.41,39.95,38.97,39.27,49039895.0,2476556210.0,-0.0027932960893854
2021-04-13,600276,73.14,73.88,71.72,72.8,22380889.0,1988503417.0,-0.0061433447098976
2021-04-13,600519,1805.79,1835.59,1794.79,1806.79,28992.0,5883787264.0,0.0067477210421913
2021-04-13,600900,17.77,17.88,17.55,17.7,37492201.0,786451475.0,-0.007847533632287
2021-04-13,601138,12.1,12.61,12.06,12.47,39321667.0,567975852.0,0.0305785123966944
2021-04-13,601166,17.03,17.08,16.5,16.7,71782236.0,1622980405.0,-0.0106635071090047
2021-04-13,601318,61.17,61.44,60.17,60.45,55250310.0,4254139273.0,-0.007715036112935
2021-04-13,601398,4.1,4.13,4.07,4.12,173937109.0,955601023.0,0.0048780487804878
2021-04-13,601899,8.74,8.95,8.66,8.84,215462208.0,2092158730.0,0.002267573696145
2021-04-13,603259,104.17,106.12,103.19,104.55,17820720.0,2399819518.0,0.0133759813899387
2021-04-13,688256,138.38,139.83,138.11,138.59,323953.0,44964179.0,-0.0042391148153471
2021-04-14,333,64.89,66.26,64.83,65.84,21069229.0,1685738018.0,0.0182493040519642
2021-04-14,2475,33.36,33.53,32.81,33.26,52834109.0,1800520952.0,0.0006016847172081
2021-04-14,2594,54.06,55.36,54.06,55.34,29847317.0,5057752083.0,0.0423808626860049
2021-04-14,300059,15.53,16.21,15.5,16.19,205763074.0,5767757113.0,0.0492546986390149
2021-04-14,300274,46.59,48.41,46.2,46.69,37891358.0,2587355785.0,0.0121396054628224
2021-04-14,300308,23.95,24.28,23.79,24.23,3546102.0,121627170.0,0.0125365649811952
2021-04-14,300502,14.73,14.88,14.57,14.73,4026938.0,164993186.0,0.0061475409836064
2021-04-14,300750,170.35,179.36,168.91,178.53,185043.0,6295708672.0,0.0707731062196366
2021-04-14,600030,19.6,19.92,19.59,19.78,50417531.0,1190093273.0,0.0091836734693877
2021-04-14,600036,39.47,39.49,38.46,38.78,55438353.0,2758186625.0,-0.0124777183600713
2021-04-14,600276,73.19,73.19,67.27,69.97,92249094.0,7812080555.0,-0.0388736263736263
2021-04-14,600519,1820.79,1833.79,1801.79,1832.79,24115.0,4908790016.0,0.0143901615572368
2021-04-14,600900,17.72,17.75,17.43,17.48,53201843.0,1107905890.0,-0.0124293785310733
2021-04-14,601138,12.55,12.61,12.39,12.48,25284207.0,366703971.0,0.0008019246190857
2021-04-14,601166,16.78,16.78,16.0,16.05,164813556.0,3611952669.0,-0.0389221556886226
2021-04-14,601318,60.79,61.18,60.64,60.92,38078954.0,2936032854.0,0.0077750206782465
2021-04-14,601398,4.12,4.13,4.06,4.07,153373910.0,838785290.0,-0.012135922330097
2021-04-14,601899,8.85,9.08,8.85,9.05,222354597.0,2196393986.0,0.0237556561085974
2021-04-14,603259,106.02,107.27,102.22,105.33,17259016.0,2334351642.0,0.0074605451936873
2021-04-14,688256,138.59,140.56,138.31,139.11,321251.0,44719185.0,0.0037520744642471
2021-04-15,333,65.84,66.56,64.88,65.97,17445281.0,1393503616.0,0.0019744835965977
2021-04-15,2475,33.28,33.38,32.05,32.6,63922350.0,2125414454.0,-0.0198436560432951
2021-04-15,2594,54.55,54.59,52.93,53.57,24991213.0,4136742970.0,-0.0319840983014094
2021-04-15,300059,15.98,16.29,15.95,16.29,138111145.0,3898653300.0,0.0061766522544779
2021-04-15,300274,46.43,47.92,45.99,47.58,29631550.0,2020279582.0,0.0190618976226173
2021-04-15,300308,24.2,24.2,23.6,23.85,4460824.0,150822229.0,-0.0156830375567478
2021-04-15,300502,14.66,14.72,14.37,14.59,3789422.0,153593093.0,-0.0095044127630685
2021-04-15,300750,175.18,176.03,171.41,173.53,124741.0,4202803200.0,-0.0280064975074216
2021-04-15,600030,19.73,19.76,19.5,19.61,48101445.0,1123290223.0,-0.0085945399393327
2021-04-15,600036,38.8,39.0,37.67,38.58,57296514.0,2810517787.0,-0.0051572975760701
2021-04-15,600276,69.15,69.2,67.14,67.24,59868383.0,4973531360.0,-0.0390167214520509
2021-04-15,600519,1816.69,1832.69,1775.79,1801.39,34366.0,6903769600.0,-0.0171323501328575
2021-04-15,600900,17.48,17.54,17.07,17.11,57600278.0,1176856409.0,-0.0211670480549199
2021-04-15,601138,12.51,12.51,12.27,12.37,17286651.0,247934976.0,-0.0088141025641026
2021-04-15,601166,16.12,16.12,15.13,15.42,298136610.0,6202455800.0,-0.0392523364485981
2021-04-15,601318,60.13,60.32,59.36,59.86,79358244.0,6004162228.0,-0.0173998686802364
2021-04-15,601398,4.06,4.07,4.03,4.07,157215797.0,851588448.0,0.0
2021-04-15,601899,9.2,9.33,8.93,9.3,283596684.0,2851263081.0,0.0276243093922652
2021-04-15,603259,105.72,106.78,102.23,104.55,14028079.0,1882146805.0,-0.0074052976360011
2021-04-15,688256,138.96,138.96,127.0,131.3,1169468.0,153899738.0,-0.0561426209474517
2021-04-16,333,65.98,66.23,64.83,65.66,15347818.0,1222574469.0,-0.0046991056540852
2021-04-16,2475,32.61,32.72,31.73,32.42,48611486.0,1609124111.0,-0.005521472392638
2021-04-16,2594,53.54,53.87,51.9,53.51,23459944.0,3837152368.0,-0.0011200298674631
2021-04-16,300059,16.32,16.45,16.01,16.3,139928095.0,3982003802.0,0.0006138735420504
2021-04-16,300274,47.58,47.69,44.13,45.56,44437748.0,2914578875.0,-0.0424548129466161
2021-04-16,300308,23.99,24.34,23.74,23.95,4055988.0,137938458.0,0.0041928721174002
2021-04-16,300502,14.62,15.1,14.61,15.01,5211676.0,217416957.0,0.0287868403015765
2021-04-16,300750,175.2,175.42,166.65,171.78,115363.0,3834287104.0,-0.0100847115772488
2021-04-16,600030,19.64,19.93,19.61,19.86,51971974.0,1226250915.0,0.012748597654258
2021-04-16,600036,38.8,38.9,38.31,38.81,31558344.0,1563464005.0,0.0059616381544842
2021-04-16,600276,67.38,67.38,64.89,65.96,52880632.0,4248106020.0,-0.0190362879238549
2021-04-16,600519,1810.87,1853.79,1797.79,1840.77,30294.0,6183895040.0,0.021860896307851
2021-04-16,600900,17.17,17.35,17.11,17.23,24951468.0,510404035.0,0.0070134424313268
2021-04-16,601138,12.3,12.47,12.18,12.39,20806978.0,298206179.0,0.0016168148746968
2021-04-16,601166,15.5,15.51,15.21,15.45,112063592.0,2328418542.0,0.0019455252918287
2021-04-16,601318,59.84,59.91,59.22,59.77,55174264.0,4158750980.0,-0.0015035081857667
2021-04-16,601398,4.06,4.08,4.04,4.06,110874302.0,602808763.0,-0.0024570024570026
2021-04-16,601899,9.63,9.74,9.29,9.32,411957771.0,4305401933.0,0.0021505376344086
2021-04-16,603259,105.88,106.1,102.62,104.67,14398237.0,1934095429.0,0.0011477761836442
2021-04-16,688256,131.0,131.98,127.8,131.28,812413.0,105384468.0,-0.0001523229246002
2021-04-19,333,65.74,67.47,64.92,67.11,26759356.0,2175802611.0,0.0220834602497717
