date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,65.98,66.77,64.92,65.16,25277487.0,2012933376.0,6875002619.0,0.0036767239811868937
2021-04-13,64.87,65.59,64.19,64.66,21362828.0,1686748572.0,6875002619.0,0.003107319252644491
2021-04-14,64.89,66.26,64.83,65.84,21069229.0,1685738018.0,6875002619.0,0.003064613959821969
2021-04-15,65.84,66.56,64.88,65.97,17445281.0,1393503616.0,6875002619.0,0.002537494451534841
2021-04-16,65.98,66.23,64.83,65.66,15347818.0,1222574469.0,6875002619.0,0.0022324090404830144
2021-04-19,65.74,67.47,64.92,67.11,26759356.0,2175802611.0,6875002619.0,0.003892268480894378
2021-04-20,66.63,66.97,65.76,66.54,23153386.0,1866628042.0,6875002619.0,0.0033677639534292663
2021-04-21,65.74,66.15,65.33,65.41,25190606.0,2010416383.0,6875002619.0,0.003664086749637353
2021-04-22,65.43,65.98,64.92,65.94,23096878.0,1841507581.0,6875002619.0,0.003359544611105842
2021-04-23,66.08,69.02,65.95,68.91,45141558.0,3741273480.0,6875002619.0,0.006566042298696032
2021-04-26,69.22,69.85,65.66,65.76,41802919.0,3424838079.0,6875002619.0,0.006080422265508958
2021-04-27,65.71,67.08,65.08,66.33,19000053.0,1531692781.0,6875002619.0,0.0027636430199300265
2021-04-28,66.56,67.13,65.8,67.01,17902575.0,1452688937.0,6875002619.0,0.0026040099171051674
2021-04-29,67.43,69.23,67.27,68.56,29815963.0,2474034002.0,6881133022.0,0.004333001978696525
2021-04-30,69.6,69.6,65.57,65.88,58237700.0,4702118111.0,6881133022.0,0.008463388196944524
2021-05-06,64.35,65.55,63.68,63.73,49115946.0,3841342540.0,6881133022.0,0.0071377701670595605
2021-05-07,63.6,63.72,61.63,61.69,43729514.0,3308412783.0,6881133022.0,0.006354987450495475
2021-05-10,62.31,65.08,62.31,64.09,54943986.0,4265793301.0,6881133022.0,0.007984729524096679
2021-05-11,63.4,64.92,62.94,64.37,27333464.0,2127125363.0,6881133022.0,0.003972233048338242
2021-05-12,64.83,64.83,62.82,63.49,27341035.0,2106351405.0,6881133022.0,0.00397333330319101
2021-05-13,62.55,62.86,61.63,61.75,32950762.0,2482149422.0,6881133022.0,0.004788566344328985
2021-05-14,61.88,62.92,60.5,62.81,30481113.0,2297770136.0,6881133022.0,0.004429664838994883
2021-05-17,63.27,65.2,63.17,64.42,41809230.0,3276114961.0,6881133022.0,0.006075922361379981
2021-05-18,65.57,65.74,63.44,63.96,26855515.0,2106345389.0,6881133022.0,0.0039027751555069413
2021-05-19,63.31,63.9,62.86,63.54,22505269.0,1736145799.0,6881133022.0,0.003270576070546424
2021-05-20,64.92,66.44,63.74,66.31,73533093.0,5884598446.0,6881133022.0,0.010686189725573366
2021-05-21,66.64,68.29,66.45,67.01,50222428.0,4119754982.0,6881133022.0,0.007298569558157279
2021-05-24,67.9,68.2,66.52,67.55,36014944.0,2956298660.0,6881133022.0,0.0052338683011729165
2021-05-25,68.18,69.19,67.66,68.43,41746744.0,3478155176.0,6881133022.0,0.0060668415893908
2021-05-26,68.94,69.84,67.75,69.3,36038191.0,3021930597.0,6881133022.0,0.0052372466692302815
2021-05-27,69.84,69.87,68.56,68.94,29615660.0,2486863195.0,6881133022.0,0.004303892964329327
2021-05-28,68.43,68.44,67.38,67.82,38741514.0,3196831619.0,6881133022.0,0.005630106826323172
2021-05-31,67.96,67.96,65.52,66.56,52395101.0,4208270644.0,6881133022.0,0.007614313054621254
2021-06-01,66.49,66.49,65.18,65.88,47337082.0,3776569524.0,6881133022.0,0.0068792569259533785
2021-06-02,66.55,66.63,65.79,66.63,34284654.0,2706286215.0,6881133022.0,0.004982414071983043
2021-06-03,66.63,66.92,64.94,65.32,41669046.0,3262957927.0,6881133022.0,0.006055550134952761
2021-06-04,64.88,65.79,64.14,65.15,28306603.0,2194930978.0,6881397521.0,0.004113496264910809
2021-06-07,65.16,65.18,63.82,64.35,27727499.0,2124176470.0,6881397521.0,0.004029341266128549
2021-06-08,64.45,64.79,63.39,63.71,32089344.0,2446270922.0,6881397521.0,0.004663201610148631
2021-06-09,63.92,64.22,63.03,63.35,25138005.0,1900479894.0,6881397521.0,0.0036530377620659477
2021-06-10,63.45,63.65,62.78,63.2,32075563.0,2419455653.0,6881397521.0,0.004661198964616536
2021-06-11,63.2,63.36,61.61,62.02,46521367.0,3444045478.0,6881397521.0,0.006760453361113129
2021-06-15,61.91,62.44,60.35,61.38,44590030.0,3245305092.0,6881397521.0,0.006479792783940232
2021-06-16,61.94,63.08,61.35,62.86,44970185.0,3359892667.0,6881397521.0,0.0065350366495707055
2021-06-17,63.03,63.14,61.44,61.57,29929238.0,2214198276.0,6881397521.0,0.004349296477737956
2021-06-18,61.46,62.2,60.48,61.85,38817863.0,2831313013.0,6882408050.000001,0.0056401571540065825
2021-06-21,61.87,61.88,59.65,60.35,47738643.0,3450150411.0,6882408050.000001,0.006936328484621018
2021-06-22,60.26,61.08,59.41,59.74,41034169.0,2942649258.0,6882408050.000001,0.005962181942990142
2021-06-23,59.68,61.43,59.26,61.33,43404358.0,3139531924.0,6882408050.000001,0.006306565621316218
2021-06-24,62.44,62.44,60.94,61.35,28702816.0,2103271901.0,6882408050.000001,0.004170461238490501
2021-06-25,61.66,61.84,60.83,61.33,41255201.0,3019079359.0,6883999669.0,0.005992911531617333
2021-06-28,61.33,61.94,60.76,61.36,30684568.0,2240502744.0,6883999669.0,0.004457374996425207
2021-06-29,61.84,61.85,59.71,59.89,34979911.0,2518377824.0,6883999669.0,0.005081335369250727
2021-06-30,59.59,60.26,59.38,59.82,28444413.0,2022265552.0,6887324632.999999,0.004129965482345807
2021-07-01,59.76,61.51,59.14,61.38,44641783.0,3221962176.0,6887324632.999999,0.0064817306252856
2021-07-02,60.87,60.97,59.22,59.59,40318436.0,2873257073.0,6887324632.999999,0.0058540054590744605
2021-07-05,58.9,58.98,55.97,57.16,78081102.0,5309270148.0,6887324632.999999,0.011336927785555714
2021-07-06,56.71,58.12,56.0,57.5,41063662.0,2802133749.0,6887324632.999999,0.005962207996301952
2021-07-07,57.79,60.3,57.5,59.0,55959761.0,3961973980.0,6888072196.0,0.008124154249210196
2021-07-08,58.67,59.33,57.71,58.67,35977037.0,2508845301.0,6888072196.0,0.005223092321955099
2021-07-09,58.29,59.16,57.59,58.0,29079830.0,2016604915.0,6888072196.0,0.004221766144798404
2021-07-12,58.37,59.93,57.76,59.26,40495549.0,2860148826.0,6888072196.0,0.005879083123361618
2021-07-13,59.32,61.46,59.16,61.02,47453241.0,3430086441.0,6894382137.0,0.0068828852327945745
2021-07-14,60.72,61.02,59.98,60.35,33405515.0,2405155835.0,6894382137.0,0.0048453239661206205
2021-07-15,60.35,60.64,59.18,59.65,31970243.0,2276242686.0,6895804638.0,0.004636187461550879
2021-07-16,59.76,59.76,57.66,58.42,45691025.0,3180537684.0,6885864638.0,0.006635481148997864
2021-07-19,58.49,58.92,57.5,58.79,30561168.0,2124892125.0,6885864638.0,0.0044382469895424045
2021-07-20,58.38,58.85,57.84,58.34,23094780.0,1603201066.0,6892021215.0,0.0033509444152226104
2021-07-21,58.43,58.6,56.83,56.98,51518657.0,3525935837.0,6892021215.0,0.007475115846694328
2021-07-22,56.98,58.58,56.14,57.24,42883759.0,2952043816.0,6892021215.0,0.006222232587831638
2021-07-23,57.24,57.73,55.74,56.12,42451336.0,2851914804.0,6892021215.0,0.006159490035754337
2021-07-26,54.96,55.38,53.53,54.21,57012881.0,3709400702.0,6892021215.0,0.008272302017282749
2021-07-27,54.2,54.46,51.46,51.46,61869875.0,3893777294.0,6892021215.0,0.008977029099293043
2021-07-28,51.46,53.47,51.22,53.04,47782907.0,2994650504.0,6892021215.0,0.0069330760178166395
2021-07-29,54.06,54.06,52.49,53.05,39271265.0,2485962571.0,6892021215.0,0.005698076627293144
2021-07-30,52.88,53.71,51.93,53.23,41977874.0,2648623981.0,6892021215.0,0.006090792916980305
2021-08-02,53.22,55.87,52.45,55.38,54445260.0,3553099532.0,6892021215.0,0.007899752235455068
2021-08-03,54.9,60.56,54.63,59.44,89992768.0,6224743064.0,6893664860.0,0.013054415877130411
2021-08-04,59.0,60.08,58.44,58.66,42636229.0,3000695827.0,6893664860.0,0.0061848421508555905
2021-08-05,58.21,60.02,57.91,58.59,45338268.0,3201066026.0,6893664860.0,0.0065768018783553105
2021-08-06,58.67,59.55,57.04,58.96,34481766.0,2410493994.0,6893664860.0,0.005001949862703363
2021-08-09,58.33,61.6,58.14,60.74,51361921.0,3711851356.0,6893664860.0,0.0074505973300245405
