date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,30.47,31.31,29.89,30.1,62084313.0,1939299568.0,7118503726.0,0.00872153972094444
2023-04-11,29.59,30.22,29.47,29.84,43822431.0,1334579505.0,7118503726.0,0.006156129530415308
2023-04-12,30.43,31.45,30.43,31.37,120619408.0,3838895426.0,7118503726.0,0.016944488988527642
2023-04-13,31.11,31.32,29.81,29.91,75410575.0,2338427016.0,7118503726.0,0.010593599147046369
2023-04-14,29.99,30.12,29.56,29.95,41788319.0,1271956856.0,7118503726.0,0.005870379592184539
2023-04-17,29.78,29.78,28.88,29.08,72851507.0,2165731387.0,7118503726.0,0.010234103935903453
2023-04-18,28.7,29.14,28.5,28.93,41243979.0,1213885094.0,7118503726.0,0.005793911275112256
2023-04-19,28.9,28.97,28.13,28.28,55095752.0,1598894250.0,7118503726.0,0.007739793939949116
2023-04-20,28.33,28.6,27.81,28.04,50549073.0,1449773835.0,7118503726.0,0.0071010812026931856
2023-04-21,28.3,28.65,27.06,27.16,75759346.0,2130821183.0,7118503726.0,0.010642594134395484
2023-04-24,27.16,27.27,26.28,26.45,82220066.0,2243541318.0,7118503726.0,0.011550189360679138
2023-04-25,26.35,26.5,25.24,25.49,82043574.0,2143373764.0,7118503726.0,0.011525395948075395
2023-04-26,25.52,26.72,25.5,26.1,72671744.0,1928541084.0,7118503726.0,0.010208851016621636
2023-04-27,25.83,25.84,24.49,24.64,140127870.0,3557987821.0,7118503726.0,0.019685017440981247
2023-04-28,25.67,26.2,25.25,25.57,107272065.0,2807247071.0,7118504124.0,0.015069467282927152
2023-05-04,25.52,25.54,24.97,25.1,58950401.0,1511944170.0,7118504124.0,0.008281290559522052
2023-05-05,25.1,25.38,24.86,25.31,53480969.0,1372848062.0,7118504124.0,0.007512950483471547
2023-05-08,25.47,25.51,24.94,25.08,50652277.0,1299730137.0,7118504124.0,0.007115578795441883
2023-05-09,25.09,26.33,24.76,25.85,97037768.0,2553638576.0,7118504124.0,0.01363176396468433
2023-05-10,25.62,26.11,25.37,26.06,65214842.0,1714785501.0,7119819145.0,0.009159620584716411
2023-05-11,26.06,26.42,25.84,25.99,48851384.0,1303248280.0,7119819145.0,0.006861323722570484
2023-05-12,25.85,25.99,25.62,25.84,38044793.0,1002049048.0,7119819145.0,0.005343505533664788
2023-05-15,25.88,26.3,25.62,26.25,53980041.0,1433526689.0,7119819145.0,0.007581659014177108
2023-05-16,26.82,26.94,26.12,26.31,64127707.0,1732748690.0,7119819145.0,0.009006929206205279
2023-05-17,26.44,27.23,26.33,27.11,83929067.0,2306203166.0,7119819145.0,0.011788089738057525
2023-05-18,27.1,27.57,26.85,26.94,68120744.0,1887691293.0,7119819145.0,0.009567763255312296
2023-05-19,27.72,27.95,27.21,27.55,96738168.0,2726628896.0,7119819145.0,0.013587166475701259
2023-05-22,27.53,27.85,27.08,27.28,50307828.0,1405825422.0,7119819145.0,0.007065885660217848
2023-05-23,27.21,27.55,26.97,27.1,37006559.0,1029441730.0,7119819145.0,0.005197682447592565
2023-05-24,26.88,27.61,26.76,27.27,44226302.0,1228687279.0,7119819145.0,0.006211717053383102
2023-05-25,27.17,27.39,26.84,27.12,33423023.0,923412146.0,7119819145.0,0.004694364044832771
2023-05-26,27.07,27.11,26.52,26.89,34547899.0,945119937.0,7119819145.0,0.004852356260237563
2023-05-29,27.04,27.22,26.65,26.79,32551244.0,893284636.0,7119819145.0,0.004571920063848756
2023-05-30,26.7,27.1,26.3,27.09,46957979.0,1279682125.0,7119819145.0,0.006595389299035348
2023-05-31,27.03,27.27,26.6,26.74,47560752.0,1304723226.0,7119819145.0,0.006680050578728569
2023-06-01,26.75,28.29,26.71,27.92,120197793.0,3409847553.0,7119819145.0,0.016882141322987213
2023-06-02,28.4,28.62,27.8,28.2,94942253.0,2730744865.0,7119819145.0,0.013334924815706115
2023-06-05,28.19,28.21,27.64,27.77,56034452.0,1588795791.0,7119819145.0,0.007870207214371594
2023-06-06,27.15,27.22,25.62,25.73,140328774.0,3739193183.0,7119819145.0,0.01970959811507965
2023-06-07,25.81,27.18,25.81,26.61,108675864.0,2966631520.0,7119819145.0,0.015263851761785165
2023-06-08,26.63,27.01,26.23,26.85,57765789.0,1572717666.0,7120166083.0,0.008112983366767345
2023-06-09,26.73,26.92,26.0,26.63,59389481.0,1604610773.0,7120166083.0,0.008341024676629021
2023-06-12,26.69,27.31,26.63,26.93,67019753.0,1851458731.0,7120166083.0,0.009412667094945346
2023-06-13,26.91,28.29,26.9,28.17,93738175.0,2648929590.0,7120166083.0,0.013165166922694099
2023-06-14,28.33,28.89,27.89,28.06,69816936.0,2016667836.0,7120166083.0,0.00980552071203702
2023-06-15,28.19,28.3,27.58,27.95,48026379.0,1362376866.0,7120166083.0,0.006745120610973816
2023-06-16,27.97,29.27,27.86,29.17,118649259.0,3473898201.0,7120166083.0,0.016663833064692855
2023-06-19,29.09,29.62,28.91,29.41,78032600.0,2320365209.0,7120166083.0,0.010959379190087918
