date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,53.97,54.83,52.64,52.91,20126800.0,3320602667.0,1151828966.0,0.017473774834726633
2021-04-13,52.92,54.26,52.92,53.09,15857894.0,2617908978.0,1151828966.0,0.013767577017159334
2021-04-14,54.06,55.36,54.06,55.34,29847317.0,5057752083.0,1151828966.0,0.02591297656252899
2021-04-15,54.55,54.59,52.93,53.57,24991213.0,4136742970.0,1151828966.0,0.021696982570934928
2021-04-16,53.54,53.87,51.9,53.51,23459944.0,3837152368.0,1151828966.0,0.020367558632832645
2021-04-19,53.41,57.3,53.15,56.99,50735050.0,8764759455.0,1151828966.0,0.04404738159710424
2021-04-20,56.65,56.65,54.96,55.43,37567703.0,6460740490.0,1151828966.0,0.0326156956535507
2021-04-21,54.71,55.22,54.12,54.58,23048888.0,3880491430.0,1151828966.0,0.020010686204604444
2021-04-22,55.03,55.61,54.13,54.61,19750844.0,3336754765.0,1151828966.0,0.017147375680774467
2021-04-23,54.12,55.48,53.82,54.79,22882799.0,3878511213.0,1151828966.0,0.019866490317104944
2021-04-26,55.03,56.0,54.14,54.22,31951410.0,5432612154.0,1151828966.0,0.027739717391340547
2021-04-27,53.74,54.19,52.9,53.39,25563921.0,4211994738.0,1151828966.0,0.022194198752247735
2021-04-28,53.37,54.56,52.75,53.57,21841198.0,3621682456.0,1151828966.0,0.018962188523395755
2021-04-29,52.77,53.39,52.51,52.75,27585404.0,4496785166.0,1151828966.0,0.023949218863454073
2021-04-30,52.28,52.51,50.73,51.33,35989914.0,5715463805.0,1151828966.0,0.03124588377472702
2021-05-06,50.82,50.82,48.56,48.56,42315808.0,6423783465.0,1151828966.0,0.036737926592479875
2021-05-07,47.95,48.54,46.42,46.6,37798038.0,5528741180.0,1151828966.0,0.03281566891937322
2021-05-10,46.6,48.02,45.79,47.59,26073875.0,3802268898.0,1151828966.0,0.022636932886440364
2021-05-11,46.52,48.16,45.63,47.44,26963996.0,3893703683.0,1151828966.0,0.023409722099313832
2021-05-12,47.99,50.18,47.99,49.76,38465914.0,5872804588.0,1151828966.0,0.033395508478643345
2021-05-13,48.8,48.88,48.09,48.23,21269609.0,3180710319.0,1151828966.0,0.018465943840485083
2021-05-14,47.88,49.88,47.36,49.7,30027866.0,4532481587.0,1151828966.0,0.02606972639720887
2021-05-17,50.32,52.08,50.0,51.72,36300256.0,5761021602.0,1151828966.0,0.0315153178740254
2021-05-18,51.79,52.38,50.78,51.37,19495212.0,3094498220.0,1151828966.0,0.01692543995286189
2021-05-19,51.76,56.33,51.76,55.93,59649087.0,10150054900.0,1151828966.0,0.051786409927808676
2021-05-20,55.03,57.48,54.74,55.98,49988848.0,8686052330.0,1151828966.0,0.043399540622422586
2021-05-21,56.33,57.62,55.06,56.07,33496551.0,5822862674.0,1151828966.0,0.029081184784165257
2021-05-24,55.65,56.81,55.03,56.15,27172287.0,4685927114.0,1151828966.0,0.02359055710706966
2021-05-25,56.65,57.62,55.91,57.14,33152287.0,5830353652.0,1151828966.0,0.028782300131875656
2021-05-26,57.62,59.75,56.97,57.03,34557799.0,6206769477.0,1151828966.0,0.030002543797808954
2021-05-27,57.95,58.17,56.49,57.44,23402610.0,4146048381.0,1151828966.0,0.02031778214544398
2021-05-28,57.44,59.89,57.0,58.81,37119487.0,6754993796.0,1151828966.0,0.03222656149107471
2021-05-31,56.73,57.98,55.09,57.85,43755316.0,7660152240.0,1151828966.0,0.03798768505705386
2021-06-01,57.86,61.8,57.86,61.33,51360412.0,9530431697.0,1151828966.0,0.0445903111625689
2021-06-02,61.51,62.1,59.95,60.37,29434964.0,5527643767.0,1151828966.0,0.025554978099066143
2021-06-03,60.41,60.7,58.33,59.53,25080057.0,4608194800.0,1151828966.0,0.02177411555041584
2021-06-04,58.79,62.15,58.44,61.31,31984839.0,6004827147.0,1151828966.0,0.027768739929396775
