date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,80.76,81.38,79.7,81.32,9805791.0,2436804939.0,1164764604.0,0.008418689034956286
2023-04-11,81.69,82.45,80.54,80.94,8745512.0,2194591845.0,1164764604.0,0.007508394374250747
2023-04-12,80.61,80.61,78.83,78.86,11232970.0,2751446164.0,1164764604.0,0.009643982965677415
2023-04-13,77.94,78.73,77.03,78.67,8096464.0,1952037226.0,1164764604.0,0.006951159034362277
2023-04-14,78.86,80.18,78.72,79.72,10550644.0,2589957803.0,1164764604.0,0.009058177046046292
2023-04-17,79.38,80.89,79.12,80.81,9039385.0,2244153587.0,1164764604.0,0.0077606968557914725
2023-04-18,81.12,81.7,80.49,80.67,7843220.0,1961474846.0,1164764604.0,0.006733738279017964
2023-04-19,80.67,82.03,79.73,81.27,11192747.0,2793037791.0,1164764604.0,0.00960944980776562
2023-04-20,80.97,80.97,79.38,79.38,10030830.0,2470721410.0,1164764604.0,0.008611894597030526
2023-04-21,79.21,80.65,78.73,78.73,10405248.0,2553937672.0,1164764604.0,0.00893334839010956
2023-04-24,79.08,83.78,78.79,82.13,26701734.0,6747607047.0,1164764604.0,0.022924575410603738
2023-04-25,81.32,81.58,78.47,79.15,18741873.0,4589549733.0,1164764604.0,0.016090695867334238
2023-04-26,78.73,82.47,78.08,81.32,17449204.0,4353221180.0,1164764604.0,0.0149808844981007
2023-04-27,80.99,83.91,80.85,83.88,24246438.0,6228404693.0,1164764604.0,0.020816599265408308
2023-04-28,84.71,85.2,82.29,82.89,19194480.0,4933612984.0,1164764604.0,0.016479278245649712
2023-05-04,82.61,83.46,81.45,81.81,11812427.0,3002183827.0,1164764604.0,0.010141471469371678
2023-05-05,81.82,82.23,80.33,81.02,10243959.0,2560075787.0,1164764604.0,0.008794874917060925
2023-05-08,81.97,83.94,81.81,82.3,12162620.0,3104234524.0,1164764604.0,0.010442127068620983
2023-05-09,81.01,82.08,80.67,81.03,8988483.0,2253697879.0,1164764604.0,0.007716995321743139
2023-05-10,81.32,84.94,80.74,84.17,25369089.0,6542224183.0,1164764604.0,0.021780442943473925
2023-05-11,84.48,87.41,83.81,85.45,21423687.0,5669565808.0,1164764604.0,0.0183931473590693
2023-05-12,86.18,86.91,84.08,84.27,10457353.0,2750523184.0,1164764604.0,0.008978082750873154
2023-05-15,84.27,86.36,83.81,85.82,13692627.0,3615695776.0,1164764604.0,0.011755703215033482
2023-05-16,85.66,86.64,85.27,85.9,8163931.0,2162966661.0,1164764604.0,0.007009082326131538
2023-05-17,85.85,86.11,83.91,84.56,8955605.0,2336687603.0,1164764604.0,0.007688768159029667
2023-05-18,84.98,85.49,83.12,83.94,10069665.0,2610927791.0,1164764604.0,0.008645236097851065
2023-05-19,83.65,84.53,83.04,83.97,6010582.0,1557739695.0,1164764604.0,0.0051603405352108386
2023-05-22,84.53,86.18,83.29,85.89,12016521.0,3160916357.0,1164764604.0,0.010316694857255466
2023-05-23,85.87,86.46,85.18,85.18,9061940.0,2401159869.0,1164764604.0,0.0077800612835243746
2023-05-24,84.75,85.85,84.08,84.85,6809295.0,1787131273.0,1164764604.0,0.005846069649279967
2023-05-25,84.87,85.48,82.66,82.81,13207895.0,3413072494.0,1164764604.0,0.011339540156561969
2023-05-26,81.97,81.97,78.66,80.02,18581340.0,4583193890.0,1164764604.0,0.015952871452470752
2023-05-29,80.99,81.17,78.4,79.35,12472291.0,3051361333.0,1164764604.0,0.010707992805729183
2023-05-30,79.68,82.61,79.64,81.71,16688058.0,4201064907.0,1164764604.0,0.014327408252869607
2023-05-31,81.71,82.58,80.88,82.18,11838117.0,2995495154.0,1164764604.0,0.010163527428070779
