date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,15.81,15.99,15.25,15.32,160549589.0,4388464303.0,7135205236.0,0.02250104708831111
2021-04-13,15.37,15.65,15.32,15.43,129641252.0,3517194614.0,7135205236.0,0.018169239385842383
2021-04-14,15.53,16.21,15.5,16.19,205763074.0,5767757113.0,7135205236.0,0.0288377232601302
2021-04-15,15.98,16.29,15.95,16.29,138111145.0,3898653300.0,7135205236.0,0.019356296060437525
2021-04-16,16.32,16.45,16.01,16.3,139928095.0,3982003802.0,7135205236.0,0.019610941854062737
2021-04-19,16.18,17.26,16.05,17.19,287740322.0,8482150139.0,7135205236.0,0.040326845897611124
2021-04-20,16.99,17.32,16.95,16.99,186842016.0,5613619445.0,7135205236.0,0.02618593436630335
2021-04-21,16.81,17.28,16.79,17.08,126948017.0,3802703604.0,7135205236.0,0.017791782128353625
2021-04-22,17.31,17.65,17.12,17.41,163334006.0,4979345292.0,7135205236.0,0.022891283515702365
2021-04-23,17.35,18.28,17.3,18.03,252103513.0,7932986814.0,7135205236.0,0.03533234219080843
2021-04-26,18.26,18.37,17.6,17.7,256758446.0,8114130229.0,7135205236.0,0.035984731694128386
2021-04-27,17.18,17.63,16.75,17.24,305949339.0,9181857445.0,7135205236.0,0.042878842146875006
2021-04-28,17.12,18.31,17.1,18.12,231761573.0,7278688421.0,7135205236.0,0.032481416488297915
2021-04-29,18.08,18.69,18.03,18.25,226160032.0,7277421468.0,7135205236.0,0.03169635974294489
2021-04-30,18.2,18.65,18.13,18.4,172781143.0,5583293691.0,7135205236.0,0.02421530107196485
2021-05-06,18.33,18.43,17.56,17.86,195178451.0,6145861577.0,7135205236.0,0.027354286883752927
2021-05-07,18.03,18.07,17.12,17.23,161468638.0,4956421411.0,7135205236.0,0.02262985193268518
2021-05-10,17.2,17.29,16.84,17.11,137623518.0,4108786498.0,7135205236.0,0.019287955068991374
2021-05-11,16.95,17.68,16.78,17.5,171375031.0,5172819539.0,7135205236.0,0.024018234280822583
2021-05-12,17.23,17.42,17.12,17.38,113511007.0,3439101614.0,7135205236.0,0.01590858331969079
2021-05-13,17.12,17.66,17.07,17.4,114002875.0,3466521449.0,7135205236.0,0.015977518687873102
2021-05-14,17.63,19.91,17.61,19.63,453381460.0,14990641639.0,7135205236.0,0.06354147428198799
2021-05-17,19.34,19.83,19.29,19.58,316358102.0,10872204642.0,7135205236.0,0.04433763171994622
2021-05-18,19.57,20.27,19.52,19.63,218217563.0,7574287903.0,7135205236.0,0.03058322161484634
2021-05-19,19.53,20.6,19.52,20.1,229721021.0,8110703058.0,7135205236.0,0.032195432843468104
2021-05-20,20.2,20.81,20.09,20.38,230202481.0,8232709774.0,7111301181.0,0.032371358650236305
2021-05-21,20.43,20.43,19.62,19.68,227752639.0,7930721726.0,7111301181.0,0.03202685882697674
2021-05-24,20.2,20.59,20.03,20.17,229317151.0,8155786351.0,7111301181.0,0.03224686244659281
2021-05-25,20.2,21.85,20.17,21.67,368103524.0,13744301626.0,7111301181.0,0.051763174506446206
2021-05-26,21.85,21.98,21.32,21.47,242414408.0,9162085748.0,7111301181.0,0.0340886149847912
2021-05-27,21.48,21.81,20.96,21.55,231073657.0,7196577117.0,8533561416.0,0.027078220421165363
2021-05-28,21.47,22.22,21.16,21.47,278433569.0,8776555854.0,8533561416.0,0.03262806177007773
2021-05-31,21.29,21.81,21.0,21.81,232828956.0,7280031144.0,8533561416.0,0.027283914024859232
2021-06-01,21.6,21.73,21.1,21.51,213190108.0,6656828859.0,8533561416.0,0.024982548036776207
2021-06-02,21.55,21.71,20.87,21.01,210402833.0,6504536872.0,8533561416.0,0.02465592297789118
2021-06-03,21.1,21.91,21.1,21.16,266602422.0,8370516850.0,8533561416.0,0.031241636288002077
2021-06-04,20.99,21.93,20.86,21.27,299496055.0,9319942883.0,8533561416.0,0.0350962558772308
