date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,46.71,47.23,44.01,44.36,38923918.0,2544468258.0,1086319901.0,0.03583099045149501
2021-04-13,44.85,46.55,44.67,46.13,40036500.0,2661543665.0,1086319901.0,0.03685516574182691
2021-04-14,46.59,48.41,46.2,46.69,37891358.0,2587355785.0,1086319901.0,0.03488047854515003
2021-04-15,46.43,47.92,45.99,47.58,29631550.0,2020279582.0,1086319901.0,0.02727700189670004
2021-04-16,47.58,47.69,44.13,45.56,44437748.0,2914578875.0,1086319901.0,0.04090668684159548
2021-04-19,44.2,47.79,44.15,47.65,51453415.0,3466745910.0,1086319901.0,0.047364882989472175
2021-04-20,46.89,51.38,46.76,50.18,64448776.0,4650942754.0,1086319901.0,0.05932762157875629
2021-04-21,49.71,51.02,48.82,49.85,37420149.0,2715828302.0,1086319901.0,0.03444671221207794
2021-04-22,52.13,52.41,48.98,51.1,51347013.0,3797467129.0,1086319901.0,0.047266935782666844
2021-04-23,50.57,55.72,50.55,54.44,58952425.0,4624518035.0,1086319901.0,0.054268015292486114
2021-04-26,54.26,59.41,53.24,55.88,64811442.0,5354451459.0,1086319901.0,0.05966146983069953
2021-04-27,55.93,58.75,55.86,57.5,40983757.0,3410702190.0,1086319901.0,0.03772715289692553
2021-04-28,57.93,59.31,56.61,58.2,41304743.0,3484278493.0,1086319901.0,0.03802263307703133
2021-04-29,58.61,58.61,55.44,56.74,50437000.0,4149442404.0,1086319901.0,0.04642923318772929
2021-04-30,56.82,63.1,56.82,62.0,59869203.0,5285531670.0,1086319901.0,0.05511194533478403
2021-05-06,62.0,63.17,58.11,59.17,60541855.0,5294371448.0,1086319901.0,0.055731147836165805
2021-05-07,59.17,60.46,56.47,56.84,40138336.0,3388909660.0,1086319901.0,0.03694890976686618
2021-05-10,55.71,58.19,55.36,56.86,31291630.0,2586358903.0,1086319901.0,0.02880517053143814
2021-05-11,55.86,55.86,52.88,54.77,38539420.0,3030250116.0,1086319901.0,0.0354770449887947
2021-05-12,54.76,57.38,54.76,56.55,25274452.0,2059425971.0,1087623151.0,0.02323824385014401
2021-05-13,55.15,55.98,54.18,55.12,22242887.0,1775552258.0,1087623151.0,0.020450913516827117
2021-05-14,55.41,57.07,52.89,56.34,37533151.0,3008829215.0,1087623151.0,0.0345093343824933
2021-05-17,56.31,59.98,55.86,59.73,43710957.0,3729907797.0,1088675151.0,0.04015059676878764
2021-05-18,58.48,60.82,58.44,59.83,25717590.0,2214050410.0,1088675151.0,0.023622831821206874
2021-05-19,59.8,62.06,56.9,61.79,38163347.0,3358169065.0,1088675151.0,0.035054852648143155
2021-05-20,61.79,62.98,58.81,59.28,39243684.0,3434567128.0,1088675151.0,0.03604719365914874
2021-05-21,60.76,63.36,60.26,61.49,48870289.0,4393712578.0,1088675151.0,0.04488968904554339
2021-05-24,61.29,61.98,59.0,60.93,39062317.0,3404231440.0,1088675151.0,0.03588059942777182
2021-05-25,60.37,62.48,59.02,62.11,43044141.0,3782155180.0,1088675151.0,0.03953809449996347
2021-05-26,62.06,62.27,59.89,60.04,33446400.0,2936929669.0,1088675151.0,0.03072211207289694
2021-05-27,59.43,62.21,59.22,61.03,40488077.0,3588001511.0,1088675151.0,0.03719022792318698
2021-05-28,62.03,65.62,61.38,62.56,52701988.0,4870749635.0,1088675151.0,0.04840928715199452
2021-05-31,62.85,67.67,61.65,66.93,48683699.0,4604747279.0,1088675151.0,0.044718297239798026
2021-06-01,66.51,66.93,64.39,66.34,32366908.0,3079412748.0,1088675151.0,0.02973054723465439
2021-06-02,67.68,68.25,64.43,64.64,29177630.0,2772174114.0,1088675151.0,0.026801043427140736
2021-06-03,64.44,64.44,60.39,61.0,49343615.0,4408929930.0,1088675151.0,0.045324461529847114
2021-06-04,59.75,60.03,58.01,59.26,54448920.0,4647796270.0,1088675151.0,0.05001392743279395
2021-06-07,58.45,58.47,56.2,57.2,47797610.0,3948261882.0,1088675151.0,0.0439043822724305
2021-06-08,57.12,59.11,56.67,57.57,32393269.0,2723768341.0,1088675151.0,0.02975476106921816
2021-06-09,57.2,59.33,56.5,59.33,30290870.0,2556136048.0,1088675151.0,0.027823607411426993
2021-06-10,60.23,66.69,60.23,65.62,76537832.0,7098735606.0,1088675151.0,0.0703036456097086
2021-06-11,66.65,69.06,64.98,67.6,72812147.0,7113505655.0,1088675151.0,0.06688142641367223
2021-06-15,68.15,69.06,66.44,67.76,36349880.0,3562452852.0,1088675151.0,0.03338909679954659
2021-06-16,66.39,66.4,62.44,63.88,45990247.0,4245954177.0,1088644926.0,0.042245406102228045
2021-06-17,63.9,65.46,63.27,65.17,32747024.0,3061900492.0,1088644926.0,0.030080537021673494
2021-06-18,65.06,69.52,64.6,68.72,41702098.0,4084231717.0,1088644926.0,0.03830642756332472
2021-06-21,67.55,71.9,66.46,71.0,42814990.0,4344668958.0,1095463676.0,0.03908389747466168
2021-06-22,71.0,72.07,68.79,70.51,28900700.0,2943581694.0,1095463676.0,0.02638216184906162
2021-06-23,71.83,73.48,70.28,70.8,35021048.0,3642738711.0,1095463676.0,0.03196915494987165
2021-06-24,73.49,76.36,71.83,73.84,45982314.0,4946682807.0,1095463676.0,0.04197520648781421
2021-06-25,73.21,78.0,72.61,76.32,34350804.0,3796611778.0,1095463676.0,0.031357319053635146
2021-06-28,76.31,78.04,74.24,75.51,29895366.0,3280274361.0,1095463676.0,0.02729014813997356
2021-06-29,77.36,81.07,76.32,79.54,38946309.0,4473481840.0,1095463676.0,0.035552350893285116
2021-06-30,78.14,81.63,76.9,79.47,25638721.0,2945000137.0,1095463676.0,0.0234044465021586
2021-07-01,80.25,80.74,73.97,74.6,36963978.0,4065170914.0,1095463676.0,0.03374276921255032
2021-07-02,74.66,75.72,71.33,72.59,38563725.0,4096075983.0,1095463676.0,0.03520310699923199
2021-07-05,72.74,75.76,72.04,74.4,30434000.0,3253013604.0,1095463676.0,0.02778184312886336
2021-07-06,74.41,74.61,70.45,72.73,32555489.0,3408082987.0,1095463676.0,0.029718455949971634
2021-07-07,72.23,79.98,70.52,79.36,44529085.0,4919026096.0,1095463676.0,0.04064861845770594
2021-07-08,79.22,84.38,78.05,81.74,46743855.0,5540732443.0,1095463676.0,0.04267038334916
2021-07-09,81.64,82.57,78.07,81.5,34189378.0,3984302211.0,1095463676.0,0.03120996044783506
2021-07-12,83.04,84.74,79.45,81.83,35393946.0,4210710506.0,1095463676.0,0.03230955692592038
2021-07-13,80.47,85.08,80.47,82.18,29130782.0,3508505169.0,1095463676.0,0.02659219345945707
2021-07-14,81.5,87.48,80.66,83.59,35595498.0,4383587238.0,1095463676.0,0.03249354476998651
2021-07-15,82.33,91.08,82.33,90.07,42192135.0,5378518453.0,1095463676.0,0.03851532088591133
2021-07-16,90.16,93.69,86.63,86.96,34456725.0,4494710104.0,1095463676.0,0.031454009617019926
2021-07-19,89.69,91.95,87.1,87.73,25879979.0,3340584788.0,1095463676.0,0.023624680185196756
2021-07-20,86.43,89.51,84.62,87.1,27152776.0,3399873048.0,1095463676.0,0.02478655987859519
2021-07-21,88.8,95.46,88.8,95.3,38927582.0,5244185565.0,1095463676.0,0.035535255849049256
2021-07-22,96.7,99.63,94.82,98.8,29968212.0,4216374764.0,1095463676.0,0.027356646008954478
2021-07-23,98.08,98.77,94.34,94.76,27775252.0,3860057527.0,1095463676.0,0.025354790495125464
2021-07-26,96.61,99.45,92.33,98.15,36397929.0,5096566475.0,1095463676.0,0.03322604829117127
2021-07-27,98.2,99.76,84.96,87.01,49032333.0,6630862329.0,1095463676.0,0.04475943299100316
2021-07-28,83.72,91.17,83.43,90.32,38771942.0,4934640270.0,1095463676.0,0.03539317902495199
2021-07-29,94.16,108.38,92.94,108.38,59193911.0,8689628047.0,1095463676.0,0.05403548497029307
2021-07-30,110.51,124.44,109.48,115.9,57343814.0,9569103682.0,1095463676.0,0.052346613818713236
2021-08-02,113.71,118.1,106.22,110.93,53024245.0,8545729679.0,1095463676.0,0.04840347166381079
2021-08-03,108.44,109.82,95.32,99.45,66368887.0,9698174817.0,1095463676.0,0.060585201001224255
2021-08-04,98.94,107.4,98.83,105.88,52083508.0,7827329694.0,1095463676.0,0.04754471475510613
2021-08-05,103.61,108.92,99.46,106.58,39710793.0,5977214648.0,1095463676.0,0.036250214288255415
2021-08-06,105.7,114.5,103.96,110.35,40858880.0,6491076395.0,1095463676.0,0.03729825177699456
2021-08-09,107.75,112.69,102.43,109.06,35592901.0,5537824025.0,1095463676.0,0.03249117408435184
2021-08-10,106.98,115.11,103.04,106.69,42152278.0,6683066988.0,1095463676.0,0.03847893720576455
2021-08-11,104.56,109.5,104.21,105.76,31977824.0,4942839148.0,1095463676.0,0.029191131299546622
2021-08-12,105.2,107.14,102.45,103.61,26003861.0,3914476646.0,1095463676.0,0.023737766545533546
2021-08-13,101.53,104.57,96.39,99.45,44265212.0,6414185861.0,1095463676.0,0.040407740548395875
2021-08-16,98.77,101.31,96.14,97.25,27687171.0,3926248917.0,1095463676.0,0.0252743852731818
2021-08-17,99.13,102.91,97.8,99.94,38357442.0,5585598907.0,1095463676.0,0.035014800435975386
2021-08-18,99.0,100.96,91.35,92.9,60155544.0,8285996221.0,1095463676.0,0.054913316906730555
2021-08-19,93.18,96.46,89.79,94.74,36642972.0,4955383892.0,1095463676.0,0.033449737132132895
2021-08-20,94.78,99.07,93.51,95.18,32397167.0,4505777668.0,1095463676.0,0.029573930847525427
2021-08-23,95.4,101.75,92.55,100.15,39528353.0,5550426884.0,1095463676.0,0.03608367293777799
2021-08-24,100.15,107.86,99.39,101.6,44648217.0,6679708950.0,1095463676.0,0.04075736875459849
2021-08-25,101.62,107.04,100.29,106.33,33034280.0,4972660516.0,1095463676.0,0.030155522929452203
2021-08-26,105.68,111.55,103.61,103.64,35145884.0,5477604877.0,1095463676.0,0.03208311217431914
2021-08-27,102.22,106.22,101.46,103.04,27305163.0,4083101926.0,1095463676.0,0.024925667183874747
2021-08-30,97.63,115.09,95.92,112.16,61251225.0,9557506841.0,1095463676.0,0.05591351529213096
2021-08-31,110.51,112.59,106.65,108.63,28893014.0,4548594246.0,1095463676.0,0.026375145641981103
2021-09-01,108.64,110.03,95.32,98.14,40386366.0,5901255231.0,1095463676.0,0.03686691479124863
2021-09-02,98.14,102.15,96.61,98.7,29088765.0,4165524067.0,1095463676.0,0.02655383801151249
2021-09-03,98.36,104.12,95.65,96.6,30589809.0,4425133419.0,1095463676.0,0.0279240742255337
2021-09-06,96.87,98.08,90.77,96.83,32995957.0,4502940685.0,1095462401.0,0.030120574626641156
2021-09-07,95.66,98.11,92.32,98.08,28327992.0,3942501230.0,1095462401.0,0.025859392320668063
2021-09-08,98.02,102.21,94.06,94.43,29453177.0,4145286098.0,1096142401.0,0.026869845535698787
2021-09-09,94.96,95.77,91.3,95.43,27901713.0,3771318275.0,1096142401.0,0.025454460090719545
2021-09-10,95.37,101.88,94.07,99.12,34546029.0,4905905248.0,1096142401.0,0.03151600464363389
2021-09-13,98.98,99.12,92.83,92.93,30405586.0,4156617710.0,1096142401.0,0.027738718958651067
2021-09-14,92.55,95.87,91.38,93.45,23829449.0,3229557360.0,1096142401.0,0.021739373441133768
2021-09-15,93.8,97.25,92.82,95.12,25382413.0,3511492005.0,1096142401.0,0.023156127321453737
2021-09-16,95.12,95.41,87.35,87.37,35108939.0,4569950992.0,1096142401.0,0.03202954193540042
2021-09-17,87.37,88.8,83.64,85.63,29008690.0,3614921520.0,1096142401.0,0.026464344389502365
2021-09-22,85.65,89.05,85.65,85.89,19571398.0,2476754639.0,1096142401.0,0.01785479512711597
2021-09-23,88.87,90.26,86.06,89.44,26836482.0,3454969763.0,1096142401.0,0.024482660259759443
2021-09-24,90.07,99.6,88.22,96.97,43203498.0,5959245106.0,1096142401.0,0.03941412900421138
2021-09-27,99.29,103.61,96.0,102.05,40029378.0,5817766942.0,1096142401.0,0.03651841034840144
2021-09-28,102.05,103.87,97.87,98.92,24917100.0,3622187606.0,1096142401.0,0.022731626818986633
2021-09-29,97.6,106.09,97.46,101.8,33929295.0,5051311044.0,1096142401.0,0.030953364242681095
2021-09-30,103.52,104.27,99.69,102.49,24393494.0,3604380084.0,1096142401.0,0.022253946182308113
2021-10-08,103.61,105.35,99.45,103.74,23006050.0,3413992009.0,1096142401.0,0.02098819458038646
2021-10-11,104.99,105.33,95.44,96.01,31067763.0,4491432740.0,1096142401.0,0.028342816564396363
2021-10-12,96.7,101.24,96.35,99.12,24474172.0,3495170118.0,1096142401.0,0.02232754793325434
2021-10-13,100.73,105.88,98.81,104.66,30160263.0,4530836919.0,1096142401.0,0.027514913183255284
2021-10-14,104.71,110.62,104.71,105.99,36047153.0,5616290832.0,1096142401.0,0.03288546539857826
2021-10-15,104.68,109.96,103.34,108.84,24954354.0,3889270974.0,1096142401.0,0.02276561327910898
2021-10-18,110.86,112.99,108.12,111.69,23372089.0,3741976073.0,1096142401.0,0.021322128382843208
2021-10-19,112.58,114.29,108.5,110.86,22246794.0,3562932181.0,1096142401.0,0.020295532751679404
2021-10-20,110.86,114.57,110.07,110.79,25782148.0,4195538474.0,1096142401.0,0.023520801655404624
2021-10-21,110.44,112.38,108.05,110.43,19246509.0,3068183003.0,1096142401.0,0.017558402067506557
2021-10-22,110.51,111.33,107.75,108.7,14397102.0,2278250587.0,1096142401.0,0.013134335453920645
2021-10-25,109.14,121.72,109.14,118.8,44219458.0,7519361673.0,1096142401.0,0.04034097938338944
2021-10-26,120.9,121.43,116.73,117.63,20455109.0,3507775359.0,1096142401.0,0.018660996036043313
2021-10-27,118.1,123.62,118.08,119.17,23313373.0,4081911306.0,1096142401.0,0.021268562349865707
2021-10-28,121.91,121.91,116.66,118.11,18096114.0,3120273145.0,1096142401.0,0.01650890795164122
2021-10-29,110.86,116.04,104.78,113.34,58414581.0,9324051579.0,1096142401.0,0.05329105136952001
2021-11-01,112.57,117.76,109.13,113.86,31009372.0,5094672828.0,1096142401.0,0.028289547025742687
2021-11-02,112.58,114.23,108.93,112.0,22018052.0,3553652529.0,1096142401.0,0.02008685366054004
2021-11-03,112.45,113.01,104.42,105.73,27310529.0,4237439227.0,1096142401.0,0.0249151287050705
2021-11-04,108.5,110.9,106.92,109.41,20704624.0,3274507955.0,1096142401.0,0.01888862613207132
2021-11-05,108.44,110.51,105.01,107.6,16271440.0,2549841827.0,1096142401.0,0.014844275693701588
2021-11-08,107.06,112.12,106.37,109.13,18099672.0,2868905625.0,1096142401.0,0.016512153880269432
2021-11-09,111.4,115.06,108.85,110.66,21113732.0,3411898515.0,1096142401.0,0.01926185136232131
2021-11-10,109.13,111.56,107.54,109.75,13993227.0,2210407249.0,1096142401.0,0.012765884238429346
2021-11-11,110.17,113.46,108.79,111.19,17385231.0,2801622663.0,1096142401.0,0.015860376338092227
2021-11-12,111.89,113.12,110.57,111.01,13892246.0,2249914732.0,1096142401.0,0.01267376025900124
2021-11-15,110.97,111.06,102.64,103.66,25193476.0,3828842703.0,1096142401.0,0.02298376194280619
2021-11-16,103.26,104.22,100.2,101.33,19335821.0,2849081082.0,1096142401.0,0.017639880532274017
2021-11-17,101.91,105.33,100.5,105.09,18340127.0,2741471468.0,1096142401.0,0.016731518626839435
2021-11-18,104.95,104.95,102.29,103.34,12550670.0,1876850982.0,1096142401.0,0.011449853585218623
2021-11-19,103.57,105.75,101.93,104.66,16863699.0,2535658659.0,1096142401.0,0.015384587791344821
2021-11-22,106.37,110.53,106.37,109.15,23909998.0,3768910460.0,1096142401.0,0.02181285750664069
2021-11-23,109.82,110.77,107.42,108.17,16505315.0,2600644445.0,1096142401.0,0.015057637570576926
2021-11-24,108.36,108.44,104.62,104.98,14720610.0,2264551166.0,1096142401.0,0.01342946864072636
2021-11-25,104.51,105.33,102.46,102.56,14282786.0,2140182794.0,1096142401.0,0.013030046084313456
2021-11-26,103.23,106.44,102.91,105.57,12535125.0,1902621313.0,1096142401.0,0.011435672033637535
2021-11-29,104.21,112.36,104.03,109.28,24640212.0,3908451679.0,1096142401.0,0.022479024602570775
2021-11-30,111.2,112.8,107.75,111.53,18234078.0,2902668648.0,1096142401.0,0.016634771160540116
2021-12-01,112.24,112.58,109.47,110.51,14723696.0,2354355959.0,1096142401.0,0.013432283968367355
2021-12-02,109.68,111.05,108.3,109.12,10366623.0,1645269287.0,1096142401.0,0.009457368851476442
2021-12-03,108.79,109.82,104.12,105.67,22155976.0,3387028447.0,1096142401.0,0.02021268037782985
2021-12-06,106.71,106.78,103.47,103.78,11845764.0,1796430545.0,1096142401.0,0.01080677473035732
2021-12-07,104.3,104.64,100.27,102.71,15737176.0,2321800720.0,1096142401.0,0.014356871867782077
2021-12-08,103.32,104.68,101.12,103.74,15237003.0,2278958459.0,1096142401.0,0.013900568927996427
2021-12-09,103.61,103.78,101.53,102.24,16402562.0,2436329781.0,1096142401.0,0.014963897012866306
2021-12-10,102.22,104.85,101.03,103.6,21261827.0,3183325952.0,1096142401.0,0.019396956983511487
2021-12-13,103.4,105.15,101.96,102.29,17969405.0,2680441547.0,1096142401.0,0.01639331256924893
2021-12-14,102.21,104.16,101.8,102.82,11935237.0,1775050954.0,1096142401.0,0.010888400073851353
2021-12-15,102.91,104.51,101.99,102.98,14600164.0,2181558327.0,1096142401.0,0.013319586932026726
2021-12-16,104.01,105.52,103.3,105.42,18570089.0,2815355342.0,1096142401.0,0.016941310712055922
2021-12-17,105.68,105.68,100.16,101.19,19772063.0,2927049798.0,1096142401.0,0.01803785984554757
2021-12-20,100.22,101.19,93.47,95.04,29631940.0,4100474119.0,1096142401.0,0.027032929273575285
2021-12-21,94.97,94.97,89.65,93.47,29795883.0,3955237903.0,1096142401.0,0.02718249287028538
2021-12-22,93.62,95.72,91.97,94.9,17139276.0,2333243077.0,1096142401.0,0.015635993995272882
2021-12-23,94.52,99.38,94.41,97.38,18602062.0,2616935565.0,1096142401.0,0.01697047936748868
2021-12-24,96.71,98.16,91.86,92.01,17654686.0,2403052121.0,1096142401.0,0.01610619750124966
2021-12-27,90.06,94.28,90.05,93.73,14005163.0,1890167988.0,1096142401.0,0.012776773334580641
2021-12-28,93.93,96.66,92.51,95.9,13906922.0,1901734757.0,1096142401.0,0.012687149030374932
2021-12-29,97.18,98.46,95.66,95.66,12259836.0,1715509580.0,1096142401.0,0.011184528569294893
2021-12-30,95.66,99.12,95.32,97.37,12731087.0,1802357115.0,1096142401.0,0.011614446251130834
2021-12-31,100.77,104.3,100.42,100.7,23890215.0,3540857522.0,1096142401.0,0.021794809669076928
2022-01-04,101.53,102.88,93.28,93.52,24126115.0,3333125231.0,1096142401.0,0.02201001893366225
2022-01-05,94.07,94.07,87.44,89.1,26511578.0,3446945873.0,1096142401.0,0.024186253515796622
2022-01-06,88.32,90.62,86.83,89.86,15122159.0,1951905988.0,1096142401.0,0.013795797869149301
2022-01-07,89.1,90.61,86.32,88.62,16480507.0,2113754364.0,1096142401.0,0.015035005474621723
2022-01-10,88.35,88.35,85.43,85.99,17182521.0,2148032232.0,1096142401.0,0.015675445986146102
2022-01-11,86.93,86.93,82.61,83.56,22058762.0,2686072188.0,1096142401.0,0.02012399299568743
2022-01-12,85.99,86.68,83.67,86.68,20578121.0,2547379990.0,1096142401.0,0.018773218681465823
2022-01-13,86.78,87.0,84.68,84.99,13122835.0,1625721254.0,1096142401.0,0.01197183412303745
2022-01-14,83.85,86.41,83.06,85.37,14895669.0,1840406518.0,1096142401.0,0.013589173255601486
2022-01-17,85.38,88.78,85.06,86.13,17620631.0,2208586456.0,1096142401.0,0.016075129457563973
2022-01-18,86.34,87.37,84.09,86.23,12773264.0,1588611019.0,1096142401.0,0.011652923916041452
2022-01-19,85.88,85.88,81.98,83.37,18025446.0,2178620499.0,1096142401.0,0.016444438225868795
2022-01-20,82.19,85.46,81.88,84.45,13245163.0,1613018031.0,1096142401.0,0.012083432761944585
2022-01-21,84.45,88.2,83.58,86.18,18652866.0,2335782027.0,1096142401.0,0.017016827360188943
2022-01-24,87.03,91.84,85.65,90.88,25908929.0,3360230248.0,1096142401.0,0.02363646272269327
2022-01-25,89.79,90.68,87.04,87.04,16296040.0,2084175762.0,1096142401.0,0.014866718033289546
2022-01-26,88.12,90.34,87.73,89.41,13220268.0,1703984678.0,1096142401.0,0.012060721296739619
2022-01-27,88.69,89.24,75.69,76.67,46622354.0,5469158368.0,1096142401.0,0.04253311792105376
2022-01-28,79.09,80.49,77.36,78.73,30530837.0,3498893563.0,1096142401.0,0.02785298422189217
2022-02-07,82.54,82.54,77.43,77.97,19068133.0,2180101019.0,1096142401.0,0.017395671385947966
2022-02-08,78.05,78.73,72.12,73.99,32415736.0,3468752626.0,1096142401.0,0.029572559158762075
2022-02-09,74.44,74.73,71.07,73.94,24015170.0,2538147030.0,1096142401.0,0.021908804894410796
2022-02-10,75.28,75.28,68.38,69.83,38024727.0,3863937087.0,1096142401.0,0.03468958683224954
2022-02-11,68.03,69.75,66.59,66.79,33176717.0,3272970029.0,1096142401.0,0.030266794688110967
2022-02-14,66.04,67.91,65.27,66.02,24156437.0,2329634213.0,1096142401.0,0.022037681397929977
2022-02-15,67.13,71.12,65.8,70.65,33815260.0,3379885949.0,1096142401.0,0.030849331226627735
2022-02-16,71.0,72.23,70.04,70.67,21473690.0,2208839152.0,1096142401.0,0.019590237527906743
2022-02-17,70.46,75.62,69.97,74.32,33317386.0,3564533426.0,1096142401.0,0.03039512564207431
2022-02-18,73.74,75.6,72.6,73.17,17657308.0,1884092204.0,1096142401.0,0.01610858952622525
2022-02-21,72.84,74.75,71.49,73.25,19864910.0,2095118102.0,1096142401.0,0.018122563256268015
2022-02-22,72.21,75.36,71.15,74.35,22058471.0,2360508142.0,1096142401.0,0.020123727519231326
2022-02-23,74.92,77.37,74.59,77.25,22060310.0,2444862550.0,1096142401.0,0.02012540522095906
2022-02-24,76.67,82.09,76.0,80.19,39389678.0,4552895612.0,1096142401.0,0.035934818290091854
2022-02-25,83.34,84.03,78.72,80.92,24855712.0,2916418720.0,1096142401.0,0.022675623146522182
2022-02-28,80.12,83.75,79.54,83.64,17574990.0,2084095648.0,1096142401.0,0.016033491619306495
2022-03-01,86.25,87.37,83.61,84.85,24923288.0,3092345741.0,1096142401.0,0.022737272070912255
2022-03-02,85.39,86.58,82.11,86.39,16666781.0,2037321426.0,1096142401.0,0.015204941424394366
2022-03-03,87.29,88.82,84.09,84.47,17625533.0,2201835366.0,1096142401.0,0.016079601504257475
2022-03-04,83.57,86.05,82.9,84.01,14915752.0,1825060458.0,1096142401.0,0.013607494780233395
2022-03-07,83.17,87.35,82.04,85.59,24185204.0,2985101156.0,1096142401.0,0.022063925250894477
2022-03-08,86.68,89.76,86.34,87.65,28160696.0,3600683523.0,1096142401.0,0.025690727750618234
2022-03-09,89.58,90.34,79.43,84.38,33628357.0,4113344989.0,1096142401.0,0.030678821446302212
2022-03-10,86.8,90.01,85.41,89.11,25065947.0,3197194942.0,1096142401.0,0.02286741848242763
2022-03-11,87.03,89.02,83.58,87.39,21736734.0,2714937022.0,1096142401.0,0.0198302099984179
2022-03-14,86.88,87.01,82.18,82.88,16343523.0,1996370992.0,1096142401.0,0.014910036310145437
