date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,69.19,70.23,68.6,70.15,25628252.0,2581727751.0,1129222668.0,0.02269548134859085
2023-04-11,70.53,72.21,69.23,71.1,32771625.0,3356564314.0,1129222668.0,0.029021402003949145
2023-04-12,70.42,71.58,68.51,69.01,22452179.0,2256132976.0,1129222668.0,0.019882862464819028
2023-04-13,69.14,71.5,67.08,69.18,22282636.0,2243459409.0,1129222668.0,0.019732721128832318
2023-04-14,68.48,72.26,68.47,70.56,31637834.0,3243662742.0,1129222668.0,0.028017356449312796
2023-04-17,70.19,71.43,70.0,71.0,17847922.0,1823276154.0,1129222668.0,0.01580549390813327
2023-04-18,71.79,76.33,71.79,75.98,49698015.0,5374653985.0,1129222668.0,0.04401081948524965
2023-04-19,75.98,76.76,73.68,75.44,30051693.0,3270329846.0,1129222668.0,0.026612725595763546
2023-04-20,74.89,75.15,72.47,73.08,24537968.0,2597757032.0,1129222668.0,0.02172996406763595
2023-04-21,73.29,78.03,73.16,76.07,38163333.0,4186968315.0,1129222668.0,0.03379610955525027
2023-04-24,76.11,76.17,69.84,71.5,40335338.0,4172046920.0,1129222668.0,0.035719561024610956
2023-04-25,73.65,76.03,70.56,70.84,41927116.0,4434259921.0,1129222668.0,0.03712918380770585
2023-04-26,69.15,82.98,68.98,81.24,75226572.0,8462653113.0,1129222668.0,0.06661801443752101
2023-04-27,79.52,81.87,78.84,80.52,35363451.0,4108053025.0,1129222668.0,0.031316632230411444
2023-04-28,79.66,80.82,76.55,77.96,35232318.0,3973628977.0,1129222668.0,0.03120050544362611
2023-05-04,76.07,80.88,75.96,78.14,34081228.0,3875389900.0,1129222668.0,0.030181140501157562
2023-05-05,77.19,77.44,72.73,74.34,32788133.0,3523811873.0,1129222668.0,0.029036020909916766
2023-05-08,74.35,75.25,72.02,74.54,24860666.0,2652432866.0,1129222668.0,0.022015734101434103
2023-05-09,74.62,76.0,72.95,74.06,20834425.0,2234649257.0,1129222668.0,0.018450236246940095
2023-05-10,73.62,76.45,71.36,75.96,30461256.0,3274340306.0,1129222668.0,0.026975420227749094
2023-05-11,74.95,79.52,74.82,76.83,29368870.0,3281582195.0,1129222668.0,0.026008041489298195
2023-05-12,76.74,77.98,75.04,75.1,17231963.0,1903267657.0,1129222668.0,0.015260022215565371
2023-05-15,76.07,81.17,75.99,80.55,34028012.0,3918237824.0,1129222668.0,0.030134014277510057
2023-05-16,80.21,83.4,79.79,80.57,29413615.0,3465618504.0,1129343287.0,0.026044884083151237
2023-05-17,81.74,82.19,78.9,80.89,17464843.0,2027348884.0,1129343287.0,0.015464600711794022
2023-05-18,80.87,80.89,78.35,78.66,18758391.0,2146826539.0,1129343287.0,0.016609999117124075
2023-05-19,78.97,79.83,77.75,79.3,14181019.0,1624490940.0,1129343287.0,0.012556871912410809
2023-05-22,78.54,80.62,78.15,78.69,12502514.0,1431815194.0,1129343287.0,0.01107060549605941
2023-05-23,78.69,81.19,78.4,79.07,16302561.0,1877237001.0,1129343287.0,0.014435434457937324
2023-05-24,78.62,82.0,78.29,81.11,23891900.0,2794347325.0,1129343287.0,0.021155569148037092
2023-05-25,80.12,85.09,79.72,83.0,33583170.0,4032942964.0,1129343287.0,0.029736901424553295
2023-05-26,82.64,82.9,78.23,78.85,26017949.0,2995652392.0,1129343287.0,0.023038122508448576
2023-05-29,78.22,78.69,75.11,75.65,25185598.0,2771419195.0,1129343287.0,0.02230110037392023
2023-05-30,75.72,77.83,75.3,76.48,18248589.0,2016014142.0,1129343287.0,0.016158584559771684
2023-05-31,76.76,77.35,74.95,76.16,13292644.0,1469723448.0,1129343287.0,0.011770242186776287
2023-06-01,76.07,77.03,74.21,74.43,17661085.0,1925995533.0,1129343287.0,0.015638367184981548
2023-06-02,74.06,75.72,73.87,74.66,13270602.0,1440188730.0,1129343287.0,0.011750724649235905
2023-06-05,73.99,73.99,70.28,71.97,24379450.0,2529903462.0,1129343287.0,0.021587280219074786
2023-06-06,71.73,73.28,70.12,72.57,22903163.0,2375129005.0,1129343287.0,0.020280071846745747
2023-06-07,72.03,72.28,69.84,70.79,18497976.0,1889012986.0,1129343287.0,0.016379409354916545
2023-06-08,71.51,73.54,71.05,71.31,19070689.0,1985934292.0,1126268947.0,0.01693262435300012
2023-06-09,70.9,72.55,70.68,71.87,16510609.0,1704727143.0,1126268947.0,0.014659561594039049
2023-06-12,71.44,73.47,69.9,73.02,23052851.0,2387581465.0,1126268947.0,0.020468335792623076
2023-06-13,72.19,73.31,71.98,72.42,14013222.0,1465541342.0,1126268947.0,0.0124421631594536
2023-06-14,72.68,73.65,71.03,71.49,18273918.0,1907265604.0,1126268947.0,0.016225181426404008
2023-06-15,71.64,77.61,70.76,76.76,38679861.0,4168755947.0,1126268947.0,0.03434336097344252
2023-06-16,77.13,79.68,76.22,79.06,31711869.0,3574147257.0,1126268947.0,0.02815656871697449
2023-06-19,78.3,80.29,77.96,78.96,16183960.0,1843308755.0,1126268947.0,0.014369534064761887
2023-06-20,78.72,80.19,78.05,78.69,14168712.0,1611641937.0,1126268947.0,0.01258022077030594
2023-06-21,78.71,81.0,78.08,78.41,16975260.0,1951071298.0,1126268947.0,0.015072119359426856
2023-06-26,77.26,81.7,76.97,79.85,18243169.0,2097518382.0,1126268947.0,0.016197879776933953
2023-06-27,79.72,82.64,79.41,81.03,16848895.0,1970376557.0,1126268947.0,0.014959921468917139
2023-06-28,80.38,82.05,80.29,80.74,12727628.0,1489196643.0,1126268947.0,0.011300700453388244
2023-06-29,80.52,82.01,80.22,80.42,10886842.0,1271066534.0,1126268947.0,0.009666289769418636
2023-06-30,79.23,82.26,78.55,80.82,16776706.0,1958165717.0,1126268947.0,0.014895825765850579
2023-07-03,81.62,87.52,81.49,85.09,36873209.0,4540404954.0,1126268947.0,0.032739257437770765
2023-07-04,85.58,86.41,82.81,83.23,16745589.0,2030588120.0,1126268947.0,0.01486819737381963
2023-07-05,83.15,84.88,82.46,82.84,11029044.0,1324260230.0,1126268947.0,0.009792549132582984
2023-07-06,82.23,83.65,81.39,82.05,10376434.0,1230971853.0,1126268947.0,0.009213104940555553
2023-07-07,81.08,82.36,80.11,80.11,11075192.0,1294718089.0,1126268947.0,0.00983352336002921
2023-07-10,80.11,83.21,80.04,81.6,16291881.0,1928767691.0,1126268947.0,0.014465355760181499
2023-07-11,81.92,82.43,80.26,81.21,8416036.0,983846832.0,1126268947.0,0.007472492269646141
2023-07-12,81.89,82.8,79.7,82.02,14109895.0,1665147587.0,1126268947.0,0.012527997897468446
2023-07-13,82.05,83.29,81.08,82.36,10977868.0,1300591976.0,1126268947.0,0.009747110607321042
2023-07-14,81.78,82.23,78.4,78.89,22339571.0,2565672434.0,1126268947.0,0.019835023472417553
2023-07-17,78.32,79.66,78.27,79.2,7178960.0,819611362.0,1126268947.0,0.00637410808415017
2023-07-18,78.65,79.19,77.61,78.34,9943246.0,1123171283.0,1126261447.0,0.008828541566867644
2023-07-19,78.34,78.38,75.57,76.71,16252741.0,1796583632.0,1126261447.0,0.014430699943864811
2023-07-20,77.16,77.58,75.59,75.79,8680454.0,957648317.0,1126261447.0,0.007707317002745634
2023-07-21,75.54,76.22,74.44,75.16,7631263.0,827985118.0,1126261447.0,0.006775747336754926
2023-07-24,73.83,75.73,73.49,74.08,10006702.0,1070324891.0,1126261447.0,0.008884883724515876
2023-07-25,75.18,75.95,74.15,75.02,14976704.0,1618098861.0,1126261447.0,0.013297715232900093
2023-07-26,74.49,76.59,74.42,75.8,11648566.0,1275264286.0,1126261447.0,0.0103426837800655
2023-07-27,75.81,77.19,75.14,75.46,9048452.0,990624349.0,1126261447.0,0.008034059963698641
2023-07-28,74.89,76.02,74.04,75.55,9858706.0,1072961066.0,1126261447.0,0.008753479066748168
2023-07-31,76.0,77.51,75.09,77.26,14068704.0,1559097200.0,1126261447.0,0.01249150811072733
2023-08-01,76.92,77.25,71.93,73.52,25313741.0,2709182993.0,1126261447.0,0.022475901192771628
2023-08-02,73.14,74.04,72.32,72.57,15351461.0,1617739407.0,1126261447.0,0.013630459464710773
2023-08-03,72.76,74.6,72.76,73.71,13801557.0,1472153690.0,1126261447.0,0.0122543100776138
2023-08-04,74.22,77.43,74.12,76.74,18688466.0,2044787876.0,1126261447.0,0.016593363867492838
2023-08-07,76.22,76.8,75.19,75.53,9945428.0,1085704463.0,1126261447.0,0.008830478950062117
2023-08-08,79.83,80.52,76.54,76.92,28425255.0,3199960215.0,1126261447.0,0.025238593646009798
2023-08-09,76.92,79.27,75.98,78.3,17741812.0,2002333654.0,1126261447.0,0.015752836117456127
2023-08-10,79.55,80.33,78.51,79.73,17334526.0,1992615498.0,1126261447.0,0.015391209604282939
2023-08-11,79.48,79.54,77.33,77.34,14046310.0,1587920059.0,1126261447.0,0.012471624628024758
2023-08-14,76.22,77.69,74.71,77.26,13262662.0,1458840731.0,1126261447.0,0.011775828814284184
2023-08-15,77.16,78.57,75.25,75.43,11959099.0,1318075533.0,1126261447.0,0.010618403952168665
2023-08-16,75.18,76.34,73.84,74.14,10141802.0,1093279438.0,1126261447.0,0.009004838110204796
2023-08-17,73.59,74.4,73.18,73.88,10806999.0,1149976969.0,1126261447.0,0.009595462073913997
2023-08-18,73.72,77.06,73.65,74.24,16479110.0,1791602415.0,1126261447.0,0.014631691463731689
2023-08-21,73.59,73.59,68.19,69.1,37584691.0,3782682617.0,1126261447.0,0.033371195560421237
2023-08-22,69.43,69.84,67.31,68.67,19511862.0,1926198115.0,1126261447.0,0.017324451664374515
2023-08-23,68.02,68.65,65.4,65.44,21151281.0,2030241904.0,1126261447.0,0.018780080820790093
2023-08-24,66.8,69.77,66.73,68.81,22152349.0,2187008697.0,1126261447.0,0.019668922397198953
2023-08-25,68.39,69.07,67.26,68.03,12526380.0,1230530622.0,1126261447.0,0.01112208895489255
2023-08-28,74.84,75.05,69.06,69.43,26848826.0,2742402681.0,1126261447.0,0.023838892888961686
2023-08-29,68.74,71.3,68.67,70.94,20762418.0,2103111960.0,1126261447.0,0.018434811965999935
2023-08-30,71.01,71.72,69.85,70.33,12958807.0,1322453954.0,1126261447.0,0.011506037993680876
2023-08-31,69.92,70.33,69.09,69.12,10210674.0,1024022474.0,1126261447.0,0.009065989098000262
2023-09-01,69.19,70.13,68.83,69.63,6477852.0,649507844.0,1126261447.0,0.005751641430375624
2023-09-04,70.0,70.13,67.99,69.27,13302494.0,1326533085.0,1126261447.0,0.011811195380463024
2023-09-05,69.3,69.91,67.81,68.81,13473511.0,1337699468.0,1126261447.0,0.011963040230036392
2023-09-06,68.26,69.11,67.37,67.58,13324672.0,1306673357.0,1126261447.0,0.011830887078211423
2023-09-07,67.76,68.08,66.36,66.49,12675409.0,1225344478.0,1126261447.0,0.011254410806445726
2023-09-08,66.18,66.33,64.17,64.54,17330860.0,1620538749.0,1126261447.0,0.015387954587421832
2023-09-11,64.61,64.87,63.46,64.03,19021287.0,1757089804.0,1126261447.0,0.0168888734056081
2023-09-12,63.79,64.1,62.86,63.12,14982936.0,1368224092.0,1126238347.0,0.013303521443671817
2023-09-13,63.5,64.0,63.07,63.41,14142975.0,1295340866.0,1126238347.0,0.012557710397335636
2023-09-14,62.9,63.13,61.67,61.76,20175295.0,1812279319.0,1126238347.0,0.01791387680391245
2023-09-15,61.76,62.12,60.49,60.92,16832839.0,1487110010.0,1126238347.0,0.014946071624037856
2023-09-18,60.53,62.3,60.15,61.77,14932724.0,1326853345.0,1126238347.0,0.013258937630544025
2023-09-19,61.1,61.53,60.43,60.6,12244311.0,1074957483.0,1126238347.0,0.010871864763454019
2023-09-20,60.97,60.97,59.64,60.02,10861173.0,941448182.0,1126238347.0,0.009643760602656872
2023-09-21,59.59,59.92,58.66,58.84,16408354.0,1399007139.0,1126238347.0,0.014569166503438192
2023-09-22,58.91,59.32,58.07,58.97,22836940.0,1929643401.0,1126238347.0,0.02027718205549611
2023-09-25,58.55,59.1,57.58,58.61,16761265.0,1410596711.0,1126238347.0,0.014882520245068516
2023-09-26,58.9,59.46,58.22,58.22,16755017.0,1419677312.0,1126238347.0,0.014876972573905797
2023-09-27,58.14,62.56,58.14,60.63,36233991.0,3167642970.0,1126238347.0,0.032172577941887465
2023-09-28,60.94,62.49,60.61,62.03,24110272.0,2139184853.0,1126238347.0,0.021407788204178418
2023-10-09,61.6,62.89,60.44,62.12,16293469.0,1458238990.0,1126238347.0,0.014467158788724852
2023-10-10,61.77,62.33,61.05,61.05,14585015.0,1294049438.0,1126238347.0,0.012950202804628885
2023-10-11,62.37,62.49,60.29,60.67,16701175.0,1477242592.0,1126238347.0,0.01482916564196868
2023-10-12,60.36,62.13,60.2,61.41,17306484.0,1525715529.0,1126238347.0,0.015366626474848667
2023-10-13,60.63,61.17,59.01,60.81,19668041.0,1703455203.0,1126238347.0,0.017463480134902565
2023-10-16,60.36,61.06,58.91,59.32,16520929.0,1419394616.0,1126238347.0,0.014669123142545598
2023-10-17,59.04,59.45,58.17,58.51,13730715.0,1162493375.0,1126238347.0,0.012191659995040108
2023-10-18,58.17,58.38,57.02,57.1,14405561.0,1196589465.0,1126238347.0,0.01279086353112784
2023-10-19,57.07,57.5,55.88,56.69,18034214.0,1471150876.0,1126238347.0,0.016012786323639536
2023-10-20,55.85,59.24,55.79,57.79,23838231.0,1995051637.0,1126238347.0,0.021166239866986167
2023-10-23,57.16,57.16,55.09,55.46,16348956.0,1313243807.0,1126238347.0,0.01451642633510862
2023-10-24,55.79,56.06,54.69,55.68,15667741.0,1251814448.0,1126238347.0,0.013911567690564527
2023-10-25,56.07,56.97,54.59,54.85,17433946.0,1397708237.0,1126238347.0,0.01547980145272038
2023-10-26,53.75,54.36,52.93,54.12,18502240.0,1432912368.0,1126238347.0,0.016428351999632277
2023-10-27,53.67,57.71,53.63,57.42,25736971.0,2074401696.0,1126238347.0,0.02285215298214313
2023-10-30,59.51,61.22,58.06,60.26,36934684.0,3169875865.0,1126238347.0,0.03279473132697372
2023-10-31,60.27,60.27,58.22,58.31,19440732.0,1650175615.0,1126238347.0,0.017261649855720995
2023-11-01,58.35,58.63,56.86,56.91,17065580.0,1415704728.0,1126238347.0,0.015152725038583684
2023-11-02,56.34,57.55,55.64,55.64,14650476.0,1190482501.0,1126238347.0,0.013008326380490398
2023-11-03,56.06,59.18,56.03,57.94,24995115.0,2092017303.0,1126238347.0,0.02219345049525294
2023-11-06,57.94,60.81,57.93,60.28,28141414.0,2443783773.0,1126238347.0,0.024987085615545995
2023-11-07,59.94,61.88,59.53,61.67,22476612.0,1975539016.0,1126238347.0,0.019957242674138852
2023-11-08,60.98,61.99,60.87,61.27,16130104.0,1427565193.0,1126238347.0,0.014322105123632413
2023-11-09,61.08,63.34,61.01,62.5,22238723.0,2003557054.0,1126238347.0,0.019746018291099798
2023-11-10,61.67,62.0,60.83,61.71,13657244.0,1210065905.0,1126238347.0,0.012126424247921652
2023-11-13,62.36,63.32,61.67,61.98,13092909.0,1177689129.0,1126238347.0,0.011625344701568752
2023-11-14,62.28,63.27,60.99,61.46,12657458.0,1130626847.0,1126238347.0,0.011238702743265765
2023-11-15,63.05,64.71,62.23,63.75,26727833.0,2454688783.0,1126238347.0,0.02373195076441488
2023-11-16,63.46,63.5,60.74,60.84,21039748.0,1868464496.0,1126238347.0,0.018681434579140645
2023-11-17,60.27,61.22,60.07,60.61,13732815.0,1200928872.0,1126238347.0,0.012193524609227322
2023-11-20,60.82,61.62,59.9,61.16,14589195.0,1278984273.0,1126238347.0,0.012953914274772958
2023-11-21,61.31,62.26,61.26,61.34,14020943.0,1249342166.0,1126238347.0,0.012449356779005147
2023-11-22,60.99,61.06,60.09,60.13,8579327.0,748645319.0,1126238347.0,0.0076176832575920094
2023-11-23,60.12,60.62,59.31,60.14,9906979.0,855391033.0,1126238347.0,0.008796520759916906
2023-11-24,59.87,59.87,58.55,58.55,11286166.0,961395192.0,1126238347.0,0.010021116782307538
2023-11-27,58.19,58.82,57.55,57.97,9251859.0,774705690.0,1126238347.0,0.008214832166427734
2023-11-28,57.97,58.69,57.59,58.42,8909519.0,747483695.0,1126238347.0,0.007910864537451236
2023-11-29,58.19,58.31,56.89,56.96,10415616.0,861751595.0,1126238347.0,0.009248145410555799
2023-11-30,57.24,58.71,57.04,57.65,12645177.0,1055528417.0,1126238347.0,0.011227798301916636
