date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,50.53,55.43,48.31,49.95,60137906.0,4304544046.0,748104040.0,0.08038708894019607
2023-04-11,49.15,51.24,46.96,48.61,55244083.0,3778873273.0,748104040.0,0.0738454547044018
2023-04-12,47.62,49.58,46.26,48.8,48232278.0,3282025792.0,748104040.0,0.06447268751549584
2023-04-13,50.29,51.23,45.41,46.07,57923752.0,3861364270.0,748104040.0,0.07742740167530708
2023-04-14,46.67,47.85,45.39,47.34,47381559.0,3128243836.0,748104040.0,0.06333552081873532
2023-04-17,46.48,47.16,45.45,46.03,31945471.0,2073132076.0,748104040.0,0.042701909483071364
2023-04-18,46.28,55.24,45.84,53.01,79815628.0,5672390891.0,748104040.0,0.10669054534179498
2023-04-19,53.01,55.89,52.67,53.82,64576666.0,4912060065.0,748104040.0,0.0863204347887227
2023-04-20,54.5,58.36,54.1,57.65,61684979.0,4904931750.0,748104040.0,0.08245508071310509
2023-04-21,56.93,57.91,54.8,55.65,47221891.0,3723809486.0,748104040.0,0.06312209061188868
2023-04-24,57.34,63.46,57.34,60.79,64532461.0,5445679393.0,748104040.0,0.08626134541393467
2023-04-25,59.21,61.84,55.94,57.57,65301718.0,5399166232.0,748104040.0,0.08728962083936881
2023-04-26,58.3,60.87,55.79,56.55,66490389.0,5433084295.0,748104040.0,0.08887853218918589
2023-04-27,53.91,58.72,53.6,55.86,59863949.0,4737518820.0,748104040.0,0.08002088720173199
2023-04-28,56.63,64.85,56.11,64.06,66240980.0,5631069729.0,748104040.0,0.08854514406846406
2023-05-04,61.56,62.49,58.13,60.64,57599973.0,4866413677.0,748104040.0,0.07699460224810442
2023-05-05,61.27,62.32,54.01,55.79,59126645.0,4778815173.0,748104040.0,0.07903532374988911
2023-05-08,55.66,58.1,52.68,55.12,48267743.0,3779901901.0,748104040.0,0.06452009402328585
2023-05-09,55.19,60.35,55.19,58.32,47371182.0,3894593551.0,748104040.0,0.063321649753422
2023-05-10,59.34,60.28,52.79,53.95,53508808.0,4201026131.0,748104040.0,0.07152589097099382
2023-05-11,53.78,54.66,51.39,51.63,44069788.0,3267752614.0,748104040.0,0.0589086352213791
2023-05-12,51.56,54.65,51.28,53.97,43043368.0,3236578376.0,748104040.0,0.057536606806721693
2023-05-15,54.8,56.85,51.59,56.65,46599084.0,3564786051.0,748104040.0,0.06228957672785727
2023-05-16,56.34,56.79,54.04,54.68,39440083.0,3063347444.0,748104040.0,0.052720050810045084
2023-05-17,54.8,58.73,54.11,56.23,43480617.0,3458715706.0,748104040.0,0.05812108299802792
2023-05-18,62.99,67.48,60.89,67.48,56136630.0,5107563879.0,748104040.0,0.0750385334104064
2023-05-19,68.33,70.88,64.63,66.58,78514443.0,7528546731.0,748340910.0,0.10491801523987243
2023-05-22,66.58,66.82,62.18,63.98,48079581.0,4328897416.0,748590660.0000001,0.06422679786039541
2023-05-23,64.23,65.78,61.9,62.06,52994085.0,4734300550.0,748590660.0000001,0.07079180629905267
2023-05-24,60.71,65.63,60.55,62.4,57179784.0,5079451481.0,748590660.0000001,0.07638324528387783
2023-05-25,68.24,71.09,64.06,66.32,76534059.0,7280837448.0,748590660.0000001,0.10223752858471409
2023-05-26,66.38,70.71,64.98,65.09,60941003.0,5744455159.0,750205359.9999999,0.0812324281447416
2023-05-29,67.17,72.87,66.91,68.33,62419383.0,6095670970.0,750205359.9999999,0.08320306189227974
2023-05-30,70.28,78.29,68.42,77.58,64626729.0,6642510270.0,750205359.9999999,0.08614538424518856
2023-05-31,75.46,76.93,72.81,76.51,46050564.0,4857237828.0,750205359.9999999,0.061383944257609686
2023-06-01,74.73,79.0,74.02,76.9,38338994.0,4125007353.0,750205359.9999999,0.05110466552784961
2023-06-02,79.11,80.28,74.17,75.94,28843619.0,3094297932.0,750205359.9999999,0.038447631192611055
2023-06-05,74.73,82.12,74.73,79.14,38850479.0,4319562469.0,750205359.9999999,0.05178645884374914
