date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,15.33,15.4,14.76,14.81,4746665.0,199097335.0,234163109.0,0.020270763487343347
2021-04-13,14.83,15.04,14.55,14.64,4450648.0,183513144.0,234163109.0,0.019006614743913398
2021-04-14,14.73,14.88,14.57,14.73,4026938.0,164993186.0,234163109.0,0.017197149530500982
2021-04-15,14.66,14.72,14.37,14.59,3789422.0,153593093.0,234163109.0,0.016182830917230433
2021-04-16,14.62,15.1,14.61,15.01,5211676.0,217416957.0,234163109.0,0.022256605757655874
2021-04-19,14.98,15.51,14.91,15.34,5802516.0,247510209.0,234163109.0,0.02477980423466277
2021-04-20,15.26,15.48,15.06,15.12,5335867.0,227492030.0,234163109.0,0.02278696684028055
2021-04-21,15.14,15.18,14.64,14.9,5505373.0,227731196.0,234163109.0,0.023510846877250847
2021-04-22,14.9,15.6,14.84,15.39,6738369.0,287582408.0,234163109.0,0.02877639022122823
2021-04-23,15.48,15.49,14.83,15.06,7847673.0,330515115.0,234163109.0,0.03351370347581096
2021-04-26,15.12,15.26,14.6,14.61,8287050.0,345611448.0,234163109.0,0.03539007504380205
2021-04-27,14.71,14.71,14.08,14.29,6074021.0,241657528.0,234163109.0,0.0259392738076432
2021-04-28,14.32,14.43,14.12,14.36,4718077.0,188149246.0,234163109.0,0.020148677646742382
2021-04-29,14.36,14.5,14.24,14.25,4629598.0,185458970.0,234163109.0,0.019770825642736065
2021-04-30,14.33,14.33,13.78,13.83,5641652.0,219461446.0,234163109.0,0.024092830096477752
2021-05-06,13.76,14.11,13.63,13.86,4133316.0,159956760.0,234163109.0,0.017651439706499628
2021-05-07,13.89,13.89,13.22,13.25,7002219.0,264419615.0,234163109.0,0.02990316890608076
2021-05-10,13.21,13.21,12.62,12.79,6897848.0,247368989.0,234163109.0,0.02945744967880487
2021-05-11,12.64,13.05,12.63,13.0,4338019.0,155604544.0,234163109.0,0.018525629500418018
2021-05-12,12.9,12.98,12.79,12.96,3237929.0,116578389.0,234163109.0,0.01382766488635919
2021-05-13,12.86,13.85,12.75,13.8,10260054.0,385950493.0,234163109.0,0.04381584291315504
2021-05-14,13.69,14.3,13.68,14.25,10528835.0,414006435.0,234163109.0,0.0449636795691844
2021-05-17,14.36,14.62,14.18,14.33,7986782.0,319432165.0,234163109.0,0.03410777228790552
2021-05-18,14.32,14.83,14.07,14.63,6661522.0,269990969.0,234163109.0,0.028448212993277263
2021-05-19,14.79,14.83,14.51,14.51,4346808.0,177863895.0,234163109.0,0.018563163166748012
2021-05-20,14.34,14.94,14.34,14.9,6892795.0,284675810.0,234163109.0,0.029435870703271198
