date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,36.81,38.95,34.79,36.4,73450545.0,5285749437.0,438705611.99999994,0.16742558789058756
2023-04-11,35.86,38.2,34.54,36.52,74402406.0,5289649807.0,438705611.99999994,0.16959529115848193
2023-04-12,35.83,36.68,34.38,35.97,60278862.0,4248332599.0,438705611.99999994,0.13740162047436952
2023-04-13,36.05,36.54,33.26,33.88,67873000.0,4644336432.0,438705611.99999994,0.15471194838510524
2023-04-14,34.45,36.95,33.97,36.82,74449244.0,5242846195.0,438705611.99999994,0.16970205523607482
2023-04-17,35.72,36.45,34.4,35.38,44984396.0,3144716008.0,438705611.99999994,0.10253891167455594
2023-04-18,35.97,41.88,35.41,40.48,82901745.0,6197788165.0,438705611.99999994,0.1889689639985732
2023-04-19,40.59,41.72,39.02,39.02,65632819.0,5246517890.0,438705611.99999994,0.14960560613936255
2023-04-20,39.67,42.21,38.82,41.84,65023892.0,5212960245.0,438705611.99999994,0.14821759790936984
2023-04-21,40.74,41.04,38.35,38.35,55562119.0,4342297745.0,438705611.99999994,0.12665012135746284
2023-04-24,38.16,40.79,37.66,40.02,55350305.0,4318413495.0,438705611.99999994,0.12616730555979302
2023-04-25,39.02,39.77,36.28,37.39,55377398.0,4154086998.0,438705611.99999994,0.12622906223501879
2023-04-26,38.51,38.56,34.45,36.07,61648288.0,4432234570.0,438705611.99999994,0.14052313513600553
2023-04-27,33.44,34.19,31.24,31.92,78597334.0,5087583517.0,438705611.99999994,0.17915734800310695
2023-04-28,32.95,35.56,32.26,34.95,54386257.0,3624559220.0,438705611.99999994,0.12396982284329658
2023-05-04,34.46,35.77,31.73,32.53,50216004.0,3293688596.0,438705611.99999994,0.11446401100517493
2023-05-05,32.43,33.8,29.8,30.22,55755168.0,3459188766.0,438705611.99999994,0.12709016359699543
2023-05-08,30.45,32.58,29.64,31.38,42065274.0,2602942594.0,438705611.99999994,0.0958849689846229
2023-05-09,30.92,34.1,30.91,32.57,39260010.0,2557282997.0,438705611.99999994,0.08949055796441466
2023-05-10,33.07,34.39,30.6,31.19,35581113.0,2254033858.0,438705611.99999994,0.08110475915224902
2023-05-11,30.91,32.36,30.61,30.85,25699581.0,1590814424.0,438705611.99999994,0.05858047013084484
2023-05-12,30.91,33.53,30.83,31.8,39291391.0,2499915045.0,438705611.99999994,0.08956208884786275
2023-05-15,32.49,33.44,30.15,32.23,46791700.0,2916444296.0,438705611.99999994,0.10665853985018091
2023-05-16,31.23,31.59,29.63,30.39,43241179.0,2593056373.0,438705611.99999994,0.09856536551440333
2023-05-17,30.65,32.24,30.01,31.14,36517400.0,2251275881.0,438705611.99999994,0.08323896253235075
2023-05-18,33.95,37.37,32.12,37.37,65508702.0,4539619302.0,438705611.99999994,0.14932268976764312
2023-05-19,35.98,37.18,33.21,33.59,68152370.0,4697349857.0,438705611.99999994,0.15534875355093478
2023-05-22,32.68,33.52,31.05,31.61,39073963.0,2469071854.0,438705611.99999994,0.08906647631396154
2023-05-23,31.82,32.42,30.79,31.93,40495956.0,2535716975.0,438705611.99999994,0.09230781392420392
2023-05-24,31.14,33.96,30.92,32.47,44661090.0,2879970379.0,438705611.99999994,0.10180195734537356
2023-05-25,34.9,36.38,32.43,34.73,59866478.0,4059787563.0,438705611.99999994,0.13646161882241892
2023-05-26,33.95,36.78,33.85,35.16,45464224.0,3193415157.0,438705611.99999994,0.10363264739818283
2023-05-29,36.48,38.22,35.42,36.22,47002519.0,3422074698.0,438705611.99999994,0.10713908761212748
2023-05-30,36.62,39.72,36.28,38.66,51520674.0,3855252836.0,438705611.99999994,0.11743791871073672
2023-05-31,38.16,44.52,36.67,42.78,61934991.0,4894656050.0,441156828.0,0.1403922303113486
2023-06-01,40.99,42.57,40.53,41.45,39799952.0,3251811087.0,441156828.0,0.0902172412936109
2023-06-02,42.1,42.56,39.67,40.14,30691056.0,2470943058.0,441156828.0,0.0695694910563642
