date,open,high,low,close,volume,amount
2021-04-12,163.12,166.89,160.26,161.32,140595,4483570176.0
2021-04-13,160.37,171.31,160.26,166.73,140211,4558191616.0
2021-04-14,170.35,179.36,168.91,178.53,185043,6295708672.0
2021-04-15,175.18,176.03,171.41,173.53,124741,4202803200.0
2021-04-16,175.2,175.42,166.65,171.78,115363,3834287104.0
2021-04-19,172.42,188.81,170.4,188.53,205477,7250923520.0
2021-04-20,185.19,191.2,182.7,185.76,142834,5154523648.0
2021-04-21,181.4,185.15,179.53,183.92,123996,4373021952.0
2021-04-22,189.65,189.98,182.77,187.62,107913,3907120256.0
2021-04-23,187.62,193.53,186.32,192.7,115365,4255126800.0
2021-04-26,193.87,197.42,179.2,180.2,256237,9238754816.0
2021-04-27,180.76,181.2,175.35,179.98,151810,5243699456.0
2021-04-28,182.43,194.65,181.87,190.22,236326,8597828864.0
2021-04-29,192.32,198.48,190.68,197.42,180863,6806129664.0
2021-04-30,193.53,204.09,190.71,201.96,258651,9896566272.0
2021-05-06,202.98,202.98,191.03,199.65,189680,7198512640.0
2021-05-07,199.65,201.62,189.72,190.36,151385,5685506816.0
2021-05-10,188.98,194.08,186.31,190.87,124553,4573789440.0
2021-05-11,187.42,191.81,182.42,189.98,114121,4142445888.0
2021-05-12,190.2,191.35,183.86,187.15,133602,4812795136.0
2021-05-13,183.15,185.63,180.59,181.37,113476,4017576448.0
2021-05-14,182.71,186.59,176.96,185.76,176577,6228877312.0
2021-05-17,186.31,195.13,186.31,193.63,193309,7172265216.0
2021-05-18,192.98,196.98,189.9,191.37,89620,3323751520.0
2021-05-19,189.92,197.42,187.98,194.67,117464,4407782400.0
2021-05-20,196.2,199.58,191.92,196.17,128440,4839062784.0
2021-05-21,198.96,201.47,191.3,194.96,140566,5316782080.0
2021-05-24,197.42,202.17,195.3,201.85,169611,6535959040.0
2021-05-25,202.67,206.31,200.59,206.05,149577,5881748224.0
2021-05-26,205.76,208.52,200.01,200.43,126989,4932244992.0
2021-05-27,201.6,202.98,198.45,199.65,79598,3073473008.0
2021-05-28,202.98,220.48,202.98,213.87,277151,11346592512.0
2021-05-31,217.42,228.3,216.31,227.48,200063,8540083712.0
2021-06-01,219.65,225.76,217.71,222.61,158754,6727933184.0
2021-06-02,224.7,227.25,219.24,222.15,115712,4933369600.0
2021-06-03,222.98,224.25,214.09,216.75,123760,5164432640.0
2021-06-04,219.09,230.48,216.96,226.43,180102,7765735936.0
2021-06-07,221.78,221.86,208.53,212.7,215294,8812647424.0
2021-06-08,210.76,222.34,210.76,213.86,166317,6887633920.0
2021-06-09,213.53,217.42,210.2,213.74,93582,3829137536.0
2021-06-10,214.14,233.35,214.14,227.77,193502,8400201728.0
2021-06-11,232.42,240.67,225.23,237.41,197961,8816469248.0
2021-06-15,237.98,239.59,228.26,233.53,102522,4562143488.0
2021-06-16,231.26,232.87,217.98,219.75,139694,5989483520.0
2021-06-17,222.01,229.5,222.01,227.71,102724,4433456896.0
2021-06-18,229.2,239.2,229.2,236.31,156000,7001105152.0
2021-06-21,237.31,239.59,230.88,237.87,120823,5452180736.0
2021-06-22,236.41,238.53,230.88,236.44,88470,3966367408.0
2021-06-23,238.58,248.54,237.15,246.56,124457,5774145536.0
2021-06-24,249.16,250.13,242.98,245.92,92132,4302189056.0
2021-06-25,249.09,251.31,241.31,250.88,99555,4686222336.0
2021-06-28,250.88,265.75,246.48,260.7,146439,7224070400.0
2021-06-29,271.67,274.98,266.43,268.82,153402,7834685952.0
2021-06-30,269.1,287.42,262.98,283.42,144557,7574604544.0
2021-07-01,284.53,286.31,274.1,280.48,113247,5996925952.0
2021-07-02,277.5,283.62,269.46,274.97,138717,7242849792.0
2021-07-05,272.56,280.16,268.71,274.93,143515,7406241792.0
2021-07-06,275.33,286.98,265.28,272.68,180555,9395935232.0
2021-07-07,275.33,287.83,268.18,287.83,181457,9654261504.0
2021-07-08,292.55,303.95,287.91,297.09,158790,8888329984.0
2021-07-09,297.0,297.0,283.42,289.71,156607,8521226752.0
2021-07-12,295.4,307.0,295.4,300.77,154763,8772503808.0
2021-07-13,297.56,308.45,293.11,299.23,136371,7678988288.0
2021-07-14,294.78,298.6,287.0,292.76,125879,6965504512.0
2021-07-15,289.22,302.49,287.03,302.0,137333,7628510720.0
2021-07-16,301.45,301.45,279.85,281.45,178495,9719489280.0
2021-07-19,286.45,287.38,273.11,277.28,180129,9474773760.0
2021-07-20,272.56,286.04,272.56,279.8,130005,6869197568.0
2021-07-21,280.9,295.38,278.67,295.21,182049,9878628608.0
2021-07-22,295.67,299.61,289.61,295.93,108836,6027459328.0
2021-07-23,294.78,299.77,289.78,290.34,93329,5157401600.0
2021-07-26,288.67,293.63,276.72,286.32,127290,6852321792.0
2021-07-27,288.12,297.11,261.45,261.45,178460,9419312640.0
2021-07-28,262.0,282.72,262.0,278.14,217247,11221667840.0
2021-07-29,289.78,296.3,280.33,295.78,186202,10167714560.0
2021-07-30,300.33,309.89,286.45,292.22,201810,11332846336.0
2021-08-02,295.89,305.88,282.49,293.11,182973,10131832064.0
2021-08-03,294.78,295.33,277.0,281.45,122383,6535093760.0
2021-08-04,283.11,303.66,278.11,302.56,174004,9647162112.0
2021-08-05,300.89,300.89,290.07,295.89,129792,7197921024.0
2021-08-06,300.22,301.45,285.89,288.6,143712,7918384384.0
2021-08-09,282.0,282.28,265.88,273.11,185831,9534234368.0
2021-08-10,270.34,274.88,263.67,270.06,180169,9152881664.0
2021-08-11,269.78,277.0,266.93,273.81,112364,5790098688.0
2021-08-12,270.9,271.44,260.89,265.33,171162,8599262208.0
2021-08-13,253.11,280.83,253.11,265.36,277258,14085448960.0
2021-08-16,260.89,266.38,247.49,251.45,220440,10620462848.0
2021-08-17,255.89,261.33,251.58,253.11,156106,7586087168.0
2021-08-18,256.75,265.83,251.67,261.45,159575,7861906176.0
2021-08-19,265.33,269.63,255.33,265.89,144535,7215254016.0
2021-08-20,263.67,263.78,254.5,260.95,125276,6160678656.0
2021-08-23,267.0,277.12,265.34,276.39,162244,8359922944.0
2021-08-24,273.33,286.5,272.62,277.0,133137,7011227136.0
2021-08-25,277.56,282.11,270.45,281.02,95303,4963866880.0
2021-08-26,286.43,296.97,275.83,275.89,167983,8951110656.0
2021-08-27,275.33,277.56,265.33,268.39,119582,6098898944.0
2021-08-30,268.36,278.56,263.59,267.13,157143,8036791808.0
2021-08-31,270.86,270.86,256.36,261.37,147621,7288932608.0
2021-09-01,259.78,260.89,248.39,257.95,144627,7006043904.0
2021-09-02,259.78,262.06,256.32,260.61,114649,5637614592.0
2021-09-03,263.11,266.38,253.6,256.72,112820,5523301120.0
2021-09-06,260.33,274.22,254.78,273.17,147920,7471544064.0
2021-09-07,272.56,279.03,269.78,272.01,94222,4866454272.0
2021-09-08,274.78,277.32,264.22,265.89,97394,4960557824.0
2021-09-09,269.5,274.77,259.11,268.22,110162,5541869312.0
2021-09-10,260.58,266.32,259.05,265.39,112969,5625272576.0
2021-09-13,265.39,270.95,262.0,265.78,89690,4498932736.0
2021-09-14,268.18,287.0,265.85,280.83,233837,12347086848.0
2021-09-15,280.89,282.0,270.78,278.31,105015,5470153216.0
2021-09-16,277.0,277.0,263.11,263.11,112604,5712849920.0
2021-09-17,262.56,269.22,259.85,265.89,81938,4095076768.0
2021-09-22,261.22,264.78,257.61,260.51,64239,3170987216.0
2021-09-23,266.92,266.92,259.67,260.33,79714,3955499104.0
2021-09-24,261.37,271.17,258.95,264.21,102625,5155614208.0
2021-09-27,267.0,275.22,264.11,271.72,144963,7441411072.0
2021-09-28,270.89,274.2,263.22,264.46,92225,4682091264.0
2021-09-29,262.0,270.78,260.89,265.62,93955,4739177472.0
2021-09-30,267.0,282.28,265.34,278.52,167142,8696962304.0
2021-10-08,283.11,292.04,276.95,283.11,125169,6710477568.0
2021-10-11,283.67,285.11,274.26,275.89,78309,4112416016.0
2021-10-12,276.21,276.79,263.6,267.0,95907,4879529728.0
2021-10-13,267.0,276.72,266.45,276.59,76522,3950317424.0
2021-10-14,278.11,283.6,278.11,282.17,78416,4161069008.0
2021-10-15,282.0,308.04,279.83,302.56,229513,12822713856.0
2021-10-18,309.22,317.13,303.11,317.01,186702,10933506304.0
2021-10-19,322.0,328.1,311.45,314.56,150890,8990013440.0
2021-10-20,317.0,327.21,312.56,313.95,124666,7444464896.0
2021-10-21,314.22,319.22,308.67,317.56,101423,6008462080.0
2021-10-22,323.1,323.1,314.41,320.56,110216,6612493312.0
2021-10-25,326.45,333.76,321.63,325.76,140521,8636989696.0
2021-10-26,339.65,341.16,317.52,318.66,148277,9075608832.0
2021-10-27,318.66,328.13,315.98,328.13,135486,8191755776.0
2021-10-28,333.67,339.22,321.41,323.78,172829,10650216960.0
2021-10-29,328.27,345.05,319.19,341.57,202687,12687999744.0
2021-11-01,342.56,363.67,337.07,347.56,221797,14502525184.0
2021-11-02,350.33,356.31,346.45,352.0,131408,8630072576.0
2021-11-03,348.11,350.9,335.33,342.0,127606,8165156864.0
2021-11-04,346.45,350.33,339.81,345.81,92010,5951843584.0
2021-11-05,341.45,347.43,338.66,338.72,85551,5465118720.0
2021-11-08,340.33,355.88,337.0,353.56,122696,8026800896.0
2021-11-09,357.41,357.56,349.3,354.93,66746,4413176576.0
2021-11-10,348.18,351.15,339.22,346.45,127398,8216658688.0
2021-11-11,348.11,355.96,347.61,350.81,77014,5069135616.0
2021-11-12,351.45,354.15,338.62,342.56,114202,7312301568.0
2021-11-15,342.55,342.55,324.2,330.89,140076,8684428544.0
2021-11-16,330.89,333.73,323.67,328.1,84335,5202056704.0
2021-11-17,332.56,336.68,329.53,334.16,75616,4721304832.0
2021-11-18,334.16,340.15,327.33,334.22,75273,4697499904.0
2021-11-19,337.0,341.45,330.92,341.45,84568,5343617280.0
2021-11-22,344.77,364.78,343.17,364.78,153090,10215261696.0
2021-11-23,364.4,364.4,356.45,359.78,99312,6671378432.0
2021-11-24,358.76,361.89,347.75,352.45,85504,5653890048.0
2021-11-25,349.22,352.28,344.94,349.78,58220,3798078528.0
2021-11-26,348.11,358.0,348.11,352.0,58502,3865245648.0
