date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,206.3,210.61,203.22,210.55,17237941.0,6844475287.0,2157191463.0,0.007990918421319564
2023-04-11,209.51,214.67,208.45,209.47,14366294.0,5785418238.0,2157191463.0,0.006659721330447338
2023-04-12,209.5,209.5,205.31,205.32,8736733.0,3443470021.0,2157191463.0,0.00405004986801211
2023-04-13,204.26,204.98,201.64,203.35,10046445.0,3896072549.0,2157191463.0,0.004657187445952729
2023-04-14,203.16,210.74,202.95,208.08,15923654.0,6337229777.0,2157191463.0,0.00738166003023905
2023-04-17,207.58,214.74,207.3,213.63,17663158.0,7173869979.0,2157191463.0,0.008188034443375692
2023-04-18,213.63,218.93,213.32,214.21,14060517.0,5793046444.0,2157191463.0,0.006517973597228166
2023-04-19,217.1,217.27,212.64,214.93,11622355.0,4770263895.0,2157191463.0,0.00538772528973243
2023-04-20,214.9,214.9,207.41,207.41,15843790.0,6335888039.0,2157191463.0,0.007344637818085042
2023-04-21,211.86,217.32,208.98,212.11,25275978.0,10288953392.0,2157191463.0,0.011717076779475461
2023-04-24,212.17,212.64,205.77,207.87,17377384.0,6922771298.0,2157191463.0,0.008055559415126427
2023-04-25,208.45,208.45,199.03,202.12,16898929.0,6532955962.0,2157191463.0,0.007833764081607623
2023-04-26,202.13,216.31,199.29,213.04,39707529.0,8801110231.0,3882944634.0,0.010226138341585223
2023-04-27,212.56,220.61,210.96,219.21,33969078.0,7764148296.0,3882944634.0,0.008748277712372863
2023-04-28,222.05,225.21,215.31,219.07,27104800.0,6269727389.0,3882944634.0,0.006980475529489613
2023-05-04,219.21,220.63,213.09,214.01,19409080.0,4416464195.0,3882944634.0,0.004998546677706763
2023-05-05,213.51,218.26,212.3,215.41,16740879.0,3793534213.0,3882944634.0,0.004311387510759959
2023-05-08,218.26,221.86,214.52,219.03,22753135.0,5237667345.0,3882944634.0,0.0058597629234184954
2023-05-09,218.62,218.62,212.61,214.3,19653772.0,4447695098.0,3882944634.0,0.005061563800809013
2023-05-10,214.27,222.29,209.92,220.65,28956810.0,6637247354.0,3882944634.0,0.0074574357168132625
2023-05-11,220.68,230.58,219.4,228.13,34747371.0,8292776227.0,3882944634.0,0.008948716573433378
2023-05-12,229.64,232.08,225.83,225.83,22309979.0,5363787910.0,3882944634.0,0.005745634074884417
2023-05-15,228.71,231.54,223.1,226.13,26706471.0,6408351582.0,3882944634.0,0.006877891269978896
2023-05-16,226.23,228.67,224.68,226.8,13973953.0,3336944402.0,3882944634.0,0.003598803052106563
2023-05-17,226.8,229.34,224.01,227.75,18246432.0,4350981987.0,3882944634.0,0.004699122372291853
2023-05-18,228.98,229.05,219.25,220.54,24123880.0,5653225269.0,3882944634.0,0.006212779803442338
2023-05-19,219.92,222.23,218.26,218.26,19472168.0,4503095903.0,3882944634.0,0.0050147941408942584
2023-05-22,217.31,220.63,215.41,218.54,14679114.0,3373155581.0,3882944634.0,0.00378040775329788
2023-05-23,219.09,219.88,213.66,213.91,19613196.0,4466450819.0,3882944634.0,0.00505111399947919
2023-05-24,213.32,216.84,212.3,213.75,14785735.0,3347225922.0,3882944634.0,0.0038078665532679857
2023-05-25,213.37,216.06,211.13,212.65,13753272.0,3096261721.0,3882944634.0,0.003541969638086784
2023-05-26,212.75,213.04,206.4,208.77,18211695.0,4001016009.0,3882944634.0,0.004690176326629539
2023-05-29,210.86,210.88,204.59,205.98,16537161.0,3599743504.0,3882944634.0,0.004258922688517531
2023-05-30,205.92,213.5,204.98,213.5,26467083.0,5890767209.0,3882944634.0,0.006816240120512622
2023-05-31,213.56,215.31,208.92,209.88,18869744.0,4194067555.0,3882944634.0,0.004859647967877773
2023-06-01,211.27,216.36,210.2,211.52,15941049.0,3583431679.0,3882944634.0,0.004105402085936618
2023-06-02,213.42,218.25,212.56,216.78,23181483.0,5283702827.0,3882944634.0,0.005970078171348966
2023-06-05,214.37,214.37,205.34,208.58,33595114.0,7357059963.0,3882944634.0,0.008651968329868285
2023-06-06,206.88,210.95,205.9,208.09,17242526.0,3782524816.0,3882944634.0,0.0044405799271563864
2023-06-07,205.33,205.45,194.01,196.72,50093939.0,10438080445.0,3882944634.0,0.012901018098832876
2023-06-08,201.89,202.41,196.43,197.39,23857940.0,5007821210.0,3882944634.0,0.006144290544627941
2023-06-09,197.9,202.25,197.9,201.22,24261728.0,5126984498.0,3882944634.0,0.006248280695933302
2023-06-12,201.13,203.08,198.24,201.13,18131632.0,3835654849.0,3882944634.0,0.004669557181226602
2023-06-13,200.24,203.01,199.92,202.22,13243699.0,2813381281.0,3882944634.0,0.0034107359873316186
2023-06-14,206.06,206.52,202.13,202.51,16362927.0,3508630636.0,3882944634.0,0.004214051072663325
2023-06-15,204.01,219.09,203.92,219.09,50495682.0,11301760757.0,3882944634.0,0.013004481587980324
2023-06-16,220.16,222.22,216.65,219.3,29639828.0,6849470340.0,3882944634.0,0.007633337787118187
2023-06-19,221.1,221.1,214.46,216.25,18707081.0,4271126762.0,3882944634.0,0.004817756306952276
2023-06-20,216.24,219.5,214.24,216.36,17960501.0,4094614886.0,3882944634.0,0.004625484701155283
2023-06-21,217.13,218.73,213.42,213.43,17118438.0,3897370633.0,3882944634.0,0.004408622737009132
2023-06-26,208.68,215.36,208.47,213.68,15910609.0,3564403987.0,3882944634.0,0.004097562674647191
2023-06-27,212.55,214.75,209.89,212.06,13420648.0,2996519807.0,3882944634.0,0.003456306814803788
2023-06-28,210.88,214.94,210.67,213.04,13558644.0,3044798943.0,3882944634.0,0.0034918458226978677
2023-06-29,212.1,215.33,211.14,211.14,9930233.0,2228285745.0,3882944634.0,0.0025573975258489355
