date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,39.24,39.52,38.77,39.38,41474239.0,2082171992.0,20628944429.0,0.002010487698134271
2021-04-13,39.41,39.95,38.97,39.27,49039895.0,2476556210.0,20628944429.0,0.002377237243950307
2021-04-14,39.47,39.49,38.46,38.78,55438353.0,2758186625.0,20628944429.0,0.0026874061923432796
2021-04-15,38.8,39.0,37.67,38.58,57296514.0,2810517787.0,20628944429.0,0.002777481620409672
2021-04-16,38.8,38.9,38.31,38.81,31558344.0,1563464005.0,20628944429.0,0.0015298089588934828
2021-04-19,38.94,40.41,38.63,40.4,67932061.0,3476651827.0,20628944429.0,0.0032930459061444595
2021-04-20,39.81,40.73,39.81,40.57,35574407.0,1842179460.0,20628944429.0,0.0017244899331829017
2021-04-21,40.62,41.51,40.6,41.27,52446360.0,2758929437.0,20628944429.0,0.0025423676029817277
2021-04-22,41.27,41.59,40.71,41.05,42927078.0,2255144620.0,20628944429.0,0.0020809149080673983
2021-04-23,41.12,41.75,40.82,41.59,47104918.0,2495321515.0,20628944429.0,0.0022834381159018632
2021-04-26,42.14,42.53,40.34,40.63,91625741.0,4814829661.0,20628944429.0,0.0044416107336637785
2021-04-27,40.54,40.91,40.25,40.63,36329922.0,1890139553.0,20628944429.0,0.0017611139593224992
2021-04-28,40.73,40.87,40.17,40.39,38985543.0,2019590447.0,20628944429.0,0.0018898467216380904
2021-04-29,40.58,41.63,40.02,41.58,55274544.0,2913105773.0,20628944429.0,0.002679465456424203
2021-04-30,41.2,41.5,40.43,41.12,45068841.0,2370742204.0,20628944429.0,0.0021847381069407795
2021-05-06,41.12,42.43,40.95,41.88,63835290.0,3432136281.0,20628944429.0,0.003094452564924305
2021-05-07,42.04,43.07,41.6,42.28,72368376.0,3943891332.0,20628944429.0,0.0035080988389432632
2021-05-10,42.29,42.33,41.37,42.06,49224048.0,2630309849.0,20628944429.0,0.0023861641670235557
2021-05-11,41.71,42.26,41.58,42.01,32853312.0,1767435334.0,20628944429.0,0.001592583280888337
2021-05-12,42.02,42.65,41.41,41.9,31749677.0,1708649722.0,20628944429.0,0.0015390839366151263
2021-05-13,41.74,42.49,41.23,41.51,39120553.0,2085332075.0,20628944429.0,0.0018963914093929426
2021-05-14,41.74,42.92,41.2,42.9,57881421.0,3127193937.0,20628944429.0,0.0028058353251769284
2021-05-17,42.92,44.08,42.65,43.43,52668425.0,2933378115.0,20628944429.0,0.0025531323321594276
2021-05-18,43.68,44.0,43.46,43.66,29335118.0,1642178930.0,20628944429.0,0.0014220367940281488
2021-05-19,43.7,43.76,42.54,42.76,35729344.0,1966656369.0,20628944429.0,0.0017320005937759948
2021-05-20,43.0,43.32,42.39,43.29,34210477.0,1881019546.0,20628944429.0,0.0016583726383938091
2021-05-21,43.6,43.62,41.98,42.22,51486455.0,2800730344.0,20628944429.0,0.002495835653501532
2021-05-24,42.29,42.68,41.96,42.2,44539914.0,2409885276.0,20628944429.0,0.0021590980650171396
2021-05-25,42.29,44.96,42.08,44.91,96850204.0,5452025418.0,20628944429.0,0.004694869596131578
2021-05-26,44.99,45.7,44.96,45.65,61306169.0,3565788679.0,20628944429.0,0.0029718519631967352
2021-05-27,45.26,45.87,44.33,45.22,51903739.0,2995138182.0,20628944429.0,0.002516063736496093
2021-05-28,45.26,45.92,44.96,45.65,41014056.0,2386900498.0,20628944429.0,0.001988180061328915
2021-05-31,45.42,45.54,44.48,45.41,36165671.0,2089054162.0,20628944429.0,0.0017531517971980475
