date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,28.52,28.64,28.37,28.59,33015949.0,1128256665.0,20628944429.0,0.0016004672034302663
2023-04-11,28.59,28.68,28.08,28.17,73399153.0,2485887912.0,20628944429.0,0.00355806634957124
2023-04-12,28.3,28.35,28.11,28.18,41612769.0,1403968679.0,20628944429.0,0.0020172030199228767
2023-04-13,28.1,28.59,27.77,28.4,63430456.0,2142100175.0,20628944429.0,0.0030748280028729917
2023-04-14,28.56,29.05,28.41,28.72,69392338.0,2387857214.0,20628944429.0,0.0033638336774250467
2023-04-17,28.66,29.39,28.48,29.39,89373012.0,3107511587.0,20628944429.0,0.004332408393827469
2023-04-18,29.4,30.35,29.33,29.8,94271463.0,3375509116.0,20628944429.0,0.004569863636235016
2023-04-19,29.93,29.93,29.48,29.65,51088648.0,1815680622.0,20628944429.0,0.002476551729335215
2023-04-20,29.73,29.85,29.11,29.22,68091530.0,2393722845.0,20628944429.0,0.00330077625805601
2023-04-21,29.22,29.38,28.75,28.81,53159146.0,1849378443.0,20628944429.0,0.002576920316158752
2023-04-24,28.83,28.97,27.98,28.06,72987368.0,2474101753.0,20628944429.0,0.0035381048337788414
2023-04-25,28.07,28.51,27.98,28.42,51221280.0,1731551113.0,20628944429.0,0.002482981142166128
2023-04-26,28.23,28.36,27.85,28.24,49650070.0,1673601450.0,20628944429.0,0.002406815829616679
2023-04-27,27.53,27.55,26.84,27.25,155927939.0,5072330698.0,20628944429.0,0.007558696933653949
2023-04-28,27.11,28.18,27.06,28.06,94021308.0,3136764115.0,20628944429.0,0.00455773722807773
2023-05-04,27.8,28.73,27.42,28.5,72543303.0,2457318979.0,20628944429.0,0.003516578526335997
2023-05-05,28.54,29.28,28.52,28.97,80088973.0,2785096474.0,20628944429.0,0.003882359239254704
2023-05-08,29.11,30.02,28.93,29.73,106426580.0,3773892300.0,20628944429.0,0.005159089955683161
2023-05-09,29.8,30.15,29.19,29.22,98552978.0,3503564878.0,20628944429.0,0.004777412549594881
2023-05-10,29.14,29.33,28.63,28.73,63837387.0,2203715637.0,20628944429.0,0.0030945542182108906
2023-05-11,28.89,29.5,28.73,28.77,44580284.0,1547837683.0,20628944429.0,0.0021610550240917514
2023-05-12,28.78,28.85,28.39,28.43,45936569.0,1569062497.0,20628944429.0,0.0022268017230887855
2023-05-15,28.47,29.1,28.15,28.98,52809453.0,1811811263.0,20628944429.0,0.002559968745941305
2023-05-16,29.19,29.39,28.87,29.08,38524804.0,1341479236.0,20628944429.0,0.001867512132411494
2023-05-17,29.07,29.34,28.75,28.81,39637635.0,1380094248.0,20628944429.0,0.001921457258097886
2023-05-18,29.0,29.09,28.57,28.77,32901230.0,1137523121.0,20628944429.0,0.001594906133623964
2023-05-19,28.68,28.77,28.34,28.35,39298980.0,1339332375.0,20628944429.0,0.0019050407613078746
2023-05-22,28.38,28.68,28.38,28.56,29693441.0,1014463033.0,20628944429.0,0.0014394067084817586
2023-05-23,28.57,28.71,28.06,28.06,34692126.0,1177389441.0,20628944429.0,0.0016817208519515955
2023-05-24,28.05,28.05,27.5,27.5,46399873.0,1541649339.0,20628944429.0,0.002249260652172364
2023-05-25,27.36,27.36,26.86,27.07,70605103.0,2286618239.0,20628944429.0,0.0034226231615003978
2023-05-26,27.09,27.44,26.91,27.34,29462374.0,958855792.0,20628944429.0,0.0014282056021529652
2023-05-29,27.52,27.52,27.09,27.3,38730090.0,1263259965.0,20628944429.0,0.0018774634898697754
2023-05-30,27.3,27.47,27.02,27.26,34007178.0,1108840100.0,20628944429.0,0.0016485176019085585
2023-05-31,27.22,27.39,26.92,26.97,52541398.0,1704091986.0,20628944429.0,0.0025469746249419207
2023-06-01,26.98,27.14,26.74,26.77,47239881.0,1521250952.0,20628944429.0,0.0022899805253045603
2023-06-02,26.91,27.64,26.89,27.62,55885607.0,1829053080.0,20628944429.0,0.0027090870884036353
2023-06-05,27.62,27.78,27.42,27.59,31273034.0,1033695634.0,20628944429.0,0.0015159783917996611
2023-06-06,27.59,28.23,27.54,27.62,38663375.0,1288946278.0,20628944429.0,0.0018742294416987883
2023-06-07,27.77,28.07,27.69,27.81,33890635.0,1132209544.0,20628944429.0,0.0016428681126484021
2023-06-08,27.82,28.58,27.74,28.46,54961501.0,1859578016.0,20628944429.0,0.0026642905161320604
