date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,74.33,75.26,72.72,73.25,21344389.0,1919193024.0,5306264628.0,0.004022488604765454
2021-04-13,73.14,73.88,71.72,72.8,22380889.0,1988503417.0,5306264628.0,0.004217823755321387
2021-04-14,73.19,73.19,67.27,69.97,92249094.0,7812080555.0,5306264628.0,0.017384940342632306
2021-04-15,69.15,69.2,67.14,67.24,59868383.0,4973531360.0,5306264628.0,0.011282585245388556
2021-04-16,67.38,67.38,64.89,65.96,52880632.0,4248106020.0,5306264628.0,0.009965698227894714
2021-04-19,66.03,67.26,65.05,67.17,52961773.0,4297304579.0,5306264628.0,0.009980989775845758
2021-04-20,67.0,67.0,64.97,65.71,74240523.0,5955990599.0,5306264628.0,0.01399110828514827
2021-04-21,65.61,68.21,65.14,68.06,68809652.0,5641888383.0,5306264628.0,0.012967625405809294
2021-04-22,67.65,67.83,66.93,67.26,36850361.0,3026890530.0,5306264628.0,0.006944689642040974
2021-04-23,67.83,68.71,67.09,67.91,46863794.0,3890314475.0,5306264628.0,0.008831786065231273
2021-04-26,68.06,69.2,66.59,66.7,54247271.0,4504099658.0,5306264628.0,0.01022325021517943
2021-04-27,66.72,68.06,66.15,67.95,33601174.0,2772491254.0,5306264628.0,0.006332359268833661
2021-04-28,67.99,68.22,67.01,67.8,27164736.0,2237534282.0,5306264628.0,0.005119370763504259
2021-04-29,67.9,67.99,66.93,67.38,31753562.0,2613342979.0,5306264628.0,0.005984164798800909
2021-04-30,67.91,69.79,67.43,68.81,51336941.0,4313992973.0,5306264628.0,0.009674779642369544
2021-05-06,68.81,69.79,67.1,67.19,42144800.0,3516693111.0,5306264628.0,0.007942461025711212
2021-05-07,67.19,67.38,65.45,65.45,37105386.0,2992772699.0,5306264628.0,0.0069927507580762145
2021-05-10,65.37,66.18,63.83,65.73,25316123.0,2018887218.0,5306264628.0,0.0047709876485262995
2021-05-11,65.05,68.57,64.92,68.49,38798673.0,3187696920.0,5306264628.0,0.007311861680487602
2021-05-12,68.43,68.68,67.5,68.06,24346250.0,2023942845.0,5306264628.0,0.004588208788444163
2021-05-13,67.6,67.84,66.38,66.87,24759101.0,2022298799.0,5306264628.0,0.004666013238267769
2021-05-14,67.35,68.89,66.61,68.59,34737829.0,2898254768.0,5306264628.0,0.006546569279017119
2021-05-17,69.06,70.9,69.02,69.86,35822871.0,3070196388.0,5306264628.0,0.006751052484448388
2021-05-18,69.87,70.64,69.17,70.14,19155165.0,1634106462.0,5306264628.0,0.0036099151367088586
2021-05-19,70.12,70.12,69.14,69.59,16714716.0,1419469460.0,5306264628.0,0.00314999668727415
2021-05-20,69.69,69.83,68.16,68.49,34717475.0,2914466329.0,5306264628.0,0.006542733435645758
2021-05-21,68.77,69.75,67.09,67.23,36626620.0,3052830936.0,5306264628.0,0.006902524198798779
2021-05-24,67.02,68.21,66.19,68.21,27943478.0,2294658788.0,5306264628.0,0.005266129746441285
2021-05-25,68.2,70.91,68.12,70.57,46445680.0,3960893277.0,5306264628.0,0.008752989768907544
2021-05-26,71.25,71.57,70.06,70.6,41748843.0,3603633112.0,5306264628.0,0.007867840359808004
2021-05-27,70.33,71.1,69.66,70.62,32636750.0,2808456373.0,5306264628.0,0.006150607308158548
2021-05-28,71.09,71.45,69.76,70.24,32128405.0,2769742232.0,5306264628.0,0.006054806394401331
2021-05-31,70.12,70.68,69.56,70.61,25953725.0,2225081410.0,5306264628.0,0.004891147882645705
2021-06-01,70.68,71.59,70.04,71.57,39253826.0,3406034206.0,5306264628.0,0.007397638216696946
2021-06-02,71.6,71.8,68.4,69.02,52429871.0,4456483943.0,5306264628.0,0.009880749392583819
2021-06-03,68.34,68.65,67.55,67.57,41410338.0,3441142200.0,5306264628.0,0.007804046896094606
2021-06-04,67.15,68.31,66.84,67.62,33478119.0,2765748570.0,5306264628.0,0.0063091687556145
2021-06-07,67.5,67.53,66.48,67.45,25301113.0,2070589227.0,5306264628.0,0.004768158916630646
2021-06-08,67.79,69.0,67.59,67.89,29782918.0,2480664129.0,5306264628.0,0.005612784150048236
2021-06-09,67.98,69.14,67.98,68.85,25659093.0,2156957769.0,5306264628.0,0.004835622570461821
2021-06-10,69.89,74.27,69.01,71.85,61779045.0,4544921867.0,5306264628.0,0.011642661897034962
2021-06-11,71.94,72.29,69.98,71.81,44820874.0,3227502819.0,6367517554.0,0.00703898711230785
2021-06-15,71.81,72.98,70.42,70.74,43843803.0,3177815768.0,6367517554.0,0.006885540970744217
2021-06-16,70.74,71.25,69.38,69.69,28037761.0,1991163808.0,6367517554.0,0.004403248324362609
2021-06-17,69.72,70.16,69.05,70.02,23354801.0,1653726264.0,6367517554.0,0.003667803159070804
2021-06-18,70.37,71.3,69.71,70.31,31060655.0,2222493326.0,6367517554.0,0.004877984981837712
2021-06-21,70.07,70.07,68.02,68.41,45286231.0,3169713382.0,6367517554.0,0.007112070067486775
2021-06-22,68.41,69.38,67.91,69.37,43612983.0,3040863642.0,6367517554.0,0.006849291365141638
2021-06-23,69.45,71.31,69.43,70.02,57215569.0,4081587083.0,6367517554.0,0.008985537694208295
2021-06-24,68.88,68.88,66.8,66.92,77212794.0,5274271877.0,6367517554.0,0.012126043367009775
2021-06-25,66.6,67.36,65.92,66.98,53724003.0,3623945403.0,6367517554.0,0.008437197470504218
2021-06-28,66.98,67.52,66.43,67.52,41106770.0,2796214015.0,6367517554.0,0.0064556979468674116
2021-06-29,67.52,67.73,66.74,67.12,30062702.0,2052623672.0,6367517554.0,0.004721259383276448
2021-06-30,67.17,67.61,66.83,66.89,26682514.0,1817637464.0,6367517554.0,0.004190410748571609
2021-07-01,66.92,69.68,66.68,68.59,49410176.0,3416187491.0,6367517554.0,0.007759723562750307
2021-07-02,67.94,68.19,65.79,65.85,53131555.0,3589629268.0,6367517554.0,0.008344155245653524
2021-07-05,65.61,65.61,61.33,61.95,79501891.0,5093697132.0,6367517554.0,0.012485539352782443
2021-07-06,61.61,61.61,59.87,61.08,65591779.0,4031806404.0,6367517554.0,0.010300996965260977
2021-07-07,61.3,62.49,61.28,61.46,42130978.0,2645435620.0,6367517554.0,0.006616546816354486
2021-07-08,61.47,61.89,60.2,60.4,37669299.0,2325415956.0,6367517554.0,0.005915853184627121
2021-07-09,60.05,61.33,59.94,61.12,31713965.0,1956917068.0,6367517554.0,0.0049805854057014196
2021-07-12,62.5,63.48,61.99,62.12,59986695.0,3823509581.0,6367517554.0,0.009420734923976309
