date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,44.61,46.13,44.36,45.72,66271965.0,3063903640.0,6379002274.0,0.01038908000865842
2023-04-11,45.65,46.1,45.17,45.46,32702606.0,1506697778.0,6379002274.0,0.0051266020288614185
2023-04-12,45.55,46.78,45.01,45.08,33600869.0,1550776100.0,6379002274.0,0.0052674176237486004
2023-04-13,45.08,47.18,44.93,46.78,64601144.0,3044670870.0,6379002274.0,0.010127154878640823
2023-04-14,47.37,48.05,46.44,47.15,60487952.0,2891168165.0,6379002274.0,0.00948235310191708
2023-04-17,47.23,49.7,47.23,48.7,80331157.0,3968648863.0,6379002274.0,0.012593059784195336
2023-04-18,48.71,49.1,47.8,48.34,37630631.0,1838343934.0,6379002274.0,0.005899140552650005
2023-04-19,48.22,48.61,47.83,48.08,26781979.0,1302378973.0,6379002274.0,0.004198458920317357
2023-04-20,47.92,48.32,46.96,47.23,41476607.0,1987866965.0,6379002274.0,0.006502052392903725
2023-04-21,47.23,47.77,46.75,46.75,40835484.0,1952335295.0,6379002274.0,0.006401547177125211
2023-04-24,46.76,48.73,46.76,47.77,60310483.0,2925086233.0,6379002274.0,0.009454532293524623
2023-04-25,47.77,48.37,46.71,47.41,43867208.0,2110863168.0,6379002274.0,0.006876813350388217
2023-04-26,47.43,48.19,46.46,47.62,36025480.0,1727777631.0,6379002274.0,0.005647510136002814
2023-04-27,47.6,48.17,46.84,47.62,40053833.0,1928356610.0,6379002274.0,0.006279012183967126
2023-04-28,47.62,48.36,47.26,48.07,28298296.0,1371262044.0,6379002274.0,0.004436163334717758
2023-05-04,47.97,49.3,47.9,48.68,43250708.0,2136055052.0,6379002274.0,0.006780168142639543
2023-05-05,48.79,48.89,46.52,46.9,42260825.0,2016143924.0,6379002274.0,0.006624989800089857
2023-05-08,46.9,47.03,45.52,45.95,46805247.0,2173812803.0,6379002274.0,0.007337393057652953
2023-05-09,45.83,46.26,45.15,45.38,28953561.0,1338169982.0,6379002274.0,0.004538885511612219
2023-05-10,45.45,46.14,45.1,45.79,25166512.0,1164998556.0,6379002274.0,0.00394521132287027
2023-05-11,45.79,47.42,45.66,45.87,28621814.0,1342559169.0,6379002274.0,0.004486879416340525
