date,open,high,low,close,volume,amount
2021-04-12,1796.79,1815.79,1777.49,1794.68,31943,6409917440.0
2021-04-13,1805.79,1835.59,1794.79,1806.79,28992,5883787264.0
2021-04-14,1820.79,1833.79,1801.79,1832.79,24115,4908790016.0
2021-04-15,1816.69,1832.69,1775.79,1801.39,34366,6903769600.0
2021-04-16,1810.87,1853.79,1797.79,1840.77,30294,6183895040.0
2021-04-19,1840.79,1884.15,1818.79,1873.79,31754,6610577920.0
2021-04-20,1856.89,1914.79,1855.79,1880.59,28290,5949669888.0
2021-04-21,1861.79,1883.59,1850.89,1865.79,26150,5446146048.0
2021-04-22,1875.69,1884.79,1837.29,1841.29,26850,5539295744.0
2021-04-23,1841.76,1905.67,1838.29,1894.73,33463,7002695424.0
2021-04-26,1917.79,1920.79,1859.39,1863.61,34045,7160836864.0
2021-04-27,1872.87,1881.04,1850.88,1880.23,22108,4607779072.0
2021-04-28,1795.79,1833.29,1788.79,1827.79,81343,16463574528.0
2021-04-29,1832.83,1835.73,1799.79,1812.15,41284,8370431232.0
2021-04-30,1811.79,1821.79,1789.5,1792.57,38401,7723747072.0
2021-05-06,1785.79,1792.63,1738.79,1744.79,53546,10584968960.0
2021-05-07,1750.79,1753.77,1686.79,1688.79,52493,10101703424.0
2021-05-10,1685.79,1694.79,1651.8,1664.82,46003,8677753600.0
2021-05-11,1661.79,1751.79,1659.09,1744.79,42494,8209251840.0
2021-05-12,1734.87,1784.79,1734.79,1769.79,32699,6473203200.0
2021-05-13,1751.54,1770.84,1738.79,1757.29,25078,4934955008.0
2021-05-14,1767.79,1816.29,1761.79,1795.64,35611,7150301952.0
2021-05-17,1810.89,1870.99,1810.89,1843.75,44524,9178510080.0
2021-05-18,1850.79,1862.79,1830.85,1845.1,17504,3595891744.0
2021-05-19,1844.79,1860.6,1825.79,1834.79,22410,4606452480.0
2021-05-20,1859.79,1859.89,1831.15,1844.67,21857,4500663296.0
2021-05-21,1840.87,1865.67,1822.81,1827.89,24248,4976601344.0
2021-05-24,1836.79,1865.85,1816.79,1857.08,32548,6705879296.0
2021-05-25,1870.79,1985.89,1870.79,1980.29,67757,14636718848.0
2021-05-26,1993.77,2027.59,1978.87,2005.79,38604,8558038272.0
2021-05-27,1996.81,2105.79,1986.89,2030.79,45373,10240368896.0
2021-05-28,2026.76,2035.79,1991.3,2015.79,25807,5741331968.0
2021-05-31,2001.29,2004.14,1957.79,2003.79,31739,6960864256.0
2021-06-01,2007.79,2034.74,1991.79,2026.74,30616,6832594432.0
2021-06-02,2035.79,2049.79,1993.97,2007.79,22863,5088908288.0
2021-06-03,2005.79,2046.13,1995.87,2008.01,23450,5242452992.0
2021-06-04,2000.79,2073.79,1999.83,2037.29,31422,7058715136.0
2021-06-07,2050.79,2064.79,2025.8,2056.79,25466,5756592640.0
2021-06-08,2045.79,2065.78,1946.94,1976.79,47314,10479943168.0
2021-06-09,1977.79,1999.79,1945.9,1985.29,25502,5591378944.0
2021-06-10,1980.79,2037.16,1975.87,2024.27,25567,5707338496.0
2021-06-11,2024.79,2029.79,1964.6,1964.6,33971,7513797120.0
2021-06-15,1980.89,1994.67,1933.79,1978.79,29361,6412821504.0
2021-06-16,1977.79,1980.79,1933.79,1943.79,27593,5978924544.0
2021-06-17,1941.44,1973.79,1930.15,1942.7,21068,4558702592.0
2021-06-18,1932.79,1942.29,1850.79,1876.73,54028,11329180928.0
2021-06-21,1870.79,1885.48,1835.79,1867.43,35488,7367986432.0
2021-06-22,1877.79,1883.79,1839.68,1860.76,33228,6900830720.0
2021-06-23,1865.79,1868.79,1819.94,1823.79,37079,7596735744.0
2021-06-24,1825.8,1865.79,1806.79,1853.84,31474,6452557056.0
2021-06-25,1855.04,1914.08,1847.68,1897.08,35875,7459680512.0
2021-06-28,1905.08,1923.08,1878.08,1908.09,27452,5750241280.0
2021-06-29,1913.08,1920.08,1856.08,1867.08,33031,6835635200.0
2021-06-30,1870.08,1879.08,1851.38,1861.78,21916,4511484160.0
2021-07-01,1865.05,1915.08,1836.68,1910.08,33701,6970731008.0
2021-07-02,1880.08,1880.08,1816.58,1818.08,46275,9388640256.0
2021-07-05,1805.08,1824.96,1790.08,1799.08,34421,6872797696.0
2021-07-06,1800.08,1819.08,1765.09,1817.98,35283,7015883008.0
2021-07-07,1815.08,1833.96,1804.09,1809.08,28122,5658210816.0
2021-07-08,1805.18,1809.08,1773.08,1790.08,35517,7027713792.0
2021-07-09,1769.6,1790.99,1750.08,1777.19,30908,6072340992.0
2021-07-12,1780.63,1803.86,1745.58,1766.08,39010,7658786304.0
2021-07-13,1773.08,1810.58,1770.08,1787.98,29925,5946287360.0
2021-07-14,1779.08,1779.58,1750.08,1767.08,30771,6011814912.0
2021-07-15,1760.1,1818.08,1755.68,1803.07,42190,8391506176.0
2021-07-16,1785.08,1801.68,1755.08,1760.98,35408,6958296832.0
2021-07-19,1760.97,1791.08,1746.08,1780.08,30052,5900348160.0
2021-07-20,1780.08,1794.01,1766.49,1785.08,23475,4639300864.0
2021-07-21,1794.08,1811.08,1767.09,1774.08,29780,5902656256.0
2021-07-22,1765.08,1778.98,1744.04,1745.09,39090,7619076864.0
2021-07-23,1742.9,1742.9,1700.17,1705.08,47585,9057761792.0
2021-07-26,1684.08,1684.08,1585.08,1609.19,98619,17894360832.0
2021-07-27,1608.08,1615.08,1508.08,1517.97,86577,15230805760.0
2021-07-28,1508.08,1593.28,1487.2,1573.98,85369,14792471040.0
2021-07-29,1615.09,1628.08,1539.42,1554.87,63864,11299569920.0
2021-07-30,1530.08,1530.08,1462.84,1484.07,77736,13109724928.0
2021-08-02,1469.08,1561.06,1425.8,1560.08,97401,16515259136.0
2021-08-03,1535.08,1574.07,1493.88,1554.38,54375,9447823360.0
2021-08-04,1539.14,1565.08,1523.08,1529.08,38175,6614683392.0
2021-08-05,1497.96,1550.08,1481.44,1504.08,48060,8177369856.0
2021-08-06,1494.08,1499.09,1451.68,1476.08,45686,7616109568.0
2021-08-09,1456.08,1514.08,1455.08,1498.88,47698,8028155392.0
2021-08-10,1505.08,1607.96,1480.08,1604.08,83285,14549496576.0
2021-08-11,1585.09,1590.09,1555.09,1555.58,38663,6821292800.0
2021-08-12,1537.08,1554.08,1491.27,1495.08,47551,8130692608.0
2021-08-13,1495.08,1518.08,1484.08,1505.12,37905,6418412544.0
2021-08-16,1501.08,1518.68,1490.16,1504.28,28057,4773049856.0
2021-08-17,1505.08,1505.08,1433.96,1440.08,61201,10140292096.0
2021-08-18,1429.74,1448.07,1405.08,1425.08,59970,9701556224.0
2021-08-19,1427.3,1448.28,1405.08,1425.05,41292,6682355712.0
2021-08-20,1360.25,1402.63,1330.58,1353.08,114545,17825198336.0
2021-08-23,1342.96,1404.08,1341.85,1375.27,71597,11218832896.0
2021-08-24,1380.08,1447.63,1370.85,1430.26,72594,11703813888.0
2021-08-25,1452.72,1485.95,1448.08,1470.1,54239,9037626368.0
2021-08-26,1470.07,1470.07,1399.8,1400.08,54020,8722233088.0
2021-08-27,1394.08,1430.08,1389.18,1401.11,36095,5791426304.0
2021-08-30,1410.08,1418.08,1351.03,1391.08,51588,8098190336.0
2021-08-31,1394.88,1421.43,1360.18,1363.08,43677,6888080896.0
2021-09-01,1364.08,1440.07,1336.18,1427.09,77316,12370243328.0
2021-09-02,1438.07,1448.08,1405.97,1423.88,42837,6939707392.0
2021-09-03,1415.1,1464.87,1387.08,1463.3,52835,8631165696.0
2021-09-06,1454.08,1513.24,1431.23,1475.75,55338,9306030592.0
2021-09-07,1466.11,1489.56,1456.08,1474.08,31211,5204051712.0
2021-09-08,1465.08,1476.26,1433.16,1438.18,33064,5428265728.0
2021-09-09,1431.08,1450.08,1429.09,1439.16,19950,3257785760.0
2021-09-10,1439.16,1473.88,1438.08,1467.66,33388,5528034048.0
2021-09-13,1470.08,1489.08,1445.18,1459.08,27720,4605031680.0
2021-09-14,1464.08,1488.08,1458.08,1462.08,33761,5638962688.0
2021-09-15,1455.08,1465.08,1415.08,1420.82,41570,6781755392.0
2021-09-16,1408.08,1449.08,1390.08,1443.15,45968,7458455040.0
2021-09-17,1425.08,1510.68,1425.08,1491.08,55130,9242101504.0
2021-09-22,1463.91,1493.08,1440.08,1442.77,31743,5227723008.0
2021-09-23,1443.08,1460.96,1430.16,1440.08,30342,4964210176.0
2021-09-24,1433.08,1525.06,1433.08,1499.08,69537,11756596224.0
2021-09-27,1555.08,1668.48,1555.08,1660.08,126869,23270689792.0
2021-09-28,1653.08,1665.08,1600.08,1627.14,49221,8973408768.0
2021-09-29,1614.08,1650.09,1590.98,1625.08,43291,7870151680.0
2021-09-30,1623.26,1655.3,1608.48,1635.08,40539,7411735808.0
2021-10-08,1627.5,1683.08,1612.31,1644.68,47452,8780381184.0
2021-10-11,1644.59,1694.98,1636.09,1672.2,37676,7040475392.0
2021-10-12,1671.08,1682.08,1647.5,1676.07,30606,5688160768.0
2021-10-13,1675.08,1755.03,1667.08,1734.98,50143,9625769216.0
2021-10-14,1734.01,1746.88,1701.08,1716.08,26623,5097602304.0
2021-10-15,1695.18,1735.07,1695.18,1722.05,28561,5452953856.0
2021-10-18,1693.08,1693.08,1592.08,1605.08,69652,12651498496.0
2021-10-19,1605.08,1643.88,1604.96,1617.26,40315,7330114048.0
2021-10-20,1638.08,1654.88,1611.09,1646.08,28663,5246404608.0
2021-10-21,1646.18,1665.08,1634.08,1649.08,23019,4238584288.0
2021-10-22,1660.08,1726.09,1659.08,1706.08,35963,6794850048.0
2021-10-25,1685.08,1690.09,1663.08,1678.11,32461,6076219904.0
2021-10-26,1669.11,1684.07,1649.08,1666.13,21130,3934223712.0
2021-10-27,1657.38,1663.38,1605.18,1624.08,34647,6302270976.0
2021-10-28,1630.28,1648.86,1607.08,1630.57,29491,5383196160.0
2021-10-29,1630.08,1653.08,1618.08,1631.16,28776,5266898944.0
