date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,1622.05,1622.05,1579.59,1604.67,2941822.0,5171150567.0,1256197800.0,0.0023418461646724743
2023-04-11,1623.97,1623.97,1579.59,1580.94,2920919.0,5138854627.0,1256197800.0,0.002325206269267467
2023-04-12,1582.54,1585.02,1533.23,1534.39,5110492.0,8732657376.0,1256197800.0,0.0040682223770810615
2023-04-13,1530.68,1561.1,1525.25,1560.57,2954268.0,5049310126.0,1256197800.0,0.0023517538400401592
2023-04-14,1563.28,1569.62,1544.08,1551.89,2123162.0,3646526766.0,1256197800.0,0.0016901494334729769
2023-04-17,1575.96,1587.74,1565.09,1587.74,3046723.0,5303401395.0,1256197800.0,0.002425352918147126
2023-04-18,1587.74,1602.23,1581.41,1592.27,1831389.0,3220107647.0,1256197800.0,0.001457882667841004
2023-04-19,1595.89,1599.06,1585.02,1593.17,1460056.0,2568632845.0,1256197800.0,0.0011622819272569973
2023-04-20,1594.18,1598.61,1566.0,1577.67,1988537.0,3468366835.0,1256197800.0,0.0015829808012719016
2023-04-21,1581.4,1583.28,1559.01,1562.8,1851787.0,3210937222.0,1256197800.0,0.0014741205564919792
2023-04-24,1558.75,1559.66,1540.64,1544.26,2023091.0,3456728718.0,1256197800.0,0.0016104876158834222
2023-04-25,1545.17,1572.32,1541.54,1567.25,2058251.0,3534989917.0,1256197800.0,0.001638476838599781
2023-04-26,1579.59,1594.98,1557.85,1579.5,2789160.0,4861477657.0,1256197800.0,0.002220319124902145
2023-04-27,1583.21,1603.13,1566.91,1592.19,2560504.0,4489906864.0,1256197800.0,0.002038296835100332
2023-04-28,1596.8,1614.7,1588.62,1594.55,2622464.0,4636084177.0,1256197800.0,0.002087620277634621
2023-05-04,1602.23,1610.08,1572.34,1584.93,2746642.0,4818999650.0,1256197800.0,0.002186472544371595
2023-05-05,1599.51,1599.51,1572.69,1585.02,2071421.0,3621305973.0,1256197800.0,0.0016489608563237414
2023-05-08,1601.61,1602.23,1555.28,1558.32,3317126.0,5742915994.0,1256197800.0,0.0026406080316332347
2023-05-09,1553.32,1575.94,1546.14,1559.66,2937796.0,5057346564.0,1256197800.0,0.002338641255381915
2023-05-10,1553.49,1572.34,1553.32,1562.38,2077260.0,3588550877.0,1256197800.0,0.0016536090096639239
2023-05-11,1567.81,1571.43,1553.32,1555.19,1524612.0,2623835905.0,1256197800.0,0.0012136719233229035
2023-05-12,1553.32,1566.8,1544.27,1545.53,1946045.0,3335038590.0,1256197800.0,0.0015491549181187868
2023-05-15,1541.54,1555.13,1531.76,1554.5,2574018.0,4384647977.0,1256197800.0,0.0020490546950488213
2023-05-16,1552.4,1557.84,1537.02,1542.71,2222377.0,3785811907.0,1256197800.0,0.0017691298297131232
2023-05-17,1546.98,1551.51,1538.84,1540.64,1677691.0,2858697942.0,1256197800.0,0.0013355309171851758
2023-05-18,1544.25,1544.62,1530.68,1531.58,1921928.0,3260170684.0,1256197800.0,0.0015299565084415847
2023-05-19,1513.47,1543.66,1499.47,1539.28,2674116.0,4504022549.0,1256197800.0,0.0021287380060687894
2023-05-22,1530.69,1586.83,1530.68,1581.4,4128432.0,7165754129.0,1256197800.0,0.003286450589230454
2023-05-23,1588.63,1588.64,1561.97,1561.97,1689421.0,2934118394.0,1256197800.0,0.0013448686186204116
2023-05-24,1569.02,1570.12,1548.89,1549.61,1847927.0,3182416491.0,1256197800.0,0.0014710477919958147
2023-05-25,1545.16,1548.79,1530.68,1540.64,2246560.0,3814504093.0,1256197800.0,0.0017883807788868918
2023-05-26,1541.54,1544.26,1517.1,1531.18,1829110.0,3090691546.0,1256197800.0,0.0014560684631035018
2023-05-29,1537.02,1538.24,1519.81,1529.77,1777141.0,2998147159.0,1256197800.0,0.001414698385875218
2023-05-30,1529.77,1538.73,1502.2,1511.01,2645340.0,4424706688.0,1256197800.0,0.0021058307855657764
2023-05-31,1504.42,1508.69,1473.32,1475.34,3695697.0,6053737281.0,1256197800.0,0.002941970603674039
2023-06-01,1465.46,1517.08,1465.46,1481.69,2864525.0,4708722933.0,1256197800.0,0.0022803136576102904
2023-06-02,1489.92,1515.41,1481.87,1513.11,2505802.0,4163116244.0,1256197800.0,0.0019947511450824065
2023-06-05,1509.08,1524.23,1506.22,1508.03,1620050.0,2704294313.0,1256197800.0,0.0012896456274640825
2023-06-06,1512.56,1525.24,1495.85,1509.84,1991392.0,3326778183.0,1256197800.0,0.0015852535325248938
2023-06-07,1515.27,1520.53,1494.45,1495.26,1788964.0,2971782064.0,1256197800.0,0.0014241101202374339
2023-06-08,1499.73,1517.09,1494.46,1510.75,1470272.0,2441569677.0,1256197800.0,0.0011704144044831157
2023-06-09,1514.36,1519.78,1508.94,1508.94,1758041.0,2938014322.0,1256197800.0,0.0013994937739900517
2023-06-12,1508.96,1546.98,1504.88,1536.11,2702944.0,4562308599.0,1256197800.0,0.002151686621326673
2023-06-13,1534.19,1543.91,1526.15,1538.83,1466254.0,2485398902.0,1256197800.0,0.0011672158636163827
2023-06-14,1556.94,1570.75,1545.36,1564.08,3150580.0,5438040356.0,1256197800.0,0.002508028592312453
2023-06-15,1567.21,1590.14,1560.57,1589.55,2522257.0,4395900802.0,1256197800.0,0.00200785019684002
2023-06-16,1591.36,1630.31,1585.11,1628.21,3791789.0,6742301361.0,1256197800.0,0.003018464926463014
2023-06-19,1621.25,1628.45,1574.15,1579.59,3169992.0,5584248725.0,1256197800.0,0.0025234815727268427
2023-06-20,1575.96,1598.61,1571.43,1579.1,2094674.0,3659824529.0,1256197800.0,0.0016674714762277088
2023-06-21,1575.96,1591.0,1571.43,1572.19,1772061.0,3088635934.0,1256197800.0,0.0014106544367455507
2023-06-26,1557.95,1566.91,1535.2,1547.88,2399268.0,4098619510.0,1256197800.0,0.001909944437094222
2023-06-27,1548.78,1557.58,1539.81,1549.74,1517446.0,2598138744.0,1256197800.0,0.001207967407680542
2023-06-28,1551.67,1570.53,1549.7,1565.44,1857356.0,3199294221.0,1256197800.0,0.001478553775528026
2023-06-29,1567.81,1571.42,1551.52,1552.15,1423116.0,2446524134.0,1256197800.0,0.0011328757302392983
2023-06-30,1563.37,1571.64,1550.94,1555.09,2045869.0,3472586730.0,1256197800.0,0.001628620110622706
2023-07-03,1562.45,1586.62,1556.01,1585.53,1913909.0,3286737792.0,1256197800.0,0.0015235729596087496
2023-07-04,1585.63,1595.04,1580.0,1591.51,1247238.0,2155553635.0,1256197800.0,0.0009928675245251982
2023-07-05,1590.96,1592.77,1563.37,1577.52,1474539.0,2523960725.0,1256197800.0,0.0011738111625414405
2023-07-06,1571.8,1593.72,1563.37,1566.11,1514062.0,2589459002.0,1256197800.0,0.0012052735644020392
2023-07-07,1564.29,1571.64,1554.17,1554.2,1516742.0,2571458553.0,1256197800.0,0.0012074069863838323
2023-07-10,1567.97,1577.13,1563.37,1564.2,1347741.0,2298241728.0,1256197800.0,0.0010728732370013704
2023-07-11,1572.57,1577.32,1565.3,1572.57,1258270.0,2151079270.0,1256197800.0,0.0010016495809815939
2023-07-12,1575.36,1584.52,1573.79,1576.06,1328467.0,2280785351.0,1256197800.0,0.001057530111897983
2023-07-13,1583.59,1605.13,1580.85,1598.69,2580654.0,4479772500.0,1256197800.0,0.002054337302612694
2023-07-14,1614.87,1617.17,1601.26,1612.11,1855030.0,3245530255.0,1256197800.0,0.0014767021563005444
2023-07-17,1610.27,1610.27,1587.83,1590.93,1433648.0,2482069846.0,1256197800.0,0.0011412597602065535
2023-07-18,1594.25,1595.11,1582.68,1584.34,1473765.0,2544005063.0,1256197800.0,0.001173195017536251
2023-07-19,1577.17,1589.12,1576.06,1584.52,1248322.0,2147704435.0,1256197800.0,0.0009937304459536548
2023-07-20,1589.11,1608.41,1583.6,1585.44,1669265.0,2897176490.0,1256197800.0,0.0013288233747901803
2023-07-21,1592.69,1630.04,1587.28,1628.94,3937740.0,6931535726.0,1256197800.0,0.0031346496546960996
2023-07-24,1609.83,1628.8,1609.83,1628.8,1971337.0,3476648177.0,1256197800.0,0.001569288690045469
2023-07-25,1655.33,1681.89,1655.33,1681.59,4308646.0,7837450019.0,1256197800.0,0.0034299104806583803
2023-07-26,1681.59,1688.43,1669.2,1681.59,1961145.0,3580171484.0,1256197800.0,0.0015611753180908294
2023-07-27,1688.44,1705.72,1681.73,1690.31,2034043.0,3749635290.0,1256197800.0,0.0016192059881015553
2023-07-28,1684.76,1747.3,1681.09,1744.54,3901792.0,7330314112.0,1256197800.0,0.0031060331422328555
2023-07-31,1754.65,1779.48,1723.39,1729.44,4537861.0,8615279839.0,1256197800.0,0.0036123777640750523
2023-08-01,1727.07,1753.69,1726.96,1737.18,1923062.0,3635857283.0,1256197800.0,0.0015308592325189551
2023-08-02,1732.03,1738.1,1716.77,1728.9,1850872.0,3478674239.0,1256197800.0,0.0014733921680168522
2023-08-03,1719.71,1738.1,1701.78,1727.5,2154347.0,4031087705.0,1256197800.0,0.001714974345600669
2023-08-04,1736.1,1753.29,1730.74,1741.29,2457364.0,4655813751.0,1256197800.0,0.001956191930920433
2023-08-07,1729.78,1745.46,1720.66,1736.2,2389245.0,4491893140.0,1256197800.0,0.0019019655980929118
2023-08-08,1728.93,1741.51,1714.26,1738.1,1773618.0,3333559505.0,1256197800.0,0.0014118938912327343
2023-08-09,1738.1,1751.9,1731.63,1738.36,1852346.0,3506306394.0,1256197800.0,0.0014745655501068383
2023-08-10,1730.74,1737.18,1712.63,1724.31,1843619.0,3454219140.0,1256197800.0,0.0014676183957653803
2023-08-11,1733.5,1733.87,1686.49,1686.6,2678649.0,4959166751.0,1256197800.0,0.002132346514219337
2023-08-14,1664.53,1678.31,1651.66,1658.09,2373119.0,4285362053.0,1256197800.0,0.001889128447765153
2023-08-15,1663.61,1671.89,1656.26,1667.27,1481799.0,2682125119.0,1256197800.0,0.0011795905071637603
2023-08-16,1662.31,1676.81,1660.85,1673.73,1318431.0,2396261791.0,1256197800.0,0.0010495409242079552
2023-08-17,1660.93,1686.6,1656.76,1681.13,1729037.0,3141408018.0,1256197800.0,0.0013764050534079903
2023-08-18,1684.75,1687.51,1657.72,1657.72,1702334.0,3084761577.0,1256197800.0,0.0013551480507289536
2023-08-21,1648.9,1668.2,1646.2,1647.06,1891181.0,3405415645.0,1256197800.0,0.0015054802675183796
2023-08-22,1656.24,1657.69,1628.68,1644.3,2665036.0,4763131152.0,1256197800.0,0.002121509845025998
2023-08-23,1652.58,1655.33,1627.82,1631.42,1991222.0,3556178584.0,1256197800.0,0.001585118203518586
2023-08-24,1636.59,1681.08,1632.34,1670.32,2605509.0,4703417600.0,1256197800.0,0.002074123199387867
2023-08-25,1663.42,1690.07,1660.86,1678.31,1883086.0,3433296756.0,1256197800.0,0.0014990362186591952
2023-08-28,1745.99,1745.99,1684.65,1687.49,4105213.0,7633221012.0,1256197800.0,0.003267967035127748
2023-08-29,1681.08,1718.86,1681.08,1702.54,2895028.0,5371260173.0,1256197800.0,0.0023045956616067945
2023-08-30,1717.78,1717.87,1695.49,1706.83,1981181.0,3672570260.0,1256197800.0,0.0015771250355636668
2023-08-31,1710.51,1710.51,1693.05,1698.56,1482022.0,2738445519.0,1256197800.0,0.001179768026977917
2023-09-01,1703.92,1715.54,1697.66,1702.28,1314519.0,2438622738.0,1256197800.0,0.00104642676495692
2023-09-04,1712.9,1728.85,1704.56,1716.03,2387100.0,4453823216.0,1256197800.0,0.0019002580644544992
2023-09-05,1717.87,1717.87,1707.57,1709.32,1565874.0,2915625961.0,1256197800.0,0.0012465186613127327
2023-09-06,1708.67,1716.64,1700.41,1711.43,1112143.0,2067605990.0,1256197800.0,0.0008853247474243308
2023-09-07,1703.71,1707.65,1684.02,1690.28,1698157.0,3128587116.0,1256197800.0,0.0013518229374386741
2023-09-08,1687.47,1687.47,1669.08,1672.35,1221178.0,2224338144.0,1256197800.0,0.0009721223839111962
2023-09-11,1662.69,1692.12,1662.69,1675.72,1592600.0,2902617736.0,1256197800.0,0.0012677939732102699
2023-09-12,1679.8,1680.15,1670.07,1673.69,1216801.0,2214514112.0,1256197800.0,0.0009686380600252603
2023-09-13,1682.85,1682.85,1655.38,1673.64,1950143.0,3540583633.0,1256197800.0,0.0015524171432237822
2023-09-14,1676.05,1680.15,1660.85,1672.52,1750459.0,3180447848.0,1256197800.0,0.0013934581003087253
2023-09-15,1672.81,1673.52,1638.14,1638.77,2843146.0,5105749077.0,1256197800.0,0.0022632948409876215
2023-09-18,1633.55,1682.46,1630.5,1682.19,3255892.0,5905121000.0,1256197800.0,0.002591862523561178
2023-09-19,1675.75,1682.0,1662.69,1680.11,1498950.0,2727858953.0,1256197800.0,0.0011932436117942573
2023-09-20,1675.57,1682.92,1671.93,1677.41,1250178.0,2281583949.0,1256197800.0,0.0009952079202813443
2023-09-21,1671.9,1675.57,1653.85,1653.85,1948919.0,3521486755.0,1256197800.0,0.0015514427743783662
2023-09-22,1660.51,1701.28,1648.35,1700.4,3439046.0,6287832575.0,1256197800.0,0.0027376628107452505
2023-09-25,1699.02,1699.48,1679.79,1685.11,1397913.0,2565773541.0,1256197800.0,0.001112812807027683
2023-09-26,1681.08,1687.41,1667.38,1670.05,1576196.0,2870852363.0,1256197800.0,0.0012547355201545489
2023-09-27,1669.13,1686.14,1657.91,1668.21,2087994.0,3791876119.0,1256197800.0,0.0016621538423327918
2023-09-28,1678.31,1678.31,1653.31,1654.0,2053784.0,3704812960.0,1256197800.0,0.0016349208699457999
2023-10-09,1652.52,1652.52,1623.06,1634.18,2976268.0,5279950406.0,1256197800.0,0.0023692670055623405
2023-10-10,1639.6,1654.4,1625.91,1627.75,2028392.0,3615557182.0,1256197800.0,0.0016147074927212895
