date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,17.51,17.97,17.5,17.84,65645637.0,1390041467.0,22741859230.0,0.002886555419066324
2021-04-13,17.77,17.88,17.55,17.7,37492201.0,786451475.0,22741859230.0,0.0016485987632243381
2021-04-14,17.72,17.75,17.43,17.48,53201843.0,1107905890.0,22741859230.0,0.00233937966381476
2021-04-15,17.48,17.54,17.07,17.11,57600278.0,1176856409.0,22741859230.0,0.0025327866740119647
2021-04-16,17.17,17.35,17.11,17.23,24951468.0,510404035.0,22741859230.0,0.0010971604277228656
2021-04-19,17.18,17.38,17.17,17.27,32216369.0,660703746.0,22741859230.0,0.001416611046360786
2021-04-20,17.21,17.37,17.18,17.35,23126559.0,475301797.0,22741859230.0,0.0010169159331305912
2021-04-21,17.3,17.38,17.23,17.34,23863841.0,490001631.0,22741859230.0,0.0010493355340323246
2021-04-22,17.34,17.38,17.11,17.17,37710976.0,770042882.0,22741859230.0,0.0016582186890970391
2021-04-23,17.17,17.17,16.85,17.16,49810967.0,1007769320.0,22741859230.0,0.0021902768149356803
2021-04-26,17.14,17.22,16.97,16.97,31879803.0,646011942.0,22741859230.0,0.001401811640709905
2021-04-27,16.93,17.06,16.9,16.94,22683243.0,456809084.0,22741859230.0,0.0009974225401095317
2021-04-28,16.96,17.01,16.81,16.94,28506691.0,573097979.0,22741859230.0,0.0012534899065066458
2021-04-29,16.91,17.0,16.81,16.95,34505740.0,693006081.0,22741859230.0,0.0015172787612053125
2021-04-30,16.95,16.96,16.67,16.81,48161564.0,961349743.0,22741859230.0,0.002117749631325987
2021-05-06,16.75,16.9,16.73,16.74,51696523.0,1030697494.0,22741859230.0,0.002273188065987338
2021-05-07,16.75,16.81,16.58,16.63,43386527.0,858407470.0,22741859230.0,0.0019077827613481362
2021-05-10,16.63,16.7,16.47,16.56,38721977.0,761289495.0,22741859230.0,0.0017026742012772541
2021-05-11,16.53,16.79,16.43,16.74,34332839.0,679428903.0,22741859230.0,0.001509675996706097
2021-05-12,16.71,16.81,16.58,16.64,24864161.0,492445885.0,22741859230.0,0.0010933213836448498
