date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,19.09,19.19,19.01,19.15,32278514.0,684943516.0,22741859230.0,0.0014193436725445775
2023-04-11,19.19,19.22,19.02,19.18,40730152.0,864131766.0,22741859230.0,0.0017909772278543825
2023-04-12,19.2,19.37,19.13,19.29,41829940.0,895041803.0,22741859230.0,0.0018393368623450053
2023-04-13,19.26,19.34,19.02,19.06,46973874.0,996035683.0,22741859230.0,0.002065524789549056
2023-04-14,19.12,19.26,19.09,19.12,38191401.0,812423384.0,22741859230.0,0.001679343830851775
2023-04-17,19.11,19.2,19.05,19.2,42052138.0,892428995.0,22741859230.0,0.0018491073036160026
2023-04-18,19.2,19.25,19.08,19.16,41355933.0,877948030.0,22741859230.0,0.0018184939314656026
2023-04-19,19.18,19.24,18.97,19.0,72376937.0,1532220043.0,22741859230.0,0.0031825426526483694
2023-04-20,19.01,19.08,18.91,19.05,47577894.0,1002741154.0,22741859230.0,0.002092084623285218
2023-04-21,19.06,19.32,18.97,18.98,70033486.0,1488286839.0,22741859230.0,0.00307949694401481
2023-04-24,19.06,19.15,18.92,18.96,47108007.0,993415267.0,22741859230.0,0.0020714228561338256
2023-04-25,18.94,19.13,18.91,19.08,48418881.0,1023228678.0,22741859230.0,0.0021290643174911605
2023-04-26,19.09,19.27,19.06,19.09,45345100.0,963342480.0,22741859230.0,0.0019939046997609964
2023-04-27,19.19,19.76,19.13,19.73,94561177.0,2047798383.0,22741859230.0,0.004158023143299529
2023-04-28,19.67,19.79,19.49,19.72,66015641.0,1439296571.0,22741859230.0,0.0029028251530514816
2023-05-04,19.72,20.34,19.58,20.34,85629994.0,1906221121.0,22741859230.0,0.0037653031414001943
2023-05-05,20.21,20.21,19.88,19.92,61381674.0,1361763407.0,22741859230.0,0.0026990613818868494
2023-05-08,19.92,20.2,19.84,20.14,68970395.0,1532070560.0,22741859230.0,0.0030327509418850624
2023-05-09,20.07,20.81,20.03,20.51,97493818.0,2223384549.0,22741859230.0,0.004286976584191969
2023-05-10,20.51,20.92,20.18,20.18,68545226.0,1558869165.0,22741859230.0,0.0030140555047310437
2023-05-11,20.31,20.76,20.21,20.55,53842282.0,1227855358.0,22741859230.0,0.0023675409057573346
2023-05-12,20.59,20.87,20.46,20.65,68203507.0,1563876902.0,22741859230.0,0.0029990295125048136
2023-05-15,20.55,20.74,20.47,20.73,53032288.0,1214174617.0,22741859230.0,0.0023319240288868855
2023-05-16,20.73,20.85,20.47,20.7,56416956.0,1294922459.0,22741859230.0,0.0024807539009641475
2023-05-17,20.71,20.85,20.56,20.62,45011722.0,1032793262.0,22741859230.0,0.0019792454761404306
2023-05-18,20.66,20.98,20.65,20.8,46870802.0,1083068418.0,22741859230.0,0.0020609925303807274
2023-05-19,20.74,20.8,20.56,20.57,36188627.0,828257693.0,22741859230.0,0.0015912782958510997
2023-05-22,20.68,21.02,20.61,20.94,58294305.0,1351315372.0,22741859230.0,0.0025633042756284794
2023-05-23,20.95,21.03,20.77,20.77,33097802.0,766352239.0,22741859230.0,0.0014553692231257383
2023-05-24,20.77,20.8,20.4,20.4,47676819.0,1085587504.0,22741859230.0,0.002096434531487512
2023-05-25,20.39,20.55,20.3,20.46,36926960.0,836120624.0,22741859230.0,0.001623744111092187
2023-05-26,20.48,20.58,20.32,20.34,27560741.0,624126106.0,22741859230.0,0.00121189480249896
