date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,17.05,17.19,16.81,16.88,65605946.0,1502236988.0,19615250551.0,0.00334463971436018
2021-04-13,17.03,17.08,16.5,16.7,71782236.0,1622980405.0,19615250551.0,0.0036595115526750427
2021-04-14,16.78,16.78,16.0,16.05,164813556.0,3611952669.0,19615250551.0,0.00840231714458512
2021-04-15,16.12,16.12,15.13,15.42,298136610.0,6202455800.0,19615250551.0,0.0151992251755765
2021-04-16,15.5,15.51,15.21,15.45,112063592.0,2328418542.0,19615250551.0,0.005713084913630477
2021-04-19,15.46,15.62,15.14,15.56,145751478.0,3040595536.0,19615250551.0,0.007430518290910614
2021-04-20,15.54,16.06,15.49,15.78,125571753.0,2677980881.0,19615250551.0,0.006401740965454977
2021-04-21,15.81,16.44,15.81,16.28,139289194.0,3050938022.0,19615250551.0,0.007101066266670702
2021-04-22,16.31,16.39,15.83,15.99,91850819.0,1992372562.0,19615250551.0,0.004682622776659734
2021-04-23,15.91,16.23,15.83,16.18,58726883.0,1279493119.0,19615250551.0,0.0029939399880368114
2021-04-26,16.39,16.56,15.9,15.94,91180991.0,1998388062.0,19615250551.0,0.004648474449150053
2021-04-27,15.91,16.22,15.86,16.08,52366001.0,1137363855.0,19615250551.0,0.0026696575128544735
2021-04-28,16.1,16.16,15.66,15.91,88131846.0,1887833920.0,19615250551.0,0.0044930267788757345
2021-04-29,15.92,16.44,15.91,16.43,104813284.0,2308394822.0,19615250551.0,0.005343458842265797
2021-04-30,16.65,16.65,15.94,16.08,123406974.0,2716006482.0,19615250551.0,0.0062913789288156
2021-05-06,15.94,16.68,15.94,16.47,102138012.0,2274865080.0,19615250551.0,0.005207071494419067
2021-05-07,16.64,17.05,16.57,16.76,129422415.0,2946696429.0,19615250551.0,0.006598050565986879
2021-05-10,16.78,16.78,16.16,16.28,98141458.0,2165483773.0,19615250551.0,0.005003324211680624
2021-05-11,16.2,16.73,16.19,16.53,100090223.0,2236506562.0,19615250551.0,0.0051026736946216235
2021-05-12,16.5,17.27,16.46,16.67,147597366.0,3371603765.0,19615250551.0,0.007524623028201665
2021-05-13,16.65,16.91,16.63,16.7,80182523.0,1816711614.0,19615250551.0,0.004087764405125696
2021-05-14,16.8,17.04,16.52,16.99,96800537.0,2198877459.0,19615250551.0,0.004934963066024412
2021-05-17,16.92,17.3,16.67,16.87,112430637.0,2581340397.0,19615250551.0,0.005731797139561299
2021-05-18,16.85,16.91,16.56,16.7,78347309.0,1765997519.0,19615250551.0,0.003994203836259731
2021-05-19,16.65,16.66,15.71,15.95,214015428.0,4634717378.0,19615250551.0,0.01091066501768897
2021-05-20,15.82,15.99,15.66,15.99,102432678.0,2195233483.0,19615250551.0,0.005222093785326535
2021-05-21,16.01,16.06,15.66,15.84,93050879.0,1989442958.0,19615250551.0,0.0047438027242153276
2021-05-24,15.81,16.19,15.81,16.02,106065936.0,2297326016.0,19615250551.0,0.005407319968930638
2021-05-25,16.0,17.14,15.92,17.12,234937242.0,5309356161.0,19615250551.0,0.011977274589950253
2021-05-26,17.27,17.58,17.2,17.37,142873975.0,3356058612.0,19615250551.0,0.007283821056913096
2021-05-27,17.33,17.33,16.95,17.03,120296241.0,2780714243.0,19615250551.0,0.006132791456689663
2021-05-28,17.06,17.34,16.99,17.21,78902742.0,1827066401.0,19615250551.0,0.004022520221949318
2021-05-31,17.18,17.21,16.79,17.1,106393740.0,2434927322.0,19615250551.0,0.005424031659619865
2021-06-01,16.94,16.98,16.62,16.72,118168969.0,2669496444.0,19615250551.0,0.006024341554687695
2021-06-02,16.74,16.76,16.42,16.54,91794067.0,2048687118.0,19615250551.0,0.004679729517669621
2021-06-03,16.59,16.84,16.29,16.35,119465213.0,2667713319.0,19615250551.0,0.006090425033796449
2021-06-04,16.37,16.82,16.29,16.56,131910325.0,2946033068.0,19615250551.0,0.006724886060314693
2021-06-07,16.56,16.56,16.3,16.48,59642111.0,1324151481.0,19615250551.0,0.0030405989892879244
2021-06-08,16.49,16.64,16.25,16.39,90169844.0,1996074487.0,19615250551.0,0.0045969254262420356
2021-06-09,16.35,16.5,16.2,16.25,73307708.0,1617369834.0,19615250551.0,0.0037372812449883654
2021-06-10,16.34,16.47,16.26,16.3,94971967.0,2101736866.0,19615250551.0,0.004841741213198944
2021-06-11,16.31,16.36,15.68,15.95,159064078.0,3420223341.0,19615250551.0,0.008109204498124079
2021-06-15,15.79,15.82,15.42,15.48,105311261.0,2211526867.0,19615250551.0,0.005368846078523894
2021-06-16,15.42,15.63,15.34,15.45,87614256.0,1835236083.0,19615250551.0,0.004466639657352394
2021-06-17,15.46,15.57,15.37,15.39,66842247.0,1394423135.0,19615250551.0,0.0034076672549355905
2021-06-18,15.31,15.33,14.83,14.91,147270098.0,2988011954.0,19615250551.0,0.007507938663189396
2021-06-21,14.87,14.93,14.67,14.71,90997736.0,1815252355.0,19615250551.0,0.00463913197353275
2021-06-22,14.79,15.0,14.63,14.81,117182611.0,2343808541.0,19615250551.0,0.005974056293358228
2021-06-23,14.84,15.02,14.72,14.96,84850655.0,1711202946.0,19615250551.0,0.004325749231669857
2021-06-24,14.99,15.12,14.93,15.12,66452700.0,1350696346.0,19615250551.0,0.0033878078603799527
2021-06-25,15.16,15.4,15.13,15.33,101596077.0,2099828094.0,19615250551.0,0.005179443246766
2021-06-28,15.33,15.37,14.89,14.97,106389345.0,2161253123.0,19615250551.0,0.005423807599264961
2021-06-29,15.05,15.25,14.99,15.16,95697509.0,1877011425.0,19615250551.0,0.004878729881690003
2021-06-30,15.33,16.01,15.33,15.83,138306908.0,2836473278.0,19615250551.0,0.007050988598916928
2021-07-01,16.05,16.68,15.98,16.42,176049061.0,3737193724.0,19615250551.0,0.00897511151041733
2021-07-02,16.25,16.25,15.91,16.01,124525671.0,2599595366.0,19615250551.0,0.006348410930374355
2021-07-05,16.13,16.24,15.71,16.21,84783318.0,1762929937.0,19615250551.0,0.0043223163415405715
2021-07-06,16.22,16.69,16.18,16.54,105784979.0,2266167379.0,19615250551.0,0.005392996572995954
2021-07-07,16.52,16.79,16.31,16.44,74923827.0,1604779503.0,19615250551.0,0.0038196721884941882
2021-07-08,16.59,16.65,15.85,15.95,134790818.0,2803461846.0,19615250551.0,0.006871735726726584
2021-07-09,15.93,16.11,15.49,15.65,117439867.0,2401103644.0,19615250551.0,0.005987171394760126
2021-07-12,15.87,16.15,15.65,15.8,123385939.0,2538267368.0,19615250551.0,0.006290306548937235
2021-07-13,15.83,15.95,15.5,15.72,82547032.0,1686823153.0,19615250551.0,0.004208308825083639
2021-07-14,15.71,15.71,15.18,15.27,115638231.0,2300359141.0,19615250551.0,0.00589532265720178
2021-07-15,15.26,16.06,15.18,16.02,127630220.0,2602711129.0,19615250551.0,0.006506683137600468
2021-07-16,15.92,16.12,15.65,15.75,75820148.0,1554457403.0,19615250551.0,0.003865367296882916
2021-07-19,15.75,15.79,15.36,15.72,74867298.0,1510217118.0,19615250551.0,0.0038167902982092273
2021-07-20,15.62,15.71,15.38,15.43,61200466.0,1231337026.0,19615250551.0,0.0031200450812941542
2021-07-21,15.45,15.56,15.13,15.2,116301329.0,2303286340.0,19615250551.0,0.005929127884327273
2021-07-22,15.18,15.61,15.16,15.34,84736089.0,1693875232.0,19615250551.0,0.004319908572143122
2021-07-23,15.34,15.35,15.1,15.24,78715178.0,1552210291.0,19615250551.0,0.004012958070320802
2021-07-26,15.11,15.14,14.39,14.4,160733314.0,3052709827.0,19615250551.0,0.00819430338562796
2021-07-27,14.46,14.54,13.75,13.85,159639114.0,2913553047.0,19615250551.0,0.008138520259271502
2021-07-28,13.94,14.22,13.83,14.12,112070492.0,2045977845.0,19615250551.0,0.005713436680740566
2021-07-29,14.24,14.24,13.8,13.82,124964623.0,2256777208.0,19615250551.0,0.006370789028418972
2021-07-30,13.75,13.82,13.5,13.61,95577247.0,1688461849.0,19615250551.0,0.004872598835864852
2021-08-02,13.52,13.9,13.23,13.79,138865929.0,2453857256.0,19615250551.0,0.007079487903503762
2021-08-03,13.65,13.77,13.48,13.59,110710803.0,1951290424.0,19615250551.0,0.005644118728544912
2021-08-04,13.63,13.65,13.38,13.4,92021134.0,1605648620.0,19615250551.0,0.004691305561493768
2021-08-05,13.37,13.57,13.3,13.41,77664993.0,1356297062.0,19615250551.0,0.003959418861261529
2021-08-06,13.34,13.59,13.16,13.52,96091392.0,1670656235.0,19615250551.0,0.00489881032873685
2021-08-09,13.54,14.32,13.53,14.04,162064897.0,2953930531.0,19615250551.0,0.008262188473128517
2021-08-10,14.01,14.47,13.83,14.37,145430745.0,2671969918.0,19615250551.0,0.007414167085038117
2021-08-11,14.39,14.89,14.31,14.44,149081084.0,2827961844.0,19615250551.0,0.007600264070672283
2021-08-12,14.42,14.54,14.28,14.34,72988483.0,1365260162.0,19615250551.0,0.0037210069180726828
2021-08-13,14.34,14.4,14.17,14.35,72676659.0,1346606558.0,19615250551.0,0.003705109899618126
2021-08-16,14.46,14.55,14.23,14.35,75072126.0,1402725365.0,19615250551.0,0.003827232581343335
2021-08-17,14.34,14.51,14.13,14.17,73427020.0,1364887333.0,19615250551.0,0.0037433638591099533
2021-08-18,14.2,14.95,14.19,14.78,133122420.0,2528960297.0,19615250551.0,0.006786679561083318
2021-08-19,14.71,14.83,14.29,14.29,104551566.0,1964478306.0,19615250551.0,0.0053301162647993745
2021-08-20,14.39,14.48,13.87,14.07,131353359.0,2399423976.0,19615250551.0,0.006696491521149778
2021-08-23,14.06,14.24,13.99,14.09,78654462.0,1441096050.0,19615250551.0,0.00400986272367498
2021-08-24,14.09,14.39,14.04,14.32,91214272.0,1686720979.0,19615250551.0,0.004650171139177716
2021-08-25,14.31,14.44,14.09,14.15,72337569.0,1337091168.0,19615250551.0,0.0036878228402905705
2021-08-26,14.14,14.16,13.88,13.97,79509298.0,1442587749.0,19615250551.0,0.004053442896040222
2021-08-27,13.94,14.09,13.73,13.87,105771773.0,1909178228.0,19615250551.0,0.005392323321335688
2021-08-30,13.97,14.22,13.81,13.94,115738581.0,2102592297.0,19615250551.0,0.005900438574520251
2021-08-31,13.98,14.33,13.83,14.25,116643373.0,2135357084.0,19615250551.0,0.005946565540762539
2021-09-01,14.18,14.91,14.17,14.76,186363162.0,3534930261.0,19615250551.0,0.009500932017944531
2021-09-02,14.84,15.11,14.82,14.97,135652377.0,2638083440.0,19615250551.0,0.00691565864261083
2021-09-03,14.91,15.24,14.6,14.98,123911012.0,2405259538.0,19615250551.0,0.006317075159342429
2021-09-06,14.91,15.15,14.88,14.91,76848415.0,1496084494.0,19615250551.0,0.003917789110069879
2021-09-07,14.96,15.35,14.79,15.33,122316695.0,2393891888.0,19615250551.0,0.006235795697943007
2021-09-08,15.28,15.47,14.87,14.97,135665324.0,2664556573.0,19615250551.0,0.006916318690259283
2021-09-09,14.87,14.93,14.67,14.81,92575312.0,1777025280.0,19615250551.0,0.004719557966353911
2021-09-10,14.84,15.58,14.81,15.21,193569767.0,3835141720.0,19615250551.0,0.009868330078003092
2021-09-13,15.21,15.52,15.11,15.48,158691219.0,3163870466.0,19615250551.0,0.00809019587016745
2021-09-14,15.48,15.56,14.74,14.76,174715501.0,3407602456.0,19615250551.0,0.008907125633992622
2021-09-15,14.7,14.81,14.4,14.52,119349205.0,2260123774.0,19615250551.0,0.0060845108600417796
2021-09-16,14.44,14.61,14.31,14.33,90717628.0,1699646603.0,19615250551.0,0.00462485186024683
2021-09-17,14.33,14.5,14.22,14.39,77020054.0,1433650295.0,19615250551.0,0.003926539393404458
2021-09-22,13.87,14.11,13.7,13.96,138929090.0,2502514844.0,19615250551.0,0.007082707898060333
2021-09-23,14.06,14.27,13.93,14.04,75754873.0,1383340603.0,19615250551.0,0.003862039529040732
2021-09-24,14.01,14.1,13.75,13.8,80323987.0,1448719670.0,19615250551.0,0.004094976344612892
2021-09-27,13.8,13.98,13.5,13.94,122182087.0,2175945222.0,19615250551.0,0.006228933282413314
2021-09-28,13.94,14.3,13.9,14.22,101626297.0,1865644873.0,19615250551.0,0.005180983884746709
2021-09-29,14.07,14.44,14.03,14.26,81823403.0,1511555151.0,19615250551.0,0.004171417682749333
2021-09-30,14.28,14.28,14.03,14.1,70872340.0,1299064538.0,19615250551.0,0.00361312438073277
2021-10-08,14.18,14.44,14.17,14.39,81056217.0,1506411141.0,19615250551.0,0.004132305972297035
2021-10-11,14.64,15.02,14.64,14.91,156344540.0,3023712844.0,19615250551.0,0.007970560436814274
2021-10-12,14.89,15.14,14.76,14.9,105334102.0,2041157851.0,19615250551.0,0.0053700105296197705
2021-10-13,14.89,14.99,14.67,14.8,70194065.0,1349798401.0,19615250551.0,0.0035785454189073028
2021-10-14,14.82,15.0,14.61,14.71,57136577.0,1095933620.0,19615250551.0,0.0029128650103879064
2021-10-15,14.74,15.01,14.64,14.81,84251256.0,1622340105.0,19615250551.0,0.004295191426739375
2021-10-18,14.9,15.0,14.71,14.82,66433148.0,1277985858.0,19615250551.0,0.003386811084939886
