date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,13.76,13.84,13.75,13.82,41069439.0,699520205.0,20774263656.0,0.00197693837336749
2023-04-11,13.86,13.9,13.76,13.78,43962705.0,749371364.0,20774263656.0,0.0021162100244791465
2023-04-12,13.82,13.83,13.75,13.77,43865184.0,745461442.0,20774263656.0,0.0021115157064703423
2023-04-13,13.76,13.9,13.7,13.84,56984509.0,969599586.0,20774263656.0,0.002743033878052366
2023-04-14,13.86,13.96,13.82,13.87,55872768.0,956967311.0,20774263656.0,0.0026895185757336284
2023-04-17,13.88,14.04,13.83,14.04,91104137.0,1565941126.0,20774263656.0,0.004385432788790442
2023-04-18,14.04,14.28,14.02,14.12,108876713.0,1898479854.0,20774263656.0,0.005240942100422141
2023-04-19,14.14,14.18,14.04,14.08,81650024.0,1421240946.0,20774263656.0,0.003930345034223051
2023-04-20,14.09,14.17,13.98,14.1,65408641.0,1135254963.0,20774263656.0,0.0031485419691931536
2023-04-21,14.11,14.16,13.85,13.87,94132215.0,1622540909.0,20774263656.0,0.004531193815517636
2023-04-24,13.87,13.92,13.71,13.73,87628177.0,1490311181.0,20774263656.0,0.004218112297553869
2023-04-25,13.75,14.02,13.75,14.0,99523422.0,1707072535.0,20774263656.0,0.004790707562395635
2023-04-26,14.03,14.09,13.83,13.99,79257780.0,1363209399.0,20774263656.0,0.0038151908203547255
2023-04-27,13.94,13.98,13.78,13.9,82470090.0,1410709848.0,20774263656.0,0.003969820127712738
2023-04-28,13.88,14.11,13.86,13.96,84821919.0,1463009669.0,20774263656.0,0.00408302890559983
2023-05-04,13.36,13.61,13.22,13.59,268637302.0,4451167465.0,20774263656.0,0.012931255059064992
2023-05-05,13.62,14.08,13.62,13.89,177559199.0,3046342467.0,20774263656.0,0.008547075455486363
2023-05-08,13.95,14.42,13.92,14.29,210221875.0,3687354529.0,20774263656.0,0.010119341820295226
2023-05-09,14.41,14.55,14.19,14.24,162764275.0,2880983733.0,20774263656.0,0.007834899840264163
2023-05-10,14.21,14.27,14.0,14.04,101629256.0,1769991052.0,20774263656.0,0.004892075006020613
2023-05-11,14.08,14.17,13.95,13.99,59573761.0,1030718256.0,20774263656.0,0.002867671364264888
2023-05-12,14.0,14.03,13.78,13.81,76544145.0,1308713033.0,20774263656.0,0.003684565973913237
2023-05-15,13.8,13.95,13.72,13.91,89421697.0,1523324156.0,20774263656.0,0.004304446043466543
2023-05-16,13.95,14.11,13.93,13.98,82194222.0,1420712984.0,20774263656.0,0.003956540812278598
2023-05-17,13.95,14.08,13.87,13.9,66385963.0,1143948637.0,20774263656.0,0.0031955868135343742
2023-05-18,13.96,14.08,13.89,13.93,73944324.0,1274997622.0,20774263656.0,0.0035594197332064516
2023-05-19,13.91,13.91,13.8,13.82,53757176.0,917858584.0,20774263656.0,0.0025876814163025177
2023-05-22,13.83,13.92,13.81,13.85,54853093.0,937462046.0,20774263656.0,0.002640435006906124
2023-05-23,13.85,13.9,13.74,13.74,68113073.0,1160360397.0,20774263656.0,0.0032787238155768594
2023-05-24,13.74,13.78,13.56,13.56,78090209.0,1314186637.0,20774263656.0,0.0037589880581613815
2023-05-25,13.56,13.57,13.46,13.52,53886898.0,897366515.0,20774263656.0,0.0025939257772169674
2023-05-26,13.54,13.61,13.46,13.61,45340394.0,757019515.0,20774263656.0,0.0021825271283155605
2023-05-29,13.62,13.66,13.51,13.58,51893003.0,868418986.0,20774263656.0,0.002497946683420104
2023-05-30,13.6,13.61,13.41,13.53,54731703.0,910880063.0,20774263656.0,0.002634591719172316
2023-05-31,13.5,13.53,13.41,13.43,47247477.0,783559806.0,20774263656.0,0.0022743273977055755
2023-06-01,13.44,13.48,13.38,13.42,50070486.0,828258380.0,20774263656.0,0.002410217123894964
2023-06-02,13.46,13.55,13.44,13.54,52399235.0,872834913.0,20774263656.0,0.002522314911742545
2023-06-05,13.54,13.62,13.5,13.57,30794734.0,514657331.0,20774263656.0,0.0014823502055200835
2023-06-06,13.57,13.74,13.55,13.57,53838988.0,906165233.0,20774263656.0,0.0025916195582917946
2023-06-07,13.58,13.7,13.57,13.63,36262150.0,609961170.0,20774263656.0,0.0017455323856702283
2023-06-08,13.66,13.86,13.61,13.85,66719860.0,1131673938.0,20774263656.0,0.0032116594409703682
2023-06-09,13.84,13.92,13.8,13.87,57189070.0,978557036.0,20774263656.0,0.0027528807252565467
2023-06-12,13.86,13.87,13.74,13.74,48736149.0,828650803.0,20774263656.0,0.0023459868328918644
2023-06-13,13.78,13.85,13.74,13.79,42162900.0,717093223.0,20774276925.0,0.0020295724444329847
2023-06-14,13.84,13.87,13.69,13.7,57660970.0,980173789.0,20774276925.0,0.00277559455899089
2023-06-15,13.75,13.8,13.66,13.78,48579432.0,823408275.0,20774276925.0,0.002338441533988553
2023-06-16,13.81,13.86,13.76,13.78,75291160.0,1281164147.0,20774276925.0,0.0036242493672255694
2023-06-19,13.89,13.93,13.75,13.77,86186561.0,1366748097.0,20774276925.0,0.004148715322855936
2023-06-20,13.77,13.84,13.76,13.76,36927385.0,584005568.0,20774276925.0,0.0017775533239167119
2023-06-21,13.77,13.88,13.75,13.75,34064813.0,539180612.0,20774276925.0,0.0016397592620422817
2023-06-26,13.74,13.74,13.54,13.61,50297130.0,784831137.0,20774276925.0,0.0024211254226361
2023-06-27,13.61,13.71,13.61,13.67,23731393.0,371638051.0,20774276925.0,0.0011423450782752094
2023-06-28,13.67,13.7,13.6,13.68,25268018.0,395621782.0,20774276925.0,0.0012163127550106055
2023-06-29,13.68,13.68,13.56,13.56,28313339.0,441642934.0,20774276925.0,0.0013629037054920265
2023-06-30,13.56,13.7,13.56,13.64,25575756.0,400485457.0,20774280606.0,0.0012311259525691226
2023-07-03,13.67,13.83,13.65,13.8,36535267.0,576978602.0,20774280606.0,0.0017586778427094094
2023-07-04,13.8,13.8,13.63,13.67,33849311.0,531834343.0,20774280606.0,0.0016293854714864921
2023-07-05,13.66,13.68,13.59,13.6,28021847.0,437673986.0,20774280606.0,0.0013488720755946066
2023-07-06,13.58,13.63,13.53,13.56,34527686.0,537362227.0,20774280606.0,0.0016620400318472525
2023-07-07,13.55,13.6,13.52,13.53,21874106.0,339823094.0,20774280606.0,0.001052941683751126
2023-07-10,13.56,13.59,13.45,13.48,32177756.0,498025975.0,20774280606.0,0.0015489227574362534
2023-07-11,13.51,13.56,13.46,13.5,27286366.0,422308439.0,20774280606.0,0.001313468635449123
2023-07-12,13.5,13.59,13.5,13.52,26412522.0,410178481.0,20774280606.0,0.0012714048924693726
2023-07-13,13.56,13.67,13.54,13.67,37656227.0,588620151.0,20774280606.0,0.0018126368712437714
2023-07-14,13.64,13.71,13.64,13.67,27139769.0,425736505.0,20774280606.0,0.0013064119771329906
2023-07-17,13.63,13.63,13.56,13.59,23597756.0,367538758.0,20774280606.0,0.0011359120658640052
2023-07-18,13.61,13.63,13.55,13.56,24397233.0,380030641.0,20774280606.0,0.00117439604589502
2023-07-19,13.56,13.73,13.55,13.7,36682759.0,573986831.0,20774280606.0,0.0017657775831431358
2023-07-20,13.75,13.84,13.72,13.77,41550119.0,657197164.0,20774280606.0,0.0020000749863751987
2023-07-21,13.73,13.81,13.72,13.76,33844678.0,534153331.0,20774280606.0,0.001629162455340332
2023-07-24,13.7,13.75,13.64,13.65,24438765.0,383483524.0,20774280606.0,0.001176395248697162
2023-07-25,13.75,13.9,13.75,13.9,66267305.0,1052154122.0,20774280606.0,0.00318987243201388
2023-07-26,13.85,13.93,13.84,13.9,30636026.0,487624367.0,20774280606.0,0.0014747093572593673
2023-07-27,13.93,14.06,13.9,13.95,47705065.0,765329154.0,20774280606.0,0.0022963522012994226
2023-07-28,13.91,14.42,13.9,14.38,110767423.0,1812479658.0,20774280606.0,0.005331949880758244
2023-07-31,14.44,14.68,14.4,14.52,104972147.0,1751009980.0,20774280606.0,0.00505298590073353
2023-08-01,14.48,14.58,14.45,14.5,51733410.0,860695951.0,20774280606.0,0.0024902624057681413
2023-08-02,14.42,14.45,14.17,14.26,69439035.0,1137811623.0,20774280606.0,0.003342548236300645
2023-08-03,14.21,14.43,14.18,14.39,39935339.0,655689239.0,20774280606.0,0.0019223452189466397
2023-08-04,14.48,14.65,14.4,14.44,59700098.0,994437785.0,20774280606.0,0.0028737504384511634
2023-08-07,14.42,14.46,14.34,14.38,42290922.0,697968247.0,20774280606.0,0.002035734608676923
2023-08-08,14.34,14.43,14.26,14.34,38744045.0,636824328.0,20774280606.0,0.0018650005617431584
2023-08-09,14.31,14.42,14.3,14.38,28029972.0,462405149.0,20774280606.0,0.0013492631842040499
2023-08-10,14.32,14.43,14.24,14.33,36196496.0,594480927.0,20774280606.0,0.0017423706113580547
2023-08-11,14.33,14.42,14.04,14.04,53869735.0,875790395.0,20774280606.0,0.002593097495007428
2023-08-14,13.97,13.97,13.87,13.91,45119270.0,720359059.0,20774280606.0,0.002171881224467947
2023-08-15,13.93,14.03,13.87,13.99,37805693.0,604764054.0,20774280606.0,0.0018198316330184261
2023-08-16,13.95,14.05,13.9,14.02,27651698.0,443856220.0,20774280606.0,0.0013310544188959146
2023-08-17,13.95,14.0,13.88,13.97,40692598.0,650055651.0,20774280606.0,0.0019587969745747643
2023-08-18,13.94,14.1,13.9,13.9,36762730.0,590319362.0,20774280606.0,0.001769627102725388
2023-08-21,13.9,13.94,13.69,13.69,52584499.0,831530555.0,20774280606.0,0.0025312308039592292
2023-08-22,13.7,13.92,13.7,13.88,53463383.0,848125181.0,20774280606.0,0.002573537154617945
2023-08-23,13.84,14.03,13.84,13.87,50385876.0,805560230.0,20774280606.0,0.002425396910516729
2023-08-24,13.9,13.93,13.74,13.89,37466456.0,595111670.0,20774280606.0,0.0018035019700840562
2023-08-25,13.84,14.05,13.83,13.96,46067400.0,736990741.0,20774280606.0,0.0022175208313444496
2023-08-28,14.44,14.53,14.06,14.12,106985173.0,1751256050.0,20774280606.0,0.005149885814534568
2023-08-29,14.11,14.17,13.9,13.95,78311653.0,1256147931.0,20774280606.0,0.0037696445179132764
2023-08-30,13.95,13.96,13.76,13.77,66316645.0,1050903080.0,20774280606.0,0.0031922474841726417
2023-08-31,13.81,13.99,13.77,13.78,62864690.0,1000128381.0,20774280606.0,0.0030260826447989493
2023-09-01,13.84,14.04,13.83,13.9,50323638.0,804511919.0,20774280606.0,0.0024224009945001705
2023-09-04,13.98,14.24,13.95,14.16,79346864.0,1286080740.0,20774280606.0,0.0038194758944905725
2023-09-05,14.11,14.16,14.06,14.1,41221928.0,667081004.0,20774280606.0,0.0019842770386038944
2023-09-06,14.04,14.22,14.04,14.2,35860715.0,582258137.0,20774280606.0,0.0017262073079749754
2023-09-07,14.18,14.22,14.11,14.12,30692377.0,498901464.0,20774280606.0,0.0014774218940286899
2023-09-08,14.12,14.13,14.02,14.09,24055167.0,387898864.0,20774280606.0,0.0011579302049598973
2023-09-11,14.09,14.17,14.04,14.13,38073935.0,616435185.0,20774280606.0,0.0018327438490940348
2023-09-12,14.13,14.17,14.08,14.1,24053001.0,389786975.0,20774280606.0,0.0011578259414216753
2023-09-13,14.17,14.22,14.05,14.1,35866578.0,581015185.0,20774280606.0,0.0017264895319475497
2023-09-14,14.15,14.18,14.08,14.18,41047866.0,665897038.0,20774280606.0,0.0019758983128467327
2023-09-15,14.18,14.21,13.97,14.04,63526058.0,1025705202.0,20774280606.0,0.0030579185486525337
2023-09-18,14.02,14.08,13.96,14.07,30893069.0,497399761.0,20774280606.0,0.0014870824932959415
2023-09-19,14.04,14.14,14.02,14.14,38348704.0,620261889.0,20774280606.0,0.0018459702517411927
2023-09-20,14.14,14.18,14.05,14.14,33216987.0,538660265.0,20774280606.0,0.0015989476425193906
