date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,39.48,39.94,39.28,39.76,52736929.0,2426394064.0,10832664498.0,0.004868324779165518
2023-04-11,39.73,39.97,39.39,39.42,54309402.0,2495273529.0,10832664498.0,0.005013485095013048
2023-04-12,39.54,39.78,39.23,39.36,46093797.0,2107727788.0,10832664498.0,0.00425507473332255
2023-04-13,39.1,39.16,38.68,38.95,56947936.0,2561593686.0,10832664498.0,0.005257057117435337
2023-04-14,39.15,39.68,39.02,39.27,42891917.0,1954054640.0,10832664498.0,0.00395949833098948
2023-04-17,39.13,40.99,38.86,40.99,103616133.0,4813786757.0,10832664498.0,0.009565156662899539
2023-04-18,40.74,42.37,40.68,41.97,131027522.0,6375510317.0,10832664498.0,0.01209559495027204
2023-04-19,41.91,42.21,41.67,41.78,49716461.0,2414735651.0,10832664498.0,0.004589495133831477
2023-04-20,41.79,42.26,41.54,42.12,47673429.0,2314705514.0,10832664498.0,0.004400895920740626
2023-04-21,41.95,42.03,40.25,40.35,81197565.0,3837366387.0,10832664498.0,0.007495622615746223
2023-04-24,40.47,41.22,39.88,40.05,58748216.0,2760342072.0,10832664498.0,0.005423247070085711
2023-04-25,40.17,40.64,39.61,39.79,61758322.0,2862045073.0,10832664498.0,0.0057011201640558735
2023-04-26,39.59,39.92,39.42,39.53,50514702.0,2320864199.0,10832664498.0,0.004663183467864842
2023-04-27,40.55,43.48,40.41,43.48,257064456.0,12656922048.0,10832664498.0,0.023730491796128364
2023-04-28,43.69,45.45,43.4,44.72,214950248.0,11104959198.0,10832664498.0,0.019842786420615682
2023-05-04,43.83,46.92,43.67,46.36,183764085.0,9743135594.0,10832664498.0,0.016963885942736227
2023-05-05,46.61,47.48,45.96,46.47,126410712.0,6829552784.0,10832664498.0,0.011669401560746093
2023-05-08,46.61,47.55,46.19,47.41,150405384.0,8223158231.0,10832664498.0,0.013884431113671882
2023-05-09,47.41,48.34,46.07,46.17,146158707.0,7986736176.0,10832664498.0,0.01349240595672328
2023-05-10,46.17,46.49,44.98,45.16,105561049.0,5557565461.0,10832664498.0,0.009744698455259037
2023-05-11,45.67,46.16,45.03,45.19,59388396.0,3128956427.0,10832664498.0,0.005482344257127569
2023-05-12,45.17,45.32,44.17,44.26,62668147.0,3238681436.0,10832664498.0,0.005785109195578818
2023-05-15,44.27,46.5,43.84,46.36,111375355.0,5846884591.0,10832664498.0,0.010281436761986201
2023-05-16,46.33,46.46,45.58,45.92,64496860.0,3436268826.0,10832664498.0,0.005953923894892881
2023-05-17,45.57,45.62,44.53,44.81,64255230.0,3344510652.0,10832664498.0,0.005931618210077792
2023-05-18,44.72,45.62,44.48,44.73,55516636.0,2891022410.0,10832664498.0,0.00512492896002178
2023-05-19,44.21,44.63,43.85,44.06,55423641.0,2831437768.0,10832664498.0,0.005116344276168867
2023-05-22,44.02,44.76,43.85,44.39,49881234.0,2562556972.0,10832664498.0,0.004604705888307481
2023-05-23,44.37,44.6,43.08,43.08,68538645.0,3460781263.0,10832664498.0,0.006327034776407417
2023-05-24,43.04,43.08,41.78,41.84,71313356.0,3491629222.0,10832664498.0,0.006583177759559188
2023-05-25,41.76,42.08,41.35,41.78,52552892.0,2535605262.0,10832664498.0,0.0048513356995135105
2023-05-26,41.77,42.19,41.27,41.82,40336573.0,1953764069.0,10832664498.0,0.0037236058596153525
2023-05-29,41.98,42.08,41.26,41.47,48434379.0,2333255082.0,10832664498.0,0.004471141796087407
2023-05-30,41.48,41.72,40.93,41.43,57029059.0,2728137415.0,10832664498.0,0.005264545856703038
2023-05-31,41.18,41.25,40.57,40.57,61068932.0,2880503904.0,10832664498.0,0.005637480235012813
2023-06-01,40.62,41.37,40.49,40.96,51807430.0,2460498429.0,10832664498.0,0.004782519573976009
2023-06-02,41.33,42.47,41.29,42.38,83284040.0,4054040689.0,10832664498.0,0.007688232199508853
2023-06-05,42.09,42.24,41.63,41.88,46645590.0,2261940201.0,10832664498.0,0.00430601261662004
2023-06-06,41.73,43.1,41.65,42.09,64450197.0,3172322394.0,10832664498.0,0.005949616275100113
2023-06-07,42.64,42.89,42.1,42.31,42543624.0,2093897751.0,10832664498.0,0.003927346222884932
2023-06-08,42.23,43.13,42.02,42.88,57228383.0,2830351412.0,10832664498.0,0.005282946131172611
2023-06-09,42.88,43.12,42.65,42.71,42804318.0,2124674673.0,10832664498.0,0.0039514117701977035
2023-06-12,42.7,43.11,42.2,42.79,47645727.0,2358494748.0,10832664498.0,0.004398338655166204
