date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,3.8,3.83,3.78,3.82,240344917.0,1090106743.0,269612212539.0,0.0008914466994525835
2023-04-11,3.82,3.84,3.8,3.82,185217653.0,843163088.0,269612212539.0,0.0006869779794311352
2023-04-12,3.83,3.89,3.82,3.87,319851803.0,1472027339.0,269612212539.0,0.0011863401883315384
2023-04-13,3.86,3.9,3.84,3.89,218734268.0,1012149962.0,269612212539.0,0.0008112921367327143
2023-04-14,3.9,3.9,3.87,3.89,151496089.0,701396460.0,269612212539.0,0.0005619036599764032
2023-04-17,3.89,3.98,3.88,3.97,355629181.0,1666156219.0,269612212539.0,0.0013190395852285715
2023-04-18,3.97,4.04,3.96,4.0,395257434.0,1882106553.0,269612212539.0,0.0014660219961023656
2023-04-19,4.0,4.03,3.99,4.0,269921378.0,1288443209.0,269612212539.0,0.0010011467042167286
2023-04-20,4.0,4.02,3.93,3.98,318001341.0,1502667180.0,269612212539.0,0.0011794767677818022
2023-04-21,3.98,4.02,3.94,3.94,315854005.0,1496588900.0,269612212539.0,0.0011715122324227468
2023-04-24,3.94,3.99,3.93,3.96,306206810.0,1443750723.0,269612212539.0,0.0011357304890471404
2023-04-25,3.95,4.01,3.95,3.99,391567475.0,1857660019.0,269612212539.0,0.0014523358245256005
2023-04-26,3.98,4.01,3.9,3.99,400961115.0,1891851111.0,269612212539.0,0.0014871771245970548
2023-04-27,3.98,3.99,3.94,3.99,265707962.0,1256636714.0,269612212539.0,0.0009855190145051933
2023-04-28,3.98,4.01,3.94,3.96,250324400.0,1185262424.0,269612212539.0,0.0009284609092542127
2023-05-04,3.94,4.16,3.93,4.15,728970842.0,3541568882.0,269612212539.0,0.0027037753042976594
2023-05-05,4.15,4.28,4.15,4.19,682881000.0,3428249976.0,269612212539.0,0.002532826660814631
2023-05-08,4.21,4.5,4.2,4.45,1048861302.0,5490372106.0,269612212539.0,0.0038902588726327813
2023-05-09,4.51,4.59,4.38,4.42,933498615.0,4986593624.0,269612212539.0,0.0034623751135344706
2023-05-10,4.38,4.41,4.19,4.22,751635446.0,3815734476.0,269612212539.0,0.0027878390185729226
2023-05-11,4.22,4.29,4.19,4.2,403736261.0,2028244040.0,269612212539.0,0.001497470226581812
2023-05-12,4.19,4.24,4.15,4.18,365183927.0,1822660939.0,269612212539.0,0.0013544784324158734
2023-05-15,4.19,4.25,4.07,4.23,512125141.0,2529284812.0,269612212539.0,0.0018994879207332642
2023-05-16,4.23,4.31,4.18,4.2,323857900.0,1638354828.0,269612212539.0,0.0012011989254869279
2023-05-17,4.19,4.23,4.14,4.19,261539551.0,1303973179.0,269612212539.0,0.0009700582497247514
2023-05-18,4.2,4.35,4.19,4.3,440289321.0,2247012011.0,269612212539.0,0.0016330466519068054
2023-05-19,4.29,4.31,4.23,4.23,308225032.0,1566953441.0,269612212539.0,0.0011432161366036584
2023-05-22,4.23,4.32,4.21,4.26,257869576.0,1312745930.0,269612212539.0,0.0009564461994194665
2023-05-23,4.25,4.29,4.12,4.14,441179999.0,2195648031.0,269612212539.0,0.0016363502040404878
2023-05-24,4.15,4.16,3.99,4.0,522754145.0,2512302395.0,269612212539.0,0.001938911223928265
2023-05-25,3.97,4.0,3.94,3.98,346134735.0,1637454759.0,269612212539.0,0.0012838243925984282
2023-05-26,3.98,4.06,3.96,4.03,234693092.0,1123359457.0,269612212539.0,0.0008704839064589893
2023-05-29,4.04,4.1,4.03,4.07,298055948.0,1441539230.0,269612212539.0,0.001105498690853574
2023-05-30,4.06,4.1,4.02,4.05,268917549.0,1298717694.0,269612212539.0,0.0009974234715391481
2023-05-31,4.04,4.09,4.01,4.05,251354153.0,1215088902.0,269612212539.0,0.0009322802948462176
2023-06-01,4.05,4.13,4.03,4.08,270866017.0,1316044948.0,269612212539.0,0.001004650399361337
2023-06-02,4.08,4.11,4.06,4.1,159486842.0,775899590.0,269612212539.0,0.0005915416089578282
2023-06-05,4.1,4.18,4.08,4.16,196182025.0,969318119.0,269612212539.0,0.0007276451728670185
2023-06-06,4.16,4.24,4.15,4.16,250176490.0,1251780679.0,269612212539.0,0.0009279123065087841
2023-06-07,4.17,4.24,4.17,4.2,219296442.0,1099411845.0,269612212539.0,0.000813377257412916
2023-06-08,4.2,4.28,4.18,4.27,241381683.0,1219117768.0,269612212539.0,0.0008952920964775793
2023-06-09,4.26,4.3,4.25,4.26,211425548.0,1075351684.0,269612212539.0,0.0007841838691539866
2023-06-12,4.26,4.27,4.15,4.17,270665625.0,1353794292.0,269612212539.0,0.0010039071392615334
2023-06-13,4.16,4.2,4.15,4.2,162239381.0,809442490.0,269612212539.0,0.0006017508608833204
2023-06-14,4.19,4.21,4.08,4.09,350457716.0,1728125975.0,269612212539.0,0.001299858462269418
2023-06-15,4.11,4.16,4.09,4.12,225251916.0,1105624109.0,269612212539.0,0.0008354662938994902
2023-06-16,4.12,4.13,4.1,4.1,217723833.0,1066214514.0,269612212539.0,0.0008075444021976778
2023-06-19,4.1,4.1,4.04,4.05,229411514.0,1110369621.0,269612212539.0,0.0008508943709915036
2023-06-20,4.05,4.09,4.03,4.05,175480258.0,847809825.0,269612212539.0,0.0006508616814774902
2023-06-21,4.05,4.14,4.04,4.07,273608767.0,1333802300.0,269612212539.0,0.001014823343584341
2023-06-26,4.07,4.08,3.99,4.0,298983796.0,1430494631.0,269612212539.0,0.001108940107662042
2023-06-27,4.0,4.05,3.97,4.04,212921448.0,1020036538.0,269612212539.0,0.0007897322083256909
2023-06-28,4.03,4.06,4.01,4.05,191402617.0,921642614.0,269612212539.0,0.0007099182013956923
2023-06-29,4.04,4.05,4.01,4.01,176864700.0,848123797.0,269612212539.0,0.0006559966194944382
2023-06-30,4.02,4.06,4.02,4.05,178939386.0,861972306.0,269612212539.0,0.0006636916937659714
2023-07-03,4.06,4.1,4.03,4.1,288517237.0,1401397653.0,269612212539.0,0.0010701193179751282
2023-07-04,4.09,4.1,4.05,4.05,223608129.0,1083994704.0,269612212539.0,0.0008293694372900656
2023-07-05,4.05,4.07,4.02,4.05,165050824.0,795131316.0,269612212539.0,0.0006121785895589764
2023-07-06,4.03,4.05,4.0,4.0,240267818.0,1150747048.0,269612212539.0,0.0008911607368870381
2023-07-07,4.0,4.04,3.99,4.0,220464340.0,1052383642.0,269612212539.0,0.0008177090270646006
2023-07-10,4.0,4.02,3.99,4.0,125939340.0,600869277.0,269612212539.0,0.0004671128908219712
2023-07-11,4.02,4.06,4.01,4.05,181036138.0,872812383.0,269612212539.0,0.0006714686115111077
2023-07-12,4.05,4.08,4.03,4.04,186267315.0,899237410.0,269612212539.0,0.0006908712081173104
2023-07-13,4.05,4.1,4.05,4.09,258113339.0,1252501956.0,269612212539.0,0.0009573503238940385
2023-07-14,4.1,4.11,4.06,4.09,305679951.0,1490328854.0,269612212539.0,0.001133776352789593
2023-07-17,4.12,4.13,4.07,4.09,287292576.0,1313140480.0,269612212539.0,0.0010655770126082197
2023-07-18,4.09,4.1,4.05,4.06,210410278.0,955282786.0,269612212539.0,0.0007804182014550387
2023-07-19,4.05,4.09,4.05,4.08,145154682.0,659323287.0,269612212539.0,0.0005383831861066125
2023-07-20,4.09,4.12,4.08,4.1,144410538.0,661920422.0,269612212539.0,0.00053562313309198
2023-07-21,4.09,4.11,4.08,4.1,130322632.0,596118856.0,269612212539.0,0.0004833706558494584
2023-07-24,4.09,4.11,4.06,4.09,115890583.0,528908860.0,269612212539.0,0.0004298417416207961
2023-07-25,4.11,4.14,4.1,4.14,192450760.0,887398435.0,269612212539.0,0.0007138057960640843
2023-07-26,4.14,4.15,4.12,4.14,115433768.0,533491432.0,269612212539.0,0.00042814740071650965
2023-07-27,4.14,4.25,4.14,4.21,240424094.0,1130511654.0,269612212539.0,0.0008917403693841285
2023-07-28,4.19,4.3,4.18,4.29,258504518.0,1229649771.0,269612212539.0,0.0009588012188528247
2023-07-31,4.3,4.35,4.24,4.27,282209705.0,1351064410.0,269612212539.0,0.0010467244875236419
2023-08-01,4.27,4.3,4.25,4.28,184994817.0,883177021.0,269612212539.0,0.0006861514738440867
2023-08-02,4.25,4.26,4.16,4.18,301643561.0,1414477098.0,269612212539.0,0.00111880525796422
2023-08-03,4.18,4.24,4.15,4.22,211053335.0,991496643.0,269612212539.0,0.0007828033196733277
2023-08-04,4.24,4.28,4.21,4.24,235955082.0,1118833388.0,269612212539.0,0.0008751646662365808
