date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,12.03,12.34,11.91,12.21,116873407.0,1511031410.0,20525299238.0,0.005694114645774501
2023-04-11,12.21,12.64,12.08,12.63,225374558.0,2979279873.0,20525299238.0,0.010980329952157163
2023-04-12,12.59,12.93,12.53,12.75,185436762.0,2509011953.0,20525299238.0,0.009034546091132608
2023-04-13,12.7,12.96,12.45,12.6,158387217.0,2131877522.0,20525299238.0,0.007716682478702482
2023-04-14,12.92,13.16,12.88,13.11,210578014.0,2921463220.0,20525299238.0,0.010259436978640554
2023-04-17,12.77,13.19,12.68,13.08,163355709.0,2251982342.0,20525299238.0,0.007958749205349832
2023-04-18,13.05,13.22,12.93,13.04,123473848.0,1712913194.0,20525299238.0,0.006015690517749128
2023-04-19,13.07,13.26,13.01,13.07,115489075.0,1611809154.0,20525299238.0,0.005626669490215595
2023-04-20,12.98,13.0,12.53,12.78,205681007.0,2783818748.0,20525299238.0,0.010020853027039313
2023-04-21,12.81,12.85,12.5,12.5,129483400.0,1741387714.0,20525299238.0,0.006308478064002002
2023-04-24,12.46,12.63,11.83,11.94,244729896.0,3148770164.0,20525299238.0,0.011923329017630763
2023-04-25,12.07,12.3,11.92,12.12,181595737.0,2332637151.0,20525299238.0,0.008847409964372086
2023-04-26,11.91,12.05,11.73,11.82,169260872.0,2133008370.0,20525299238.0,0.008246450881779832
2023-04-27,11.75,12.26,11.68,12.06,177955680.0,2271307178.0,20525299238.0,0.00867006507123353
2023-04-28,11.81,12.21,11.81,12.07,145362116.0,1862171128.0,20525299238.0,0.007082094848628584
2023-05-04,12.46,12.59,12.08,12.16,211489221.0,2759858587.0,20525299238.0,0.010303831313136445
2023-05-05,12.26,12.36,11.71,11.83,187067529.0,2369427897.0,20525299238.0,0.009113997648992522
2023-05-08,11.75,11.98,11.58,11.91,147503510.0,1855566188.0,20525299238.0,0.007186424338550732
2023-05-09,11.92,11.92,11.47,11.52,171466059.0,2122541129.0,20525299238.0,0.008353888389726968
2023-05-10,11.59,11.68,11.33,11.36,124335355.0,1515467086.0,20525299238.0,0.006057663450275492
2023-05-11,11.33,11.37,10.91,10.99,186931676.0,2195055674.0,20525299238.0,0.009107378841713528
2023-05-12,10.72,10.73,10.26,10.33,338569980.0,3753418798.0,20525299238.0,0.016495251838919863
