date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,106.65,109.3,102.46,103.17,24742247.0,3329971350.0,1476025487.0000002,0.01676275052017445
2021-04-13,104.17,106.12,103.19,104.55,17820720.0,2399819518.0,1476025487.0000002,0.012073450056895934
2021-04-14,106.02,107.27,102.22,105.33,17259016.0,2334351642.0,1476025487.0000002,0.01169289836253349
2021-04-15,105.72,106.78,102.23,104.55,14028079.0,1882146805.0,1476025487.0000002,0.009503954453057488
2021-04-16,105.88,106.1,102.62,104.67,14398237.0,1934095429.0,1476025487.0000002,0.00975473467552664
2021-04-19,104.93,106.42,103.06,105.72,22883836.0,3097261076.0,1476025487.0000002,0.015503686217851871
2021-04-20,104.94,110.59,104.29,108.83,24109890.0,3358956471.0,1476025487.0000002,0.01633433176618311
2021-04-21,108.59,110.0,106.19,109.96,16658946.0,2328491145.0,1476025487.0000002,0.011286353892072052
2021-04-22,111.0,111.16,108.92,109.29,13952949.0,1974665405.0,1476025487.0000002,0.009453054247971802
2021-04-23,108.6,116.98,108.52,116.7,24022807.0,3542605382.0,1476025487.0000002,0.01627533346244989
2021-04-26,118.71,119.79,113.89,114.41,24581166.0,3712255938.0,1476025487.0000002,0.016653618935781964
2021-04-27,115.03,118.94,114.01,118.24,17223078.0,2596401673.0,1476025487.0000002,0.011668550544479859
2021-04-28,117.85,121.53,116.59,121.52,20691303.0,3197290160.0,1476025487.0000002,0.014018255905631253
2021-04-29,121.52,124.38,119.71,124.38,20497908.0,3210922776.0,1476025487.0000002,0.013887231745341804
2021-04-30,125.19,127.39,121.89,123.41,23765040.0,3805699070.0,1476025487.0000002,0.01610069758910606
2021-05-06,119.01,119.71,112.16,115.9,36173856.0,5402524890.0,1476025487.0000002,0.02450760933235836
2021-05-07,115.89,118.13,110.28,111.23,25590794.0,3739746886.0,1476224574.0000002,0.017335298741612735
2021-05-10,110.07,115.86,109.07,113.81,23198940.0,3386764939.0,2110009161.0,0.010994710558036292
