date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,79.3,80.28,78.36,79.48,35297457.0,2987450231.0,2559119650.0,0.013792812305591104
2023-04-11,79.85,80.21,77.42,78.72,25907438.0,2168236384.0,2559119650.0,0.010123574331508884
2023-04-12,78.65,79.16,77.29,77.9,18928785.0,1570040042.0,2559119650.0,0.007396600233209104
2023-04-13,77.91,81.28,76.66,80.96,44408538.0,3780646001.0,2559119650.0,0.017353052640582865
2023-04-14,81.61,83.45,80.05,80.6,40725397.0,3532014854.0,2559119650.0,0.01591383075816717
2023-04-17,79.93,81.66,79.38,80.43,22242205.0,1899065410.0,2559137846.0,0.008691288370716393
2023-04-18,76.12,76.78,74.22,75.92,52923501.0,4259710601.0,2559137846.0,0.020680207235698862
2023-04-19,75.42,76.28,73.97,74.55,32953224.0,2622594345.0,2559137846.0,0.012876689722480858
2023-04-20,74.55,75.7,72.85,73.39,26504383.0,2088101602.0,2559137846.0,0.010356762548538389
2023-04-21,73.04,73.41,71.68,71.78,23033478.0,1778208230.0,2559137846.0,0.009000483516744491
2023-04-24,72.33,72.8,69.87,70.45,25892049.0,1956188845.0,2559137846.0,0.010117488997503575
2023-04-25,70.46,70.46,63.41,63.41,72162967.0,4998652428.0,2559137846.0,0.028198155528352104
2023-04-26,62.84,65.0,62.48,64.19,38025078.0,2591164942.0,2559137846.0,0.014858550140014614
2023-04-27,64.19,64.55,62.38,63.05,31454856.0,2114007690.0,2559137846.0,0.01229119253937992
2023-04-28,63.15,64.35,62.75,63.44,24206869.0,1632967661.0,2559236127.0,0.009458630543941207
2023-05-04,63.61,64.14,63.01,63.18,20199751.0,1364150326.0,2559236127.0,0.007892882875047035
2023-05-05,63.13,63.13,62.0,62.44,15539925.0,1032062392.0,2559236127.0,0.006072095042756483
2023-05-08,62.44,64.23,61.67,63.62,26281497.0,1760805527.0,2559367455.0,0.010268747048672618
2023-05-09,62.95,63.26,62.04,62.46,18260410.0,1216988239.0,2559367455.0,0.007134735563010431
2023-05-10,62.23,63.04,61.21,62.56,18074622.0,1197960024.0,2559367455.0,0.007062144189060965
2023-05-11,63.03,64.91,62.51,63.68,31514262.0,2142815408.0,2559367455.0,0.012313301061335876
2023-05-12,63.46,63.88,62.06,62.21,18941330.0,1265598656.0,2559367455.0,0.007400785675771594
2023-05-15,62.0,65.01,61.83,64.85,25316075.0,1714314795.0,2559367455.0,0.009891535875609547
2023-05-16,64.7,65.02,63.93,64.67,15813697.0,1087263379.0,2559367455.0,0.0061787520854444875
2023-05-17,64.55,64.55,63.38,63.69,13652759.0,926066625.0,2559367455.0,0.005334427056704134
2023-05-18,63.69,64.02,62.49,62.77,14325907.0,961893319.0,2559367455.0,0.005597440481636506
2023-05-19,62.69,63.55,62.0,63.13,12992409.0,869780713.0,2559367455.0,0.0050764140860734665
2023-05-22,63.69,64.71,62.84,64.25,20170663.0,1375926275.0,2559367455.0,0.007881112561853686
2023-05-23,64.21,66.18,64.16,64.99,23968889.0,1668476201.0,2559367455.0,0.009365161283571921
2023-05-24,64.58,65.52,64.35,64.63,17168463.0,1185505070.0,2559367455.0,0.0067080883467747305
2023-05-25,64.35,64.84,63.19,63.71,16610930.0,1128415582.0,2559367455.0,0.0064902481929856376
2023-05-26,63.7,63.7,62.0,62.02,19658442.0,1310296876.0,2559367455.0,0.007680976782601152
2023-05-29,62.53,62.83,61.68,62.74,18419052.0,1220658869.0,2559367455.0,0.007196720409965517
2023-05-30,62.3,62.99,60.37,62.47,22581698.0,1483548376.0,2559367455.0,0.008823155876224112
2023-05-31,62.28,63.03,60.23,61.06,29061303.0,1894367757.0,2559473761.0,0.011354405519924374
2023-06-01,60.59,64.03,60.4,63.03,35410346.0,2368844273.0,2559473761.0,0.01383501036016286
2023-06-02,63.5,64.32,62.0,63.73,21421564.0,1440243510.0,2559473761.0,0.008369518893458194
2023-06-05,63.73,63.73,61.62,62.08,19583536.0,1294981830.0,2559473761.0,0.007651391586194112
2023-06-06,62.09,62.24,60.53,60.54,17657763.0,1150335622.0,2559473761.0,0.0068989818411348035
2023-06-07,61.14,61.23,59.07,59.44,21879018.0,1394412833.0,2559473761.0,0.008548248602264143
2023-06-08,59.35,60.79,58.64,60.22,19272790.0,1227570644.0,2559473761.0,0.007529981472625067
2023-06-09,60.22,63.4,59.93,63.35,41657930.0,2767897839.0,2559473761.0,0.01627597462992706
2023-06-12,63.27,64.44,62.54,63.61,23051833.0,1564777056.0,2559473761.0,0.009006473655347624
2023-06-13,63.82,65.07,63.74,64.64,19081809.0,1308490235.0,2559473761.0,0.007455364181012208
2023-06-14,64.95,65.26,64.1,64.39,16275559.0,1105800216.0,2559473761.0,0.006358947393014513
2023-06-15,64.77,67.68,64.73,67.48,34399405.0,2402141190.0,2559473761.0,0.013440030339111573
2023-06-16,67.51,68.95,67.49,68.34,29055318.0,2088340139.0,2559473761.0,0.011352067148618836
2023-06-19,68.04,68.32,66.23,66.43,22693478.0,1594282499.0,2559473761.0,0.008866462452474425
2023-06-20,66.43,67.41,65.62,65.62,26829811.0,1868688474.0,2559473761.0,0.010482549736910547
2023-06-21,64.96,65.36,59.85,60.24,66026702.0,4252770517.0,2559473761.0,0.025796983351063157
2023-06-26,59.66,61.82,59.48,61.02,24948997.0,1598642110.0,2559473761.0,0.00974770571207274
2023-06-27,60.98,61.62,60.19,60.63,16318975.0,1042057300.0,2559473761.0,0.0063759102549361905
2023-06-28,60.65,60.77,59.39,59.62,17741477.0,1115353986.0,2559473761.0,0.006931689345808457
2023-06-29,59.67,59.94,58.28,58.84,18508183.0,1145255813.0,2559473761.0,0.007231245454444024
2023-06-30,58.85,59.71,58.55,59.3,14866269.0,925591814.0,2559966868.0,0.005807211486144906
2023-07-03,59.31,60.88,58.9,60.62,18245678.0,1156907217.0,2565368918.0,0.007112301810464206
2023-07-04,60.51,62.16,59.25,61.72,27289041.0,1747770978.0,2565368918.0,0.010637472376205034
2023-07-05,61.44,61.75,60.79,61.42,11499413.0,739124515.0,2565368918.0,0.004482557233508978
2023-07-06,61.39,61.39,60.06,60.42,14256808.0,905252198.0,2565368918.0,0.00555741043713698
2023-07-07,60.13,60.61,59.77,59.97,11636726.0,734004728.0,2565368918.0,0.004536082868374412
2023-07-10,60.53,61.62,60.31,60.53,14861369.0,950519065.0,2565368918.0,0.005793072838656728
2023-07-11,60.75,61.01,59.77,60.82,10231697.0,649580581.0,2565368918.0,0.003988392050830952
2023-07-12,60.6,61.04,60.16,60.34,11468745.0,729446490.0,2565368918.0,0.004470602617630997
2023-07-13,60.86,64.15,60.86,63.89,42448253.0,2812288839.0,2565368918.0,0.016546646644917368
2023-07-14,63.9,64.99,63.69,64.39,20672464.0,1395088048.0,2565368918.0,0.008058281152060018
2023-07-17,63.79,63.85,61.86,62.68,16201180.0,1064272134.0,2565368918.0,0.006315341191796571
2023-07-18,63.21,64.97,62.49,64.74,27325915.0,1832154233.0,2565368918.0,0.010651846137320356
2023-07-19,64.72,65.18,64.16,64.59,13834844.0,938133659.0,2565368918.0,0.00539292571252709
2023-07-20,65.03,65.45,64.38,64.38,13778157.0,939837596.0,2565368918.0,0.00537082869575798
2023-07-21,64.37,65.56,63.86,64.53,16609158.0,1129315479.0,2565462511.0,0.00647413787135243
2023-07-24,63.86,66.46,63.86,64.46,19881376.0,1356732567.0,2565462511.0,0.007749626398652917
2023-07-25,65.31,65.66,63.79,64.86,19149386.0,1299603550.0,2565462511.0,0.0074643016290016646
2023-07-26,65.19,66.75,64.86,65.85,20647317.0,1429873175.0,2565462511.0,0.00804818503933305
2023-07-27,65.68,66.74,65.21,65.96,17185933.0,1190841851.0,2565462511.0,0.006698960879884789
2023-07-28,65.39,66.3,64.02,65.94,22802177.0,1563582212.0,2565462511.0,0.00888813494729723
2023-07-31,66.44,70.24,66.44,68.21,45263867.0,3262570842.0,2565462511.0,0.01764355035628895
2023-08-01,71.17,71.86,70.41,71.36,54305172.0,4064977336.0,2565462511.0,0.021167790122503957
2023-08-02,71.65,71.76,69.73,70.24,26533367.0,1969227754.0,2565462511.0,0.010342527667518897
2023-08-03,70.14,73.49,69.74,73.33,43575972.0,3304347009.0,2565462511.0,0.016985620258786936
2023-08-04,73.57,73.64,71.19,71.91,29362159.0,2224343446.0,2565462511.0,0.011445171727945005
2023-08-07,71.36,71.6,69.72,70.4,30077376.0,2223992093.0,2565695133.0,0.011722895527665951
2023-08-08,70.05,70.9,69.05,70.06,18557695.0,1365299115.0,2565695133.0,0.007233008614823607
2023-08-09,68.51,73.38,68.21,72.56,42249122.0,3202728728.0,2565695133.0,0.016466929939021716
2023-08-10,72.6,75.46,72.25,75.09,37429053.0,2913902350.0,2565743271.0,0.014587996165887636
2023-08-11,75.08,76.23,74.66,74.81,25489371.0,2016351000.0,2565743271.0,0.009934497846335773
2023-08-14,73.75,75.21,73.09,74.7,21130163.0,1645128728.0,2565743271.0,0.008235493877672534
2023-08-15,74.63,75.01,73.21,74.24,14544573.0,1130073035.0,2565743271.0,0.0056687561707338095
2023-08-16,73.95,75.53,73.65,74.15,14867062.0,1162356484.0,2565743271.0,0.00579444645457671
2023-08-17,73.46,76.3,73.29,75.88,21765139.0,1719198075.0,2565743271.0,0.00848297615977651
2023-08-18,75.9,76.0,74.01,74.02,18003581.0,1412889018.0,2565743271.0,0.0070169066420207715
2023-08-21,73.67,75.4,73.51,74.04,18553011.0,1453380288.0,2565743271.0,0.007231047318607583
2023-08-22,74.04,75.01,72.25,73.85,21479004.0,1666127532.0,2565743271.0,0.00837145486953905
2023-08-23,74.59,74.79,72.66,72.74,16461614.0,1268540778.0,2565743271.0,0.006415924066161177
2023-08-24,73.28,75.95,73.09,74.9,23753496.0,1858221400.0,2565743271.0,0.009257939509568337
2023-08-25,74.87,77.57,74.41,75.24,20640610.0,1639481628.0,2565743271.0,0.008044690298244575
2023-08-28,79.12,79.42,75.09,75.4,32076730.0,2574254830.0,2565743271.0,0.012501925022100156
2023-08-29,75.44,78.04,75.19,77.34,22856834.0,1851583010.0,2565743271.0,0.008908464949843379
2023-08-30,78.44,78.82,76.9,78.18,17874777.0,1463596393.0,2565796251.0,0.00696656135226382
2023-08-31,78.5,78.61,77.47,77.57,12139709.0,993380535.0,2565799653.0,0.004731354993288714
2023-09-01,77.57,77.88,75.46,76.29,13329196.0,1065928927.0,2565799653.0,0.0051949480873984665
2023-09-04,77.0,78.22,76.14,77.45,14066751.0,1145062685.0,2565799653.0,0.0054824042803002125
2023-09-05,77.0,78.19,76.61,77.48,12706065.0,1035153024.0,2565799653.0,0.0049520877380834225
2023-09-06,77.08,77.08,72.9,73.28,32144518.0,2498068076.0,2565799653.0,0.012528070132995688
2023-09-07,73.28,73.54,72.18,72.62,14281226.0,1092480671.0,2565799653.0,0.005565994205082231
2023-09-08,72.2,73.28,71.89,72.52,9312645.0,712270087.0,2565799653.0,0.0036295292927923705
