date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,141.99,142.75,139.02,139.18,396495.0,55555951.0,32995464.0,0.012016651743403274
2021-04-13,138.38,139.83,138.11,138.59,323953.0,44964179.0,32995464.0,0.009818107119208871
2021-04-14,138.59,140.56,138.31,139.11,321251.0,44719185.0,32995464.0,0.009736217075171302
2021-04-15,138.96,138.96,127.0,131.3,1169468.0,153899738.0,32995464.0,0.035443296084576956
2021-04-16,131.0,131.98,127.8,131.28,812413.0,105384468.0,32995464.0,0.024621960157917466
2021-04-19,131.39,133.25,129.67,132.46,760573.0,100223675.0,32995464.0,0.023050835108728886
2021-04-20,132.5,132.54,128.56,128.63,976314.0,126968780.0,32995464.0,0.029589339916541255
2021-04-21,128.0,131.53,127.8,130.0,543986.0,70574278.0,32995464.0,0.016486690412961007
2021-04-22,129.99,131.48,129.55,130.6,517969.0,67732863.0,32995464.0,0.01569818809033872
2021-04-23,130.0,131.87,129.38,129.96,483041.0,63119966.0,32995464.0,0.014639618342690983
2021-04-26,130.0,132.18,128.91,129.9,582032.0,76056919.0,32995464.0,0.01763975799825091
2021-04-27,128.81,128.81,119.21,119.4,1803468.0,221393716.0,32995464.0,0.05465805845312556
2021-04-28,120.51,120.6,116.58,118.2,1227983.0,144426131.0,32995464.0,0.03721672166816627
2021-04-29,117.5,120.47,116.02,116.25,829610.0,97531822.0,32995464.0,0.025143153010365304
2021-04-30,116.75,116.75,111.11,111.69,1394523.0,157212291.0,32995464.0,0.04226408211746924
2021-05-06,112.39,112.39,109.5,110.74,866877.0,95710486.0,32995464.0,0.02627261128984275
2021-05-07,110.83,111.48,106.66,106.71,806821.0,87517301.0,32995464.0,0.024452482316963325
2021-05-10,106.8,108.3,104.65,105.3,725846.0,77020382.0,32995464.0,0.021998357107510292
2021-05-11,105.81,113.0,105.48,111.02,1083472.0,119885636.0,32995464.0,0.03283699844317995
2021-05-12,110.77,111.81,107.84,109.81,542431.0,59294772.0,32995464.0,0.016439562722924583
2021-05-13,109.66,120.42,109.0,114.75,1745216.0,203368440.0,32995464.0,0.05289260366212762
2021-05-14,113.0,114.5,112.3,114.05,830514.0,94150565.0,32995464.0,0.025170550715698375
2021-05-17,113.56,115.9,112.22,112.26,725676.0,82320302.0,32995464.0,0.02199320488416226
2021-05-18,114.5,116.19,113.0,114.17,689561.0,79073376.0,32995464.0,0.020898660494666783
2021-05-19,113.17,114.5,112.0,112.66,439048.0,49627434.0,32995464.0,0.013306313861808399
2021-05-20,113.0,116.39,112.69,113.37,529786.0,60636568.0,32995464.0,0.01605632822741938
2021-05-21,113.36,114.46,112.43,112.84,426958.0,48341061.0,32995464.0,0.01293989986017472
2021-05-24,112.08,113.02,110.05,112.49,579324.0,64585333.0,32995464.0,0.017557686111036353
2021-05-25,112.0,114.68,112.0,114.07,689305.0,78344162.0,32995464.0,0.020890901852448567
2021-05-26,114.43,116.0,114.05,114.22,624648.0,71865066.0,32995464.0,0.018931329470014423
2021-05-27,114.0,119.39,113.41,118.29,1306466.0,153616070.0,32995464.0,0.03959532134477636
2021-05-28,117.7,117.7,115.04,115.35,865427.0,100618879.0,32995464.0,0.02622866585540364
2021-05-31,115.88,118.86,115.8,118.65,877705.0,103292964.0,32995464.0,0.02660077760991632
2021-06-01,119.58,127.71,119.58,124.6,2200445.0,275314463.0,32995464.0,0.06668931826508032
2021-06-02,122.8,125.46,121.81,123.25,1084944.0,133673158.0,32995464.0,0.032881610635934685
2021-06-03,124.25,124.59,121.0,122.1,759700.0,93199835.0,32995464.0,0.023024376926476926
2021-06-04,121.79,123.66,119.21,119.77,961428.0,116290237.0,32995464.0,0.029138186994430507
2021-06-07,121.0,125.76,120.5,121.14,1054954.0,129363986.0,32995464.0,0.03197269782294924
2021-06-08,120.7,120.95,116.7,117.36,1055117.0,125057108.0,32995464.0,0.031977637895924116
2021-06-09,118.0,119.72,117.03,117.25,729650.0,86072962.0,32995464.0,0.022113645681721583
2021-06-10,118.01,122.0,116.78,121.26,1197269.0,143098901.0,32995464.0,0.03628586644515743
2021-06-11,121.81,121.88,116.93,117.11,1107231.0,130870575.0,32995464.0,0.033557067116861884
2021-06-15,117.0,121.38,115.99,119.25,1162786.0,138567406.0,32995464.0,0.03524078339980308
