date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-04-10,225.5,225.51,200.01,207.59,18501308.0,3901645862.0,242185645.0,0.07639308267011449
2023-04-11,205.67,213.6,187.51,201.5,18413454.0,3699557296.0,242185645.0,0.07603032789164692
2023-04-12,193.0,213.68,192.0,206.0,15207871.0,3095007434.0,242185645.0,0.06279427089908653
2023-04-13,201.02,207.55,185.9,188.0,17134022.0,3324682744.0,242185645.0,0.0707474714283747
2023-04-14,190.01,197.71,183.89,195.0,13834771.0,2669359613.0,242185645.0,0.05712465327992499
2023-04-17,191.39,199.19,187.0,196.8,12486326.0,2421080033.0,242185645.0,0.05155683773082422
2023-04-18,194.0,201.33,185.55,195.78,12696053.0,2463428566.0,242185645.0,0.05242281391203017
2023-04-19,204.5,223.28,204.5,221.8,21573299.0,4651853447.0,242185645.0,0.08907752976027956
2023-04-20,230.06,266.16,230.06,266.16,19964291.0,4944562292.0,242185645.0,0.08243383293836429
2023-04-21,271.4,271.47,243.0,248.0,18946064.0,4796532929.0,242185645.0,0.07822950860692011
2023-04-24,246.0,248.0,228.88,243.0,16347103.0,3903562383.0,242185645.0,0.06749823260581773
2023-04-25,242.0,264.88,237.16,248.0,17411621.0,4366926633.0,242185645.0,0.07189369543351753
2023-04-26,250.0,255.8,225.8,238.0,14446499.0,3455224908.0,242185645.0,0.05965051727157487
2023-04-27,235.01,246.0,217.78,230.75,13813564.0,3175623218.0,242185645.0,0.05703708822213637
2023-04-28,228.1,252.5,225.8,249.5,14608544.0,3537412654.0,242185645.0,0.060319611428662503
2023-05-04,244.5,245.48,224.04,232.8,11748565.0,2751240505.0,242185645.0,0.048510575430678396
2023-05-05,228.88,240.5,200.73,207.98,19630070.0,4256183429.0,242185645.0,0.08105381307797992
2023-05-08,203.0,215.01,199.0,208.39,10836641.0,2259884012.0,242185645.0,0.044745182977298265
2023-05-09,208.16,218.3,204.11,211.4,11252281.0,2408664700.0,242185645.0,0.046461387090056476
2023-05-10,206.03,212.93,191.41,199.08,13808054.0,2759834584.0,242185645.0,0.05701433708013536
2023-05-11,201.62,205.6,196.0,196.02,8215291.0,1636411144.0,242185645.0,0.033921461364896335
2023-05-12,195.97,204.5,192.11,196.0,7502785.0,1489746416.0,242185645.0,0.03097947857314169
2023-05-15,200.0,201.58,177.0,188.45,17714570.0,3293823373.0,242185645.0,0.07314459120812053
2023-05-16,191.08,193.0,183.33,184.51,10261854.0,1929752045.0,242185645.0,0.04237185073458834
2023-05-17,184.0,192.66,183.82,187.54,8012193.0,1509135888.0,242185645.0,0.033082856748177625
2023-05-18,192.22,204.5,188.0,196.81,16393375.0,3230820643.0,242185645.0,0.06768929264985957
2023-05-19,205.9,213.8,193.92,195.3,13846796.0,2838526233.0,242185645.0,0.05717430527313045
2023-05-22,189.14,201.89,186.0,188.65,9489520.0,1826715861.0,242185645.0,0.039182834308779946
2023-05-23,187.84,190.98,183.36,184.11,8268614.0,1541882810.0,242185645.0,0.034141635438384464
2023-05-24,183.92,188.55,175.05,182.0,10485434.0,1900145757.0,242185645.0,0.043295026837779756
2023-05-25,195.0,203.0,184.17,194.5,16082814.0,3099925655.0,242185645.0,0.06640696644097134
2023-05-26,194.0,233.4,193.03,224.0,19349292.0,4155578951.0,242185645.0,0.07989446277874974
2023-05-29,225.99,232.58,218.4,219.6,15087680.0,3388178678.0,242185645.0,0.06229799458180108
2023-05-30,218.08,239.8,214.11,234.8,12165497.0,2757265139.0,242185645.0,0.050232114293974776
2023-05-31,233.45,254.19,227.0,254.19,14570182.0,3460211625.0,243607340.0,0.05981011081193202
2023-06-01,248.0,259.24,237.0,237.01,12185998.0,3007753344.0,243607340.0,0.050023115067058324
2023-06-02,241.0,244.58,224.84,228.7,11829555.0,2732752213.0,243607340.0,0.048559928448789764
2023-06-05,227.7,235.24,225.0,230.32,8976525.0,2066278373.0,243607340.0,0.03684833552223837
2023-06-06,227.0,232.18,219.0,223.25,9159566.0,2059426427.0,243607340.0,0.03759971271801581
2023-06-07,221.09,226.53,217.12,221.2,7110621.0,1572973389.0,243607340.0,0.02918886187912072
2023-06-08,218.0,223.65,213.01,221.01,7139574.0,1562324276.0,243607340.0,0.02930771297777809
2023-06-09,221.01,228.65,209.0,226.78,14242879.0,3102521833.0,244159404.0,0.058334345377088155
2023-06-12,224.56,234.56,219.0,220.21,11373092.0,2574783632.0,244159404.0,0.04658060190874319
2023-06-13,219.48,235.99,213.1,232.9,12729925.0,2884886426.0,244159404.0,0.052137762426713655
2023-06-14,229.6,231.88,218.86,224.8,12266776.0,2747667052.0,244159404.0,0.050240850030908495
2023-06-15,227.5,230.89,211.0,211.0,12010164.0,2626054839.0,244159404.0,0.04918984812069741
